epoch,loss_pi,loss_vf,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs,avg_value,avg_target,clip_frac
966900,-0.0030551968807084186,18.987533369371967,88.44378850411128,17.723474067046173,17.14387254901961,1.8483633776091082,65.21691571790005,15.983870967741936,1042.3225806451612,0.0,0.0,0.02579460677600676,"[0.10850714 0.13721584 0.0199851  0.00892054 0.04304333 0.10350179
 0.085714   0.01188302 0.01970443 0.09355911 0.36796573]",29.88496971130371,31.116167068481445,0.01017593972445015
967000,-0.004235101192025467,24.609459953308104,87.16110330065356,17.66417401960784,17.21351225490196,1.8497026143790851,66.09359885620916,15.94,1045.97,10.03,0.0,0.024725362351164223,"[0.09516685 0.1435254  0.02856402 0.00425826 0.05359815 0.09371121
 0.07854399 0.00862069 0.01340963 0.10255424 0.37804756]",30.182632446289062,31.33590316772461,0.017080799315590412
967100,-0.0031349369836971164,23.800571975708007,85.86869830532208,17.511806022408965,16.901029411764707,1.7500115546218489,66.45014355742298,15.92,1044.76,10.03,0.0,0.023598198061808944,"[0.09180132 0.12524657 0.02932242 0.02202125 0.06129422 0.0894952
 0.07588843 0.00960615 0.02017272 0.09222074 0.382931  ]",31.7274227142334,31.413267135620117,0.010014875987544657
967200,-0.002875972618057858,19.36945520401001,86.1081120098039,17.733394607843138,17.310879901960785,1.83065931372549,67.97651225490196,15.8,1044.35,10.01,0.0,0.0224468051828444,"[0.10599464 0.14657734 0.02586128 0.01981336 0.03667088 0.08858559
 0.07520635 0.00545843 0.01128881 0.10243118 0.38211215]",31.518590927124023,31.92875862121582,0.009409301155246795
967300,-0.003021940405596979,22.67465968132019,87.47777759049772,17.69343017848165,17.089437531422824,1.771966503267974,66.01574736048266,15.97,1051.41,10.01,0.0,0.021806647744961084,"[0.1050364  0.14185122 0.02230491 0.01843386 0.0409638  0.09999652
 0.07387266 0.01154017 0.01343135 0.0922379  0.3803312 ]",31.58620834350586,30.34626007080078,0.009184219103772193
967400,-0.0030047737911809234,24.383925485610963,86.9259983333333,17.464176470588235,16.70884068627451,1.6883186274509805,64.84463725490197,15.99,1036.2,0.0,0.0,0.02225761450827122,"[0.09962495 0.15617193 0.02110257 0.01714304 0.04661285 0.07579882
 0.07111797 0.00986193 0.0147929  0.09368851 0.3940845 ]",29.999759674072266,29.33287239074707,0.009902951698750257
967500,-0.002725100956449751,22.48928176879883,78.5495527801121,17.562751050420168,16.864192226890758,1.7828946078431374,74.63537675070029,15.24,1043.29,40.07,0.0,0.02119602297898382,"[0.10603781 0.13688494 0.03006241 0.02294226 0.03236895 0.09001103
 0.07517594 0.01679101 0.01515152 0.09371797 0.38085613]",30.377531051635742,30.135238647460938,0.008782794603612275
967600,-0.0032768720580497756,21.97377077102661,85.72985259803922,17.59044362745098,16.90891911764706,1.7866421568627453,67.64671813725491,15.58,1044.91,20.62,0.0,0.022942674867808818,"[0.12040038 0.13351835 0.02574149 0.02162491 0.02975138 0.08769803
 0.07740485 0.0151076  0.01699716 0.09820754 0.3735483 ]",30.19036293029785,31.400407791137695,0.010414359429851174
967700,-0.001798422650899738,26.004896450042725,83.75054684389139,17.347582013574662,16.369899698340873,1.644773944193062,67.18959709653092,15.82,1039.55,13.69,0.0,0.022818150888197122,"[0.11821903 0.13489999 0.02454896 0.01593206 0.04296168 0.09045539
 0.07393363 0.01611451 0.0123194  0.09317107 0.37744427]",29.461368560791016,29.903553009033203,0.01882243903586641
967800,-0.003192024093004875,21.240204057693482,86.2497951260504,17.404081582633054,16.97277485994398,1.8886610644257704,66.46155742296918,15.76,1045.89,10.02,0.0,0.023676905669271945,"[0.10775829 0.13638963 0.02665059 0.01391475 0.04799829 0.09165078
 0.07156596 0.01431297 0.01717557 0.09346381 0.37911934]",29.678667068481445,29.44869613647461,0.01034817005507648
