epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs
76700,-0.05093447821290822,979.1132656486155,9.894964389264478,1.2208083358656747,0.12900904722791373,57.4759795271492,18.020408163265305,1030.7551020408164,22.877551020408163,0.0,0.8664330414363316,"[0.06595181 0.06305569 0.03281751 0.04552855 0.15011147 0.03960176
 0.07241347 0.03574361 0.02994468 0.05609754 0.40873393]"
76800,-0.043400113340467214,1012.58416055961,10.231701299818171,1.1120850103199174,0.11165855816010614,56.88422929259425,18.12,1026.86,19.53,0.0,0.8419619935750962,"[0.04703131 0.03664647 0.05093553 0.0386588  0.21947354 0.04285359
 0.05754426 0.01573173 0.0334473  0.05595959 0.40171784]"
76900,-0.040724791367538274,998.4378301896901,10.08466428939997,1.5473944235588974,0.160421347486363,58.48073853752027,17.67,1029.18,18.37,0.0,0.8499740034341812,"[0.02890345 0.04639401 0.04674512 0.03438216 0.2352927  0.02484281
 0.0471032  0.02180991 0.02829585 0.04895677 0.437274  ]"
77000,-0.05413379988633096,991.4397702879526,10.017866396718174,1.8361040530247184,0.18527388938031353,59.207087377534755,17.51,1031.51,30.15,0.0,0.8484740632772446,"[0.04350496 0.05136583 0.04457209 0.02486399 0.21602288 0.0430581
 0.05140458 0.02856204 0.05584642 0.0590434  0.3817557 ]"
77100,-0.04377027924638242,966.225085321928,9.796126946153262,1.099941463507253,0.09705555778930391,55.90731520311474,18.49,1025.54,77.47,0.0,0.8174418771266937,"[0.06808898 0.07555114 0.03163996 0.02749329 0.24841282 0.03461291
 0.04277776 0.01784807 0.0522701  0.05277307 0.34853187]"
77200,-0.03680673637893051,1001.8217977760581,10.159810254803675,1.2682471190230478,0.11722056980687011,58.327861995675455,17.82,1034.28,84.77,0.0,0.8417833656072616,"[0.04834742 0.06066079 0.0527243  0.03250512 0.1750427  0.06664621
 0.05851263 0.03959521 0.02855466 0.05120001 0.38621095]"
77300,-0.04183827937114984,993.9118201666024,10.056722254198815,0.8319801447692313,0.07646958545223788,53.682244970642714,19.22,1026.07,41.81,0.0,0.833936614394188,"[0.09310795 0.04630683 0.03273899 0.03536647 0.23186083 0.04910414
 0.03170903 0.0508997  0.03082516 0.0566495  0.3414314 ]"
77400,-0.027344845538027584,990.9182263660266,10.058649570673564,0.9067100778908054,0.0873718487394958,55.89664790708947,18.55,1029.91,98.63,0.0,0.8088519042730331,"[0.09812731 0.03926868 0.03963698 0.04050606 0.14966199 0.07878223
 0.04145969 0.03923443 0.04353715 0.06786119 0.36192423]"
77500,-0.05654004900716245,990.5018908554542,10.018630618654091,0.6743033346512449,0.0629445946640219,51.43230993003609,19.98,1022.94,33.32,0.0,0.8210570216178894,"[0.05229832 0.06328789 0.06467462 0.0477887  0.15327375 0.05307548
 0.02553773 0.0508131  0.04409387 0.07043751 0.37471905]"
77600,-0.065092543810606,993.5015044955082,10.047470912687244,1.303252695575838,0.1427163541652706,56.53771432312956,18.35,1032.16,38.48,0.0,0.8658346211910248,"[0.07914718 0.04831123 0.05362981 0.04903586 0.15185362 0.04968163
 0.04303564 0.04481712 0.05977618 0.05990586 0.36080587]"
77700,-0.05866037894506007,1005.9012142521859,10.183856621835337,1.3544819770013266,0.1379514517130616,57.68990853861481,17.92,1027.0,58.15,0.0,0.8812561547756195,"[0.04595935 0.04437013 0.07145531 0.040826   0.19233069 0.05942413
 0.02452472 0.03468652 0.04756963 0.0569565  0.381897  ]"
77800,-0.059540335275232795,992.7346225631148,10.062225710778728,1.8806026574904282,0.21313043470976908,61.80986848974038,16.86,1035.42,80.9,0.0,0.8882839995622634,"[0.0342866  0.02739265 0.06734172 0.07296772 0.19403414 0.06652369
 0.036897   0.05473905 0.0514725  0.06339354 0.3309514 ]"
77900,-0.0314048436563462,971.90729944767,9.87575601796089,0.3069866763708465,0.026563808381684272,51.98825648118201,19.87,1027.34,114.17,0.0,0.8205932354927064,"[0.03570084 0.02206417 0.05349459 0.07434452 0.25032133 0.05459924
 0.04819519 0.0450191  0.05485179 0.06396657 0.29744262]"
78000,-0.055034112920984625,956.7127747246841,9.695255870407244,0.25578982799554884,0.020607095472541696,47.794107095967846,21.55,1025.53,66.2,0.0,0.7986793327331543,"[0.03344097 0.03308974 0.06007516 0.04237111 0.20975685 0.05621128
 0.0480122  0.03739419 0.0473241  0.05899631 0.37332806]"
78100,-0.035879248706623915,1006.4642485929621,10.17066613280081,0.762497395449408,0.07443744164332401,53.356956993642754,19.28,1025.24,16.43,0.0,0.8224428623914719,"[0.0231626  0.04210253 0.06365471 0.04671879 0.17026134 0.07665589
 0.03853997 0.02655103 0.05459786 0.0527046  0.4050507 ]"
78200,-0.050068449275568125,1015.6639162262277,10.262460962455156,1.346716589267286,0.13713639490884075,57.635384115927074,17.97,1032.13,23.01,0.0,0.8464776313304901,"[0.03454115 0.03671862 0.05671376 0.05553674 0.21170196 0.06202604
 0.02625312 0.0340914  0.04416021 0.06091865 0.3773383 ]"
78300,-0.05688164243474603,1009.6698373960794,10.221666421707022,0.9902172581292416,0.09414278726538113,56.080387549878154,18.51,1031.22,52.47,0.0,0.8471465325355529,"[0.06343071 0.04637924 0.03115617 0.08553636 0.19212753 0.04927999
 0.04763447 0.04177317 0.04395198 0.05282206 0.34590834]"
78400,-0.06779942942317575,1006.2516117721332,10.197102257091036,1.2523551654314038,0.12036256919035557,57.22204180348374,18.03,1027.71,74.12,0.0,0.8528529483079911,"[0.04366159 0.06675088 0.04007128 0.12746476 0.15285745 0.05243043
 0.03309615 0.04033746 0.03134865 0.05443341 0.35754794]"
78500,-0.05890422421973199,988.6273186882202,10.027200178476495,0.7312869942235268,0.07341070032478701,53.98798223164865,19.16,1028.58,85.24,0.0,0.8184855753183364,"[0.03509631 0.04066185 0.03835843 0.120394   0.14274174 0.06579307
 0.0430158  0.03367032 0.05119115 0.06709079 0.3619865 ]"
78600,-0.05937476598657668,1003.3804769039058,10.155881873874991,1.0811319960998755,0.1106842646947136,54.48529177687301,19.0,1029.87,52.56,0.0,0.7934675669670105,"[0.07810174 0.05398674 0.03156905 0.08069774 0.12751344 0.05599814
 0.04903158 0.0448956  0.03874056 0.06173385 0.3777316 ]"
78700,-0.04789817147888243,1006.5923892799018,10.173882199880854,1.1851632266941865,0.11512669150594848,54.29147324591025,19.01,1027.68,27.09,0.0,0.805273887515068,"[0.03859145 0.04632217 0.03529755 0.09601554 0.1461995  0.0458982
 0.06401643 0.03771326 0.06820484 0.05802701 0.36371407]"
