epoch,loss_pi,loss_vf,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs,avg_value,avg_target,clip_frac
0,-0.03694983571767807,60.144813537597656,7.317413793103448,1.1810344827586208,0.0,0.0,8.637931034482758,116.0,1002.0,355.0,0.0,2.393526315689087,"[0.09618919 0.09126439 0.10237682 0.08237533 0.07248781 0.08808334
 0.08844193 0.09673985 0.10199034 0.08913863 0.09091237]",0.17222179472446442,3.188692331314087,0.0
100,-0.026860106885433197,192.26312728881837,23.633013646737698,2.692508195503182,0.0,0.0,6.534038194379597,154.95,1002.62,60.23,0.0,1.2059394228458404,"[0.0046435  0.00378098 0.00367413 0.00363386 0.00202807 0.1960813
 0.26958612 0.17000067 0.31515974 0.00337776 0.02803384]",9.045820236206055,13.884172439575195,0.07819928155280649
200,-0.01721452218480408,244.45998001098633,30.58082214251671,3.4269187534549745,0.0,0.0,7.097622453942477,142.77,1003.59,11.23,0.0,0.5771684092283249,"[0.00190064 0.00220617 0.00216616 0.00322963 0.0012314  0.1714566
 0.18672505 0.13138947 0.2595839  0.00245541 0.23765555]",12.311917304992676,13.951396942138672,0.08180787975899875
300,-0.018612565509974956,218.28056549072267,34.20845925387568,3.865329965509882,0.0,0.0,11.09722233886467,91.9,1006.16,27.48,0.0,0.5890750747919082,"[0.00580315 0.006176   0.0107973  0.00954123 0.00484797 0.12423206
 0.13347468 0.13330145 0.2750013  0.00479537 0.29202953]",8.50532054901123,14.216577529907227,0.09001438044011593
400,-0.017456769896671175,155.78586891174317,35.35026162013584,3.964623606365687,0.0,0.0,10.11368615554413,99.51,1004.87,10.66,0.0,0.5318978363275528,"[0.0102279  0.00853126 0.01318574 0.01076561 0.00927682 0.16073649
 0.11778332 0.12500435 0.24853428 0.01872623 0.277228  ]",10.21187973022461,14.308158874511719,0.07842984104529023
500,-0.01804618615657091,142.47390441894532,37.76410986994599,4.24414251960784,0.0,0.0,11.692379614787669,87.38,1005.84,15.11,0.0,0.5762780317664147,"[0.0166344  0.02438156 0.03322826 0.1048926  0.00717548 0.07352482
 0.05821075 0.07549858 0.24268238 0.00447397 0.35929716]",11.482743263244629,15.072494506835938,0.0778549806587398
600,-0.020348402205854654,111.38378005981446,40.95361569667723,4.664977160675886,0.0,0.0,16.76713318793629,60.53,1009.67,40.9,0.0,0.7754603636264801,"[0.01427912 0.02935009 0.11007766 0.04153275 0.00424268 0.05387748
 0.06227665 0.09380236 0.2261991  0.00175876 0.36260337]",13.654480934143066,14.688608169555664,0.07243608463555574
700,-0.019150720704346896,102.48699340820312,43.378288100638464,4.89341195961343,0.0,0.0,18.22362211553364,55.63,1008.15,15.49,0.0,0.6650847309827804,"[0.02786707 0.04669967 0.08966826 0.0733104  0.00393704 0.03928963
 0.07011408 0.08719504 0.19407275 0.00110659 0.36673948]",14.558403968811035,14.945711135864258,0.07176835484802722
800,-0.019293214920908214,99.08951889038086,44.48716763195365,5.008831646199399,0.0,0.0,18.478204953694398,55.07,1010.64,10.91,0.0,0.635926927626133,"[0.02181593 0.10653155 0.04711767 0.04875735 0.00323328 0.06502879
 0.08456252 0.09956756 0.17044736 0.0005883  0.3523497 ]",15.008020401000977,16.688379287719727,0.07838604975491763
900,-0.01975850154645741,96.59166732788086,45.79806346371795,5.15145856223976,0.0,0.0,19.068453694849083,53.22,1010.54,8.71,0.0,0.6419927513599396,"[0.0612275  0.09412643 0.03634831 0.04460793 0.00227797 0.06518482
 0.059181   0.09627057 0.20128381 0.0006001  0.33889157]",15.14312744140625,17.831262588500977,0.07560856822878122
1000,-0.018780436972156166,98.0302889251709,46.52500464215088,5.233767193366433,0.0,0.0,19.186860074655204,52.84,1009.0,9.02,0.0,0.5599225133657455,"[0.02072065 0.09645785 0.0304194  0.0826441  0.00311543 0.06679554
 0.07841408 0.09902097 0.20841916 0.0013335  0.31265935]",18.448400497436523,19.057933807373047,0.06935022048652172
1100,-0.01867222160100937,98.03268394470214,47.30731133218702,5.320438126885518,0.0,0.0,19.187485202974013,52.89,1011.16,9.0,0.0,0.6226157265901565,"[0.02748638 0.13496962 0.0281501  0.06061378 0.00163781 0.06521746
 0.08617211 0.073222   0.21225446 0.0006348  0.30964148]",17.678396224975586,18.636703491210938,0.05738189047202468
1200,-0.01903153980150819,95.15045768737792,47.05863196701818,5.291638876716319,0.0,0.0,19.24751515448592,52.73,1011.41,8.46,0.0,0.5702166551351547,"[0.02173168 0.0599611  0.01879002 0.13299647 0.0014123  0.08641319
 0.0838519  0.0712037  0.19524415 0.00085348 0.32754198]",16.983572006225586,18.67129135131836,0.0645842413790524
1300,-0.018756726505234838,96.4700138092041,47.28471121886119,5.310575802392217,0.0,0.0,19.06587206933646,53.18,1009.99,5.78,0.0,0.593136978149414,"[0.09771764 0.07066344 0.0544998  0.05955576 0.0011876  0.07809507
 0.08339433 0.08405782 0.16673128 0.00045105 0.3036462 ]",17.504486083984375,19.176420211791992,0.06057424874976278
1400,-0.017853778433054687,100.20344985961914,46.88303004228108,5.28807772051164,0.0,0.0,17.837676044216202,56.84,1009.89,18.97,0.0,0.5322955274581909,"[0.03860268 0.09736921 0.01183535 0.09693923 0.00112748 0.08286111
 0.11557084 0.11354998 0.18516436 0.00060644 0.25637332]",20.501279830932617,18.875749588012695,0.06381881734356284
1500,-0.01871496791020036,102.3224333190918,47.490621336353826,5.340320942636995,0.0,0.0,18.008645859279408,56.25,1009.73,11.14,0.0,0.5597078451514244,"[0.05582859 0.07364155 0.06222786 0.04247515 0.00116162 0.10026742
 0.09775175 0.11029943 0.18909185 0.00053932 0.26671547]",20.039186477661133,20.438655853271484,0.062117605209350585
1600,-0.017852299194782973,101.44365028381348,48.77726969821287,5.4840506717076,0.0,0.0,19.445474750736764,52.17,1010.4,8.81,0.0,0.5198847034573555,"[1.1504524e-01 9.2663221e-02 1.1357436e-02 5.9825554e-02 1.1238218e-03
 6.3801527e-02 8.7237038e-02 1.1655463e-01 1.5477809e-01 2.3111174e-04
 2.9738235e-01]",18.274227142333984,19.846431732177734,0.06583762623369693
1700,-0.016056236801669,104.1468433380127,49.35276152198841,5.546160040763895,0.0,0.0,20.01939527979947,50.66,1010.47,6.68,0.0,0.4431324961781502,"[0.02778969 0.09928761 0.01077629 0.08821893 0.00091121 0.09557085
 0.09712414 0.11625423 0.17503549 0.00029507 0.28873646]",18.707033157348633,19.362876892089844,0.057517210859805344
1800,-0.017215698966756465,102.25274528503418,47.838640345737666,5.363647248550509,0.0,0.0,18.178087728947233,55.64,1008.83,2.83,0.0,0.4019844043254852,"[3.2249615e-02 5.0358228e-02 1.2319738e-02 1.4340821e-01 1.3731908e-03
 1.0825404e-01 6.4116858e-02 6.7029111e-02 2.2270852e-01 2.4718381e-04
 2.9793528e-01]",20.71194839477539,21.392362594604492,0.06603547640144825
1900,-0.016376523030921818,101.38523941040039,48.62341001316035,5.4662979228102575,0.0,0.0,19.92789263655105,51.08,1012.49,7.64,0.0,0.41833225458860396,"[1.4939305e-01 7.1901359e-02 7.3714834e-03 3.8822748e-02 1.2588130e-03
 9.5477082e-02 5.5870429e-02 9.0560660e-02 1.7874269e-01 2.5676884e-04
 3.1034493e-01]",19.520286560058594,20.47896385192871,0.05867021853104234
2000,-0.015483769495040179,100.37938919067383,49.481478497458156,5.5588646580439045,0.0,0.0,20.265229202070117,50.18,1012.98,6.19,0.0,0.3868952363729477,"[1.4211832e-01 1.0942997e-01 1.0300243e-02 1.9953724e-02 8.6368452e-04
 1.0669373e-01 3.6162332e-02 7.0399873e-02 1.8177839e-01 1.7468227e-04
 3.2212505e-01]",20.61509132385254,20.97524070739746,0.05574915865436196
2100,-0.016117224358022212,100.14049362182617,49.835135440902576,5.594522244167226,0.0,0.0,20.922703743978815,48.58,1012.37,3.49,0.0,0.4093179240822792,"[1.2462129e-01 7.3508330e-02 2.2876170e-02 7.6303266e-02 5.1750767e-04
 9.7933598e-02 3.6262836e-02 7.4152611e-02 1.7602551e-01 2.1902125e-04
 3.1757990e-01]",21.24485969543457,22.124509811401367,0.06188393130898476
2200,-0.016511895675212145,107.82897315979004,48.856423613889845,5.477967585792559,0.0,0.0,19.066913167968185,53.18,1009.88,2.63,0.0,0.4039568677544594,"[0.06760222 0.11440144 0.03656682 0.02802968 0.00106009 0.09488543
 0.06270663 0.06691837 0.22118184 0.00036914 0.30627835]",22.75008773803711,20.736581802368164,0.061669331043958664
2300,-0.016853475235402583,106.69049423217774,49.6733661517745,5.575992767953647,0.0,0.0,19.63619737177593,51.71,1010.69,4.77,0.0,0.4351079401373863,"[3.0636324e-02 3.8737435e-02 3.3867568e-02 1.4998649e-01 1.2045315e-03
 9.5266685e-02 6.0886540e-02 1.0960563e-01 1.6872548e-01 1.9203572e-04
 3.1089130e-01]",19.627952575683594,21.616191864013672,0.06189872102811932
2400,-0.016691650077700616,104.18916542053222,49.577711548488196,5.558914368505343,0.0,0.0,19.871579520818965,51.1,1010.93,1.65,0.0,0.4356781867146492,"[9.1755450e-02 3.6549903e-02 2.7238779e-02 9.5805854e-02 2.7404737e-03
 1.0481875e-01 6.0231660e-02 8.9577287e-02 1.8296458e-01 1.5912281e-04
 3.0815819e-01]",19.75337028503418,20.88774871826172,0.06048311660066247
2500,-0.016192935155704618,111.6525993347168,50.044941931995744,5.632566600497829,0.0,0.0,19.464608375363596,52.11,1010.39,12.48,0.0,0.40531605899333956,"[6.0949866e-02 1.0987889e-01 7.5660450e-03 1.0359686e-01 1.7709831e-03
 8.8625371e-02 4.4619244e-02 1.1495620e-01 1.5285355e-01 1.3835315e-04
 3.1504464e-01]",19.90660858154297,20.85555648803711,0.06585556529462337
2600,-0.016097810752689838,110.14137161254882,50.80496068238786,5.702929554863878,0.0,0.0,20.41362919400129,49.69,1010.18,4.57,0.0,0.38886759579181673,"[1.24213636e-01 6.09730072e-02 1.12614110e-02 5.62040657e-02
 5.46633033e-03 8.87970999e-02 6.08982518e-02 7.39900023e-02
 2.11434454e-01 1.48262334e-04 3.06613475e-01]",20.16265869140625,19.883543014526367,0.06386383406817914
