epoch,loss_pi,loss_vf,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs,avg_value,avg_target
0,-0.02990313619375229,78.7400131225586,8.853523809523809,1.4095238095238096,0.0,0.0,9.571428571428571,105.0,1005.0,376.0,0.0,2.395411729812622,"[0.08309402 0.07985789 0.088213   0.09101192 0.0847917  0.09873848
 0.09983059 0.09289348 0.09635819 0.08857524 0.09663554]",0.17682614922523499,4.118734359741211
100,-0.05934387354180217,87.12988327026368,10.91717906485348,1.3548567780772247,0.0,0.0,6.209503693544932,167.56,1003.29,148.85,0.0,2.131388119459152,"[0.02233789 0.02551301 0.04131472 0.02866184 0.03345325 0.12445082
 0.20025918 0.09598358 0.20931044 0.13322164 0.08549364]",6.815495014190674,7.623145580291748
200,-0.195648308172822,175.12532417297362,24.062741733549633,2.797043909010934,0.0,0.0,7.339939921847345,137.12,1003.47,124.29,0.0,1.5677498698234558,"[0.02092403 0.02279228 0.0237292  0.02353018 0.02171333 0.05814068
 0.1653818  0.03301274 0.20851846 0.3732864  0.04897093]",12.015063285827637,13.335935592651367
300,-0.2063579734414816,226.64598587036133,29.909485572337044,3.4264863384954483,0.0,0.0,7.656887731645761,131.27,1004.33,97.75,0.0,1.1661760795116425,"[0.01600419 0.01905148 0.01862369 0.01599112 0.01283086 0.15470798
 0.23880135 0.0264438  0.14418757 0.30768463 0.04567333]",14.449417114257812,15.232661247253418
400,-0.14542335156351327,178.48347946166993,32.636393631546355,3.6924252246935247,0.0,0.0,7.4965959787796645,134.0,1003.93,56.29,0.0,0.8717501604557037,"[0.01143611 0.01101564 0.01309254 0.01397107 0.01137475 0.12230927
 0.20013125 0.06909902 0.13993302 0.36463925 0.04299805]",10.605226516723633,14.490945816040039
500,-0.10728116013109684,142.70348335266112,34.246942921760635,3.8647630006612665,0.0,0.0,7.627060932096407,131.68,1003.69,47.97,0.0,0.7813718426227569,"[0.01016976 0.00980611 0.01040784 0.01159977 0.00932465 0.19230114
 0.16054149 0.08106815 0.14770062 0.31934342 0.04773707]",13.729806900024414,14.938992500305176
600,-0.10090107547584921,136.91215179443358,35.51771641712847,3.9928672188140895,0.0,0.0,8.03322078471731,125.38,1004.58,30.37,0.0,0.7392192995548248,"[0.00696407 0.00736284 0.00788441 0.00869656 0.00706511 0.14105621
 0.1357386  0.07983422 0.10448158 0.31512532 0.1857911 ]",12.87522029876709,14.811530113220215
700,-0.08118682994507254,119.73467933654786,37.14332663287131,4.171980977436846,0.0,0.0,10.0105613320267,100.76,1004.99,19.04,0.0,0.7622333753108979,"[0.00899909 0.00756854 0.00884913 0.01169938 0.00925631 0.09762297
 0.12204564 0.11064482 0.10743254 0.28995574 0.22592586]",12.766216278076172,14.463367462158203
800,-0.06774348950246349,120.39441093444825,38.6911156798612,4.348234283210446,0.0,0.0,10.773786158189223,93.79,1005.01,20.27,0.0,0.72726114153862,"[0.00953216 0.00790106 0.00893884 0.01386162 0.0107407  0.09346694
 0.12613139 0.07486316 0.11903162 0.25728902 0.27824357]",14.492658615112305,14.359365463256836
900,-0.0565193054266274,116.22785179138184,40.166004200234596,4.521610072025446,0.0,0.0,12.985352490659736,77.96,1007.3,20.26,0.0,0.7480190294981003,"[0.01608967 0.01286987 0.01198036 0.0205051  0.01712892 0.08599727
 0.14495073 0.06910803 0.10743767 0.23729484 0.27663755]",15.118654251098633,16.46146583557129
1000,-0.0635600936319679,114.79804161071777,41.48582577855391,4.670502727056423,0.0,0.0,13.460917751676448,75.22,1006.71,20.59,0.0,0.8036292713880538,"[0.02205682 0.01142719 0.01284193 0.03075728 0.02441519 0.07407521
 0.11135505 0.04350702 0.09879524 0.2971054  0.27366358]",17.514144897460938,17.02336883544922
1100,-0.06444543520454317,109.7753328704834,41.87884312340318,4.718555881508049,0.0,0.0,14.11014694209485,71.76,1007.14,21.45,0.0,0.7941851508617401,"[0.03070718 0.01463899 0.01630275 0.04670421 0.03387652 0.0582794
 0.08404932 0.04440357 0.07399335 0.26347932 0.33356538]",14.36214828491211,16.162595748901367
1200,-0.060435411748476324,104.95645614624023,43.179228063806576,4.889950696666211,0.0,0.0,15.120031488609257,67.15,1007.53,35.2,0.0,0.883022495508194,"[0.04742736 0.01577395 0.01698769 0.06061575 0.04165801 0.0660747
 0.08968134 0.02216794 0.0741758  0.21820955 0.3472279 ]",16.737749099731445,17.106266021728516
1300,-0.057389450850896535,99.12012985229492,44.508463290304135,5.038004253956189,0.0,0.0,16.24783275224346,62.39,1009.26,31.57,0.0,0.8666563868522644,"[0.06179398 0.01566206 0.01301866 0.06853052 0.02717328 0.04566977
 0.09105732 0.0236611  0.06796926 0.25326732 0.33219674]",15.769664764404297,17.396883010864258
1400,-0.05210254824720323,97.45900207519531,45.46668585064237,5.1349698400168196,0.0,0.0,17.530060790318533,58.1,1009.66,22.53,0.0,0.8169676876068115,"[0.08621906 0.01752214 0.0108713  0.05066    0.02274511 0.03979819
 0.09001719 0.0133557  0.08907907 0.23693572 0.34279647]",19.029979705810547,19.617536544799805
1500,-0.05098427060060203,100.3630558013916,46.22465302816042,5.2099369557383906,0.0,0.0,17.381845234009294,58.36,1009.76,17.98,0.0,0.7752041012048722,"[0.09968939 0.01668568 0.01105935 0.0529961  0.02147023 0.05165059
 0.10092603 0.00823044 0.07683107 0.2418059  0.31865525]",19.795177459716797,19.74036979675293
1600,-0.04827887522056699,98.90203971862793,46.00227680884694,5.18850319737836,0.0,0.0,17.040002069917104,59.5,1008.96,20.56,0.0,0.7386983942985534,"[0.14229251 0.02014709 0.01091353 0.04666141 0.01875975 0.05570577
 0.10906336 0.02395885 0.07844085 0.22024527 0.2738116 ]",17.647613525390625,17.054536819458008
1700,-0.0420399264106527,100.54580001831054,47.03214263487066,5.2854024204216605,0.0,0.0,17.455371548174092,58.17,1009.57,10.68,0.0,0.7070695126056671,"[0.1194819  0.01754838 0.01084788 0.04684977 0.01526084 0.04902853
 0.10469577 0.00851628 0.0918017  0.21543191 0.32053706]",18.182950973510742,20.8118953704834
1800,-0.0457297334400937,101.46627693176269,46.64554380159644,5.269748211612355,0.0,0.0,17.28477863688151,58.77,1009.63,25.31,0.0,0.7101119881868363,"[0.11800927 0.01596111 0.0120717  0.03997093 0.01281138 0.06543902
 0.08689106 0.01056458 0.07693949 0.24064137 0.3207001 ]",21.723583221435547,20.836469650268555
1900,-0.034870346821844575,101.36944099426269,46.827548153531126,5.279569488650659,0.0,0.0,17.736199071894802,57.41,1009.73,18.94,0.0,0.6690297102928162,"[0.15703543 0.01885665 0.01367892 0.03585663 0.01483091 0.04804581
 0.0990726  0.00726778 0.06583718 0.24865443 0.29086366]",18.20880699157715,18.850351333618164
2000,-0.04157916711177677,95.23586997985839,47.00567220958349,5.295141383858184,0.0,0.0,17.67977061589784,57.69,1010.72,16.42,0.0,0.6713755625486374,"[0.16135475 0.01647355 0.01021858 0.03055519 0.01364381 0.04883853
 0.07196023 0.00698168 0.08931617 0.19617206 0.35448542]",17.532161712646484,17.85302734375
2100,-0.02862584692426026,97.2986840057373,47.492650374431236,5.3310989624669505,0.0,0.0,18.572735680951787,54.65,1011.04,5.66,0.0,0.6387506383657455,"[0.14355843 0.01364975 0.0104349  0.02981861 0.01368296 0.03364775
 0.08504942 0.00491959 0.14374138 0.1537245  0.3677727 ]",18.32233238220215,19.22953224182129
2200,-0.037268920703791085,98.1635757446289,47.15567539784421,5.303109730199554,0.0,0.0,18.39338257719678,55.54,1010.27,10.43,0.0,0.6401572751998902,"[0.13732027 0.01786336 0.01023009 0.03871069 0.00991482 0.06924798
 0.1292555  0.00158069 0.11035838 0.19185771 0.28366053]",21.364055633544922,19.038267135620117
2300,-0.035406935727223754,99.57893592834472,47.89997801776394,5.388168062831081,0.0,0.0,17.950243251292175,56.65,1009.5,12.84,0.0,0.6470224750041962,"[0.1784653  0.01553016 0.00995353 0.03569633 0.01269859 0.04036734
 0.10249627 0.00108203 0.06494165 0.21842873 0.32034   ]",17.822216033935547,18.32391357421875
2400,-0.037060218853876,99.47494552612305,47.55182247880735,5.3411961499707585,0.0,0.0,17.433641617567442,58.36,1010.17,9.51,0.0,0.5934865230321884,"[0.18926258 0.01304361 0.01003073 0.02600078 0.0151396  0.04912219
 0.0885512  0.00173567 0.12243013 0.16486084 0.3198227 ]",20.72252655029297,17.570796966552734
2500,-0.035650212748441844,100.20020027160645,48.13199008568176,5.411708640920628,0.0,0.0,18.169298616869465,55.95,1010.27,10.65,0.0,0.6057505363225937,"[0.17700635 0.01587233 0.01106312 0.027193   0.01390521 0.04932047
 0.06817069 0.00190526 0.08313669 0.23382348 0.3186034 ]",20.88991355895996,22.53811264038086
2600,-0.03472872553393245,99.79822044372558,48.17414831600871,5.419476140317524,0.0,0.0,17.88905276435229,56.82,1010.92,13.08,0.0,0.6186218243837357,"[0.19525796 0.01893261 0.0105931  0.03182833 0.01526257 0.0628232
 0.0778982  0.00088898 0.10305665 0.1925313  0.29092708]",19.732397079467773,20.506393432617188
2700,-0.03371984736761078,101.51679779052735,48.167665791608094,5.406318357338279,0.0,0.0,18.214666357744395,55.95,1009.02,6.23,0.0,0.621225671172142,"[0.14834312 0.01799392 0.01276499 0.02956713 0.01518147 0.11515442
 0.07991458 0.00098749 0.1416238  0.1561024  0.28236666]",18.380046844482422,18.496280670166016
2800,-0.033597175958566365,103.04040344238281,49.196999961683495,5.533105396926618,0.0,0.0,19.03376563288617,53.48,1010.78,11.01,0.0,0.6245011013746261,"[0.14694528 0.02088412 0.01063097 0.02563444 0.01109855 0.06686444
 0.09882253 0.00200613 0.1656984  0.14996041 0.3014547 ]",19.24483871459961,20.674482345581055
2900,-0.02959090530872345,104.47953765869141,48.975485640262775,5.4912898815171625,0.0,0.0,18.34602684787264,55.36,1011.82,3.96,0.0,0.6180205410718917,"[0.14620389 0.02482104 0.01194632 0.02431518 0.01161178 0.07356479
 0.11586595 0.00186542 0.15985607 0.14272241 0.28722715]",19.523170471191406,21.447702407836914
3000,-0.029407747611403464,106.06647842407227,49.108458424665585,5.50414727098692,0.0,0.0,17.88924408265466,56.84,1008.29,4.06,0.0,0.6061287331581116,"[0.10010579 0.02312733 0.01233844 0.02675607 0.01102569 0.11703238
 0.10737187 0.0007118  0.15785055 0.15940027 0.28427982]",17.810667037963867,18.057003021240234
3100,-0.032509399463888256,102.36476425170899,48.42889280486958,5.444878944766817,0.0,0.0,18.156612032287878,55.88,1008.56,11.47,0.0,0.6330946129560471,"[0.15146263 0.03397932 0.01403822 0.0291146  0.01331377 0.04447428
 0.09545361 0.00067968 0.15617318 0.1299206  0.3313901 ]",22.762014389038086,21.076425552368164
3200,-0.028899176279082894,106.78975372314453,48.86830302205972,5.49015241898449,0.0,0.0,18.127364905622677,56.04,1009.6,9.44,0.0,0.6302148139476776,"[0.12220032 0.04631054 0.01280442 0.02514116 0.01260972 0.08628812
 0.10509332 0.00228135 0.15677117 0.16328576 0.26721412]",19.012243270874023,20.681636810302734
3300,-0.03016543190460652,108.37926063537597,49.06096967033035,5.514565038594438,0.0,0.0,18.214415972031336,55.83,1009.84,10.63,0.0,0.6259549456834793,"[0.11061682 0.05507899 0.01676012 0.02260837 0.01473979 0.07154481
 0.08465771 0.00077401 0.12711968 0.1763787  0.31972104]",20.296003341674805,19.923053741455078
3400,-0.03278927374165505,106.60904113769531,48.93754802785562,5.4899187212558,0.0,0.0,17.91683123717914,56.72,1010.81,6.16,0.0,0.6388022732734681,"[0.11226998 0.06924898 0.01989472 0.01768841 0.02005939 0.05169154
 0.07322041 0.00101143 0.16915677 0.15533271 0.3104257 ]",22.64617919921875,21.264808654785156
3500,-0.026716091772541403,106.90495643615722,49.50155024627573,5.548475342566542,0.0,0.0,18.12668757776642,56.0,1009.65,3.91,0.0,0.610594123005867,"[0.08378684 0.08846168 0.01944456 0.01699841 0.01380358 0.04538918
 0.0875138  0.00034343 0.12205738 0.18589538 0.33630577]",20.74373435974121,19.17083168029785
3600,-0.02279161001322791,111.76403244018555,49.304746490535535,5.5394544246302155,0.0,0.0,17.674781987967084,57.35,1009.63,11.19,0.0,0.609976532459259,"[0.0995993  0.06932674 0.02104801 0.02225244 0.01647866 0.06249216
 0.08802404 0.00152843 0.12050543 0.16701166 0.33173314]",21.232027053833008,19.60152816772461
3700,-0.026281230405438692,105.40608665466308,49.41230391317841,5.550370694378671,0.0,0.0,19.396948504363465,52.48,1010.3,6.76,0.0,0.65389299929142,"[0.0927045  0.0689873  0.02595979 0.0215004  0.02178976 0.06741595
 0.08844574 0.00128891 0.12665412 0.1709896  0.3142639 ]",17.099313735961914,20.740217208862305
3800,-0.02623379722237587,108.9214028930664,48.90615185234375,5.508662868866014,0.0,0.0,18.67198109852716,54.41,1010.78,15.45,0.0,0.6688651788234711,"[0.06026418 0.10277522 0.03187167 0.01758657 0.01953148 0.07038591
 0.0712361  0.0003588  0.13686435 0.17340285 0.31572288]",21.408552169799805,21.156055450439453
3900,-0.028184923813678323,104.18454177856445,48.99064592728854,5.502643761344302,0.0,0.0,18.310964419873955,55.59,1011.06,8.29,0.0,0.6316169691085816,"[0.05862547 0.0728727  0.02240828 0.01679894 0.02032687 0.07276628
 0.11859132 0.00077738 0.1660929  0.1334797  0.31726015]",19.587188720703125,22.911972045898438
4000,-0.028468397348187863,109.24189544677735,50.26920431079102,5.6434245993927945,0.0,0.0,18.849619087110515,53.86,1009.59,7.4,0.0,0.6321526485681533,"[0.09213787 0.08776841 0.01858927 0.02190096 0.01527818 0.05660552
 0.1203995  0.00074626 0.13071601 0.15359578 0.30226225]",21.778966903686523,24.761322021484375
4100,-0.027563947897870093,102.80372680664063,49.890785243034856,5.6025550305393415,0.0,0.0,19.686587096177835,51.61,1010.78,6.4,0.0,0.6284238368272781,"[0.11011145 0.06449366 0.01717349 0.016592   0.01209659 0.08102845
 0.10436124 0.00079798 0.16446537 0.14698666 0.2818931 ]",20.875091552734375,21.98318099975586
4200,-0.02370580311398953,106.5379941558838,49.656557610663086,5.568637792330549,0.0,0.0,18.400434586253816,55.47,1011.25,5.13,0.0,0.6042506891489029,"[0.1034732  0.0906229  0.01780461 0.02716495 0.01226531 0.06048288
 0.08679584 0.00044483 0.11339618 0.14681329 0.34073597]",20.2544002532959,19.773883819580078
4300,-0.03339884536108002,104.1569344329834,49.44861469573946,5.556654494007424,0.0,0.0,19.400937293677913,52.31,1011.0,7.98,0.0,0.5978807002305985,"[0.09854385 0.05512306 0.01142217 0.02179891 0.00941977 0.07580624
 0.16665147 0.00144842 0.14252816 0.13836356 0.27889436]",19.15542984008789,20.72510528564453
4400,-0.02643360005924478,105.86436111450195,49.21561837203808,5.522963235633046,0.0,0.0,18.092436851086635,56.16,1009.75,6.67,0.0,0.553216462135315,"[0.13379954 0.0895118  0.01208362 0.01852589 0.01016702 0.06773187
 0.07118988 0.00062129 0.12567618 0.14954224 0.32115063]",21.105165481567383,21.807992935180664
4500,-0.028628921434283257,109.61158248901367,49.68938868450833,5.5835500446082555,0.0,0.0,18.178688349085277,56.03,1010.82,10.65,0.0,0.5356221747398376,"[0.093601   0.10150827 0.0099318  0.01389607 0.00814937 0.07224826
 0.1045038  0.0003314  0.11547016 0.19521159 0.2851483 ]",21.651260375976562,20.977153778076172
4600,-0.028858235247898847,112.2179044342041,49.7648802344971,5.585486456413316,0.0,0.0,18.069667630862824,56.03,1008.02,7.65,0.0,0.5201802659034729,"[0.06289908 0.10648631 0.00808975 0.0122602  0.00784749 0.0698878
 0.10802521 0.00044938 0.16134702 0.19576715 0.26694062]",20.661684036254883,22.72974967956543
4700,-0.019653719139751048,109.71536239624024,49.82579815452105,5.5821634293240425,0.0,0.0,18.11989712322816,56.22,1010.06,2.62,0.0,0.52288625061512,"[0.08177235 0.10158869 0.01025145 0.01594432 0.01181571 0.08237948
 0.10625298 0.00050858 0.14207073 0.15524586 0.29216987]",19.96336555480957,18.95599365234375
4800,-0.027859757866244762,112.05373329162597,50.24132554683573,5.632009763642121,0.0,0.0,18.220141403936513,55.69,1009.88,4.63,0.0,0.55431800365448,"[0.08960681 0.10924472 0.01382924 0.01642407 0.01618005 0.1152923
 0.07549495 0.00086412 0.11985825 0.16104527 0.28216022]",21.483978271484375,22.28036117553711
4900,-0.025653555968310683,107.97831535339355,48.97968025771583,5.4894440852991275,0.0,0.0,17.40671042973216,58.15,1008.38,4.19,0.0,0.5534633076190949,"[0.10219062 0.10230511 0.01281822 0.01404145 0.01424727 0.06130951
 0.10170101 0.00029029 0.14453898 0.17084336 0.27571422]",21.834726333618164,20.885032653808594
5000,-0.026176864614244552,109.15129425048828,49.944945733600605,5.611273994237269,0.0,0.0,18.61407254505432,54.59,1009.47,9.52,0.0,0.567302063703537,"[0.09229626 0.12780291 0.01387737 0.01294508 0.02406385 0.09209322
 0.08169307 0.00052447 0.14488225 0.1277212  0.2821003 ]",20.850200653076172,20.695459365844727
5100,-0.024226644074078648,108.76282928466797,49.45802762536533,5.552007492688936,0.0,0.0,18.11508247286082,56.15,1010.15,7.55,0.0,0.5576412403583526,"[1.1810329e-01 7.8298911e-02 1.4309419e-02 1.4416103e-02 2.0826828e-02
 5.0989296e-02 9.6941411e-02 2.5144767e-04 1.3231827e-01 1.7336270e-01
 3.0018231e-01]",20.544235229492188,19.193416595458984
5200,-0.028734551602974535,104.31147872924805,49.81811815974323,5.601295888988245,0.0,0.0,18.607454737290745,54.72,1011.39,12.05,0.0,0.5817576259374618,"[0.10856845 0.11170994 0.01357514 0.01812325 0.02519    0.06645461
 0.09589012 0.00106971 0.1304016  0.1481778  0.2808394 ]",21.223236083984375,20.70545196533203
5300,-0.023259294773451983,111.63690856933594,50.194176470232726,5.641891408311217,0.0,0.0,18.55179488538213,54.96,1010.76,10.87,0.0,0.5638652700185776,"[0.10020592 0.11817183 0.01265939 0.01887366 0.02602792 0.04656934
 0.09250792 0.00035867 0.14159772 0.15961571 0.28341192]",19.379989624023438,20.506912231445312
5400,-0.022062885388731957,111.3195491027832,49.81231706501297,5.58547379672875,0.0,0.0,17.82394341867399,57.13,1009.39,5.53,0.0,0.5544307512044907,"[0.07453041 0.10273974 0.01049779 0.02249347 0.02380762 0.06334106
 0.09244242 0.00075581 0.12987289 0.17309193 0.30642688]",21.63088035583496,21.18927001953125
5500,-0.0328992029489018,110.53481399536133,50.19105133912931,5.636754387338682,0.0,0.0,18.677213342732983,54.28,1009.98,8.82,0.0,0.557740245461464,"[0.11323892 0.09542221 0.00824547 0.02152553 0.02127429 0.04488198
 0.11955632 0.00063873 0.1397148  0.1388901  0.29661167]",20.198434829711914,19.739423751831055
5600,-0.027419026785064488,111.29989280700684,50.652814928734315,5.677701316542613,0.0,0.0,18.816934074699525,54.04,1010.84,3.54,0.0,0.548529846072197,"[9.9732816e-02 9.6752375e-02 1.0064900e-02 2.4952227e-02 2.3032896e-02
 7.8392506e-02 5.9117604e-02 2.3879825e-04 9.9594802e-02 1.9401449e-01
 3.1410655e-01]",21.681482315063477,23.071199417114258
5700,-0.023567476922180502,114.22538879394531,50.33093371550085,5.640889107163178,0.0,0.0,19.234952865955616,52.78,1010.23,2.38,0.0,0.5733423134684563,"[5.0982133e-02 1.2128256e-01 9.5728803e-03 4.1378103e-02 2.4880497e-02
 5.1994547e-02 8.4057488e-02 2.7903347e-04 1.1046092e-01 1.6637075e-01
 3.3874109e-01]",21.923479080200195,19.48976707458496
5800,-0.023583359234035015,112.11516052246094,49.988186934755376,5.61071452738793,0.0,0.0,18.287086220450124,55.58,1010.98,7.79,0.0,0.563394164443016,"[0.09600129 0.089362   0.00660822 0.04051733 0.02265401 0.05098398
 0.10921562 0.00032208 0.11226252 0.16839202 0.30368093]",20.91863250732422,17.52088737487793
5900,-0.024534071180969477,112.75476066589356,50.02848109362278,5.609151889039275,0.0,0.0,18.00939390957538,56.58,1009.67,5.17,0.0,0.5518059834837914,"[0.07535592 0.12541439 0.00750012 0.0439323  0.02720646 0.08984939
 0.1104963  0.00055312 0.11997537 0.11451755 0.28519908]",22.773027420043945,23.877487182617188
6000,-0.022946147643961013,117.90580749511719,50.4877970784625,5.672960178537848,0.0,0.0,19.014098681973607,53.49,1012.06,9.45,0.0,0.5889504861831665,"[0.06563467 0.10431407 0.00746139 0.03052893 0.03169939 0.06454308
 0.11036671 0.00063323 0.09092297 0.18276072 0.31113485]",21.084575653076172,19.48463249206543
6100,-0.02213069553952664,115.96759643554688,50.583763937914966,5.671992261548917,0.0,0.0,18.871321326597748,53.87,1009.46,4.66,0.0,0.5763190901279449,"[0.04430462 0.11675569 0.01107385 0.03114304 0.031305   0.07542551
 0.11962023 0.00034576 0.0652084  0.20293438 0.3018835 ]",21.277482986450195,22.305679321289062
6200,-0.02196637315209955,123.22181159973144,50.87683351848769,5.705725399587192,0.0,0.0,19.22632159738748,53.01,1010.14,4.5,0.0,0.5646390965580941,"[0.06795026 0.0946416  0.01220589 0.02905276 0.022375   0.08532207
 0.15345508 0.00067301 0.0927635  0.17705812 0.26450276]",22.6374568939209,22.422874450683594
6300,-0.021424850539769977,121.60404220581054,50.63736238446479,5.67175980754496,0.0,0.0,18.017477882309063,56.2,1009.11,2.87,0.0,0.5443359360098838,"[0.07586941 0.05159208 0.01159117 0.03456656 0.02310172 0.06818804
 0.11956453 0.0010911  0.09771439 0.19651404 0.32020694]",21.152414321899414,22.28923797607422
6400,-0.023231245120987298,117.42990142822265,50.57200665564204,5.669280618609047,0.0,0.0,19.346743481560576,52.59,1010.62,3.0,0.0,0.5665650755167008,"[0.06941348 0.07412344 0.00993181 0.02970739 0.02280466 0.11635429
 0.11802255 0.00061709 0.09757651 0.17721547 0.28423327]",21.682228088378906,22.030094146728516
6500,-0.024388470018748193,122.74231269836426,50.70234028702953,5.688254575224858,0.0,0.0,18.366516903368414,55.23,1009.83,6.88,0.0,0.5401532706618309,"[0.05763455 0.08635999 0.00862201 0.02500649 0.01928963 0.10061081
 0.12385272 0.00035736 0.09905556 0.18194762 0.29726323]",22.43519401550293,21.061338424682617
6600,-0.022303576027043165,123.56501998901368,50.719310354940056,5.692741752326978,0.0,0.0,18.80287881661503,53.88,1009.45,7.41,0.0,0.5221648555994034,"[0.13200365 0.06070219 0.00797619 0.0298985  0.02516418 0.04678379
 0.12390149 0.00055943 0.07890361 0.17943476 0.31467226]",21.989543914794922,20.766748428344727
6700,-0.01919575782259926,125.6132438659668,50.43700788631451,5.664532707664948,0.0,0.0,18.954472782062627,53.79,1008.96,7.96,0.0,0.5345441037416458,"[0.09661542 0.07117856 0.00830293 0.03705757 0.02568104 0.06790344
 0.12810077 0.00036785 0.10905382 0.18131526 0.27442336]",22.38681983947754,20.88506507873535
6800,-0.021152445569168777,124.28927299499512,51.376527472478564,5.760884051367445,0.0,0.0,19.70736140820039,51.61,1011.34,3.49,0.0,0.5499306574463845,"[0.07726174 0.12462503 0.00844271 0.03000455 0.01746223 0.07700437
 0.1048578  0.00101288 0.10892698 0.14668623 0.30371544]",21.83303451538086,21.49814224243164
6900,-0.02497465842636302,122.48030395507813,51.265210775018915,5.764239701776705,0.0,0.0,19.501636238225455,52.05,1011.06,10.68,0.0,0.5035762909054756,"[0.10266621 0.11140565 0.00929317 0.02689987 0.01926351 0.06927954
 0.1519647  0.00051904 0.08304297 0.1260456  0.29961976]",22.475311279296875,20.90713119506836
7000,-0.02026454024016857,122.98221900939942,50.95022996085754,5.715523578784723,0.0,0.0,18.74540875961933,54.46,1010.84,5.61,0.0,0.4772700726985931,"[0.11248261 0.09061241 0.00643221 0.02261689 0.01531175 0.0895392
 0.11680072 0.00099188 0.11772436 0.14961089 0.2778771 ]",20.973989486694336,21.032514572143555
7100,-0.02193562651751563,122.11544792175293,51.30632241207972,5.756394748055494,0.0,0.0,18.60481919697391,54.62,1011.13,6.69,0.0,0.4761285349726677,"[7.5227559e-02 1.3941869e-01 8.5814511e-03 2.8066270e-02 1.4887148e-02
 8.6641237e-02 9.4970837e-02 2.9892524e-04 7.2746642e-02 1.4933461e-01
 3.2982659e-01]",22.889232635498047,20.67658233642578
7200,-0.022636341308243574,125.66834510803223,51.3846343489668,5.757761775922642,0.0,0.0,18.908702929421455,53.67,1009.62,2.98,0.0,0.48045008927583693,"[0.07294349 0.1214546  0.00674897 0.01709981 0.01658994 0.0793459
 0.13572343 0.00065779 0.11233137 0.15766847 0.27943623]",20.142742156982422,18.9532413482666
