/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-04-13_combi_ppo/s7/policy_exp_2.pth

Training the algorithm: PPO_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.936049
End time:		 2021-05-23 15:43:39.936049
Last epoch info:
epoch:    2038382 	 loss_pi:      -0.00 	 loss_vf:      11.74 	 return:      54.31 	 fireworks:  18.12 	 score:  17.44 	 lives left:   1.75 	 ep_len:  63.75 	 num_eps:  16.00 	 batch size: 1020.00 	 illegals:   0.00 	 entropy: 0.084
Actions:		 [7, 10, 0, 10, 4, 10, 2, 10, 9, 2, 9, 9, 9, 7, 10, 5, 1, 9, 10, 7, 4, 10, 2, 10, 4, 10, 1, 10, 8, 4, 10, 0, 10, 9, 5, 10, 4, 10, 2, 10, 2, 10, 4, 10, 9, 4, 0, 10, 8, 3, 7, 10, 2, 10, 7, 10, 5, 10, 2, 10, 3, 10, 0, 2, 7, 10, 9, 10, 1, 10, 9, 1, 7, 9, 10, 7, 10, 9, 6, 1, 4, 10, 1, 10, 10, 1, 3, 6, 10, 8, 10, 7, 2, 1, 10, 4, 10, 3, 10, 8, 10, 4, 2, 10, 7, 3, 9, 10, 4, 10, 4, 10, 4, 10, 4, 10, 9, 8, 3, 8, 8, 9, 7, 8, 10, 3, 10, 2, 7, 10, 0, 10, 1, 10, 9, 1, 10, 7, 0, 10, 0, 10, 4, 10, 2, 10, 10, 1, 2, 7, 9, 6, 10, 6, 3, 10, 8, 2, 10, 9, 4, 8, 7, 10, 4, 10, 4, 10, 4, 10, 2, 10, 9, 5, 7, 2, 9, 8, 7, 5, 10, 2, 10, 10, 0, 10, 5, 10, 10, 4, 10, 2, 10, 2, 5, 6, 10, 5, 1, 10, 1, 10, 0, 10, 9, 2, 10, 8, 1, 9, 7, 10, 9, 6, 0, 10, 7, 3, 8, 10, 6, 7, 9, 3, 9, 7, 10, 3, 10, 1, 10, 9, 0, 5, 10, 5, 2, 10, 2, 10, 2, 10, 3, 10, 2, 10, 4, 10, 10, 2, 10, 7, 4, 0, 10, 0, 6, 9, 7, 9, 6, 10, 0, 10, 0, 10, 4, 10, 0, 10, 9, 0, 10, 9, 3, 9, 9, 10, 8, 0, 6, 9, 10, 7, 2, 7, 9, 8, 10, 5, 7, 3, 10, 10, 5, 2, 3, 10, 8, 10, 2, 10, 3, 10, 2, 10, 8, 10, 10, 2, 10, 7, 4, 3, 10, 2, 10, 10, 9, 7, 10, 9, 1, 9, 10, 0, 10, 9, 1, 10, 9, 10, 7, 1, 0, 9, 5, 8, 9, 5, 7, 8, 10, 8, 0, 10, 8, 3, 10, 2, 10, 7, 10, 7, 4, 2, 10, 2, 10, 7, 0, 8, 10, 8, 1, 10, 7, 10, 2, 10, 4, 10, 3, 10, 10, 2, 10, 10, 3, 10, 4, 10, 5, 9, 10, 9, 9, 4, 9, 10, 0, 10, 6, 1, 9, 1, 10, 10, 0, 10, 8, 7, 2, 3, 7, 10, 10, 3, 10, 9, 10, 9, 2, 5, 5, 5, 3, 0, 10, 2, 10, 7, 10, 10, 2, 10, 2, 10, 9, 4, 3, 10, 3, 10, 2, 10, 2, 10, 7, 2, 10, 2, 10, 3, 10, 10, 9, 10, 9, 9, 6, 9, 4, 9, 10, 5, 0, 10, 1, 10, 10, 2, 10, 9, 0, 9, 1, 10, 8, 4, 10, 4, 10, 10, 4, 10, 3, 4, 8, 10, 4, 10, 4, 10, 2, 10, 7, 10, 9, 4, 3, 10, 9, 10, 8, 5, 3, 10, 8, 10, 0, 10, 2, 10, 0, 10, 7, 10, 2, 10, 2, 10, 3, 7, 9, 9, 7, 7, 5, 8, 7, 10, 0, 10, 9, 7, 5, 10, 0, 10, 2, 10, 7, 2, 3, 10, 1, 10, 9, 5, 0, 10, 5, 0, 7, 10, 2, 10, 0, 10, 7, 2, 10, 10, 2, 10, 7, 8, 9, 5, 3, 10, 2, 10, 10, 4, 10, 3, 10, 2, 10, 4, 10, 4, 10, 4, 10, 0, 10, 7, 10, 2, 2, 10, 4, 10, 1, 10, 0, 10, 0, 10, 9, 7, 5, 4, 9, 10, 3, 10, 10, 1, 10, 9, 3, 9, 9, 8, 9, 0, 10, 1, 10, 4, 10, 10, 2, 4, 10, 3, 10, 4, 10, 0, 10, 5, 4, 10, 2, 10, 7, 8, 10, 4, 6, 10, 9, 0, 5, 8, 10, 5, 9, 6, 5, 9, 10, 0, 10, 6, 0, 10, 5, 1, 10, 0, 10, 9, 0, 10, 0, 10, 4, 10, 4, 10, 1, 10, 9, 0, 10, 0, 10, 4, 10, 0, 10, 0, 10, 9, 5, 4, 9, 10, 8, 3, 10, 2, 10, 9, 0, 8, 10, 8, 2, 7, 10, 10, 3, 10, 2, 10, 1, 10, 7, 10, 2, 10, 7, 6, 5, 7, 5, 10, 2, 10, 0, 10, 4, 10, 0, 10, 4, 10, 0, 10, 1, 10, 8, 2, 10, 0, 10, 5, 2, 10, 9, 2, 5, 10, 2, 10, 8, 4, 10, 2, 10, 0, 10, 9, 9, 7, 4, 10, 4, 10, 3, 10, 4, 10, 9, 10, 5, 4, 2, 10, 8, 10, 7, 10, 2, 10, 4, 10, 3, 10, 8, 5, 9, 10, 9, 0, 10, 0, 10, 9, 1, 6, 10, 2, 10, 10, 0, 2, 5, 10, 0, 10, 9, 10, 0, 10, 7, 8, 9, 0, 0, 9, 10, 10, 4, 10, 4, 10, 4, 10, 0, 10, 9, 2, 0, 10, 7, 10, 2, 10, 0, 10, 9, 9, 9, 9, 6, 7, 10, 4, 10, 4, 10, 9, 2, 10, 9, 10, 8, 4, 4, 10, 9, 8, 3, 10, 0, 10, 6, 0, 10, 9, 4, 7, 10, 2, 10, 8, 4, 7, 9, 5, 10, 3, 10, 8, 10, 2, 10, 10, 3, 10, 3, 10, 8, 10, 7, 3, 8, 10, 2, 10, 7, 10, 2, 10, 3, 6, 7, 9, 10, 5, 0, 5, 5, 6, 9, 10, 8, 7, 9, 5, 0, 8, 7, 10, 6, 4, 10, 3, 10, 4, 10, 3, 10, 8, 2, 10, 2, 10, 8, 2, 10, 2, 10, 7, 3, 10, 3, 10, 8, 2, 8, 10, 10, 2, 10, 2, 10, 2, 10, 3, 10, 3, 10, 8, 10, 2, 10, 7, 9, 6, 5, 10, 0, 10, 10, 4, 10, 2, 10, 0, 10, 1, 8, 9, 10, 10, 3, 10, 9, 4, 9, 9, 9, 5, 5, 5, 10, 0, 10, 3, 10, 2, 10, 8, 7, 7, 9, 5, 2, 8, 7, 3, 3, 10, 8, 10, 10, 4, 10, 3, 10, 4, 10, 0, 10, 3, 10, 2, 10, 7, 10, 0]
Finished running at:	 2021-05-23 15:43:40.406160

Saved training data in: ../data/2021-04-13_combi_ppo/s8/results_experiment_2.csv

Saved policy parameters in: ../policy_params/2021-04-13_combi_ppo/s8/policy_exp_2.pth

Testing PPO_cheat.py for 1000 episodes.
episode:      0	 return:      61.56	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:      1	 return:      57.80	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:      2	 return:      60.96	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:      3	 return:      61.04	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:      4	 return:      57.72	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:      5	 return:      67.30	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:      6	 return:      58.26	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:      7	 return:      63.66	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:      8	 return:      57.48	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:      9	 return:      64.16	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     10	 return:      51.80	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     11	 return:      30.14	 score:    0	 fireworks:   15	 lives left:    0	 ep_len:   39	 ill moves:    0
episode:     12	 return:      54.22	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     13	 return:      51.30	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     14	 return:      64.10	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     15	 return:      61.02	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     16	 return:      11.86	 score:    0	 fireworks:    6	 lives left:    0	 ep_len:   20	 ill moves:    0
episode:     17	 return:      54.12	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     18	 return:      70.46	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     19	 return:      70.62	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     20	 return:      51.80	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     21	 return:      67.26	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     22	 return:      58.02	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     23	 return:      27.80	 score:    0	 fireworks:   14	 lives left:    0	 ep_len:   39	 ill moves:    0
episode:     24	 return:      73.50	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     25	 return:      60.92	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     26	 return:      57.56	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     27	 return:      51.98	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     28	 return:      64.18	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     29	 return:      54.88	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     30	 return:      67.62	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     31	 return:      67.18	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     32	 return:      61.12	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     33	 return:      61.18	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     34	 return:      61.46	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     35	 return:      57.66	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     36	 return:      63.48	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     37	 return:      61.02	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     38	 return:      57.92	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     39	 return:      45.24	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     40	 return:      67.12	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     41	 return:      57.94	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     42	 return:      60.74	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     43	 return:      67.16	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     44	 return:      58.04	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     45	 return:      54.56	 score:   18	 fireworks:   18	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     46	 return:      57.42	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     47	 return:      64.46	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     48	 return:      60.68	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     49	 return:      51.70	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     50	 return:      60.80	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     51	 return:      64.32	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     52	 return:      60.80	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     53	 return:      48.18	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     54	 return:      70.16	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     55	 return:      57.34	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     56	 return:      67.32	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     57	 return:      48.20	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     58	 return:      67.02	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   61	 ill moves:    0
episode:     59	 return:      31.92	 score:    0	 fireworks:   16	 lives left:    0	 ep_len:   65	 ill moves:    0
episode:     60	 return:      60.62	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     61	 return:      57.92	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     62	 return:      42.34	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     63	 return:      55.18	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     64	 return:      57.48	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     65	 return:      58.08	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     66	 return:      57.88	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     67	 return:      47.96	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
