/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-04-13_combi_spg/s7/policy_exp_4.pth

Training the algorithm: SPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.591581
End time:		 2021-05-23 15:43:39.591581
Last epoch info:
epoch:    2105786 	 loss:      -0.07 	 return:     176.79 	 fireworks:  17.69 	 score:  17.69 	 lives left:   2.00 	 ep_len:  65.38 	 num_eps:  16.00 	 batch size: 1046.00 	 illegals:  10.00 	 entropy: 0.641
Actions:		 [10, 8, 1, 10, 6, 10, 2, 10, 9, 10, 3, 4, 4, 10, 9, 10, 3, 10, 8, 4, 3, 10, 10, 2, 4, 10, 10, 3, 10, 8, 3, 10, 0, 10, 6, 3, 8, 10, 4, 10, 0, 10, 0, 10, 9, 10, 8, 1, 10, 10, 0, 6, 1, 0, 1, 10, 8, 10, 6, 10, 0, 10, 5, 10, 6, 10, 1, 10, 1, 10, 6, 6, 5, 8, 10, 9, 0, 10, 5, 5, 8, 2, 6, 10, 8, 10, 6, 4, 9, 3, 5, 8, 10, 6, 10, 0, 0, 10, 10, 0, 10, 0, 10, 5, 10, 1, 0, 0, 5, 10, 10, 10, 0, 1, 10, 10, 10, 2, 0, 1, 1, 6, 10, 5, 0, 10, 1, 7, 10, 1, 10, 10, 0, 0, 6, 9, 9, 5, 10, 8, 1, 10, 1, 4, 10, 0, 10, 8, 10, 1, 10, 10, 10, 0, 10, 0, 3, 10, 1, 0, 9, 10, 8, 3, 10, 1, 4, 10, 10, 1, 10, 9, 10, 3, 3, 10, 5, 3, 1, 10, 10, 3, 0, 8, 8, 10, 10, 6, 5, 0, 5, 5, 5, 2, 10, 7, 1, 10, 10, 1, 0, 10, 10, 5, 10, 5, 10, 0, 2, 0, 5, 10, 0, 10, 4, 10, 3, 10, 9, 10, 8, 1, 10, 4, 4, 9, 5, 9, 10, 6, 4, 10, 4, 10, 2, 10, 4, 10, 10, 10, 10, 4, 0, 10, 1, 10, 8, 0, 0, 2, 10, 8, 1, 10, 6, 0, 5, 5, 5, 10, 1, 10, 6, 1, 6, 6, 10, 10, 9, 1, 8, 8, 10, 8, 10, 5, 2, 9, 3, 10, 4, 6, 10, 4, 10, 5, 10, 9, 5, 5, 5, 2, 6, 10, 10, 5, 5, 0, 1, 0, 10, 0, 10, 5, 0, 5, 8, 10, 0, 10, 3, 10, 10, 1, 10, 0, 0, 5, 10, 10, 0, 0, 10, 6, 10, 1, 0, 10, 0, 9, 5, 6, 5, 8, 10, 3, 10, 3, 10, 1, 10, 1, 10, 9, 0, 8, 6, 5, 10, 8, 2, 6, 10, 6, 0, 10, 1, 10, 5, 10, 5, 2, 6, 1, 3, 1, 1, 10, 1, 10, 1, 0, 10, 5, 1, 10, 0, 10, 1, 10, 0, 10, 0, 10, 1, 10, 5, 1, 6, 10, 5, 10, 1, 7, 6, 10, 10, 10, 0, 10, 6, 3, 3, 9, 8, 8, 10, 5, 10, 9, 5, 6, 0, 10, 9, 3, 5, 2, 10, 10, 0, 3, 8, 10, 0, 10, 3, 10, 1, 10, 5, 10, 0, 10, 5, 10, 0, 10, 1, 10, 0, 10, 0, 3, 0, 10, 5, 10, 8, 5, 1, 5, 10, 0, 10, 5, 10, 10, 0, 1, 2, 0, 5, 10, 9, 10, 5, 3, 0, 10, 0, 4, 10, 9, 10, 8, 5, 8, 0, 9, 6, 5, 5, 5, 6, 0, 5, 5, 10, 5, 0, 5, 10, 6, 0, 10, 0, 10, 6, 10, 2, 10, 0, 10, 3, 10, 5, 3, 10, 0, 10, 0, 10, 0, 10, 1, 1, 10, 6, 10, 0, 10, 0, 10, 6, 10, 10, 9, 8, 10, 5, 6, 9, 4, 6, 10, 6, 10, 4, 0, 10, 10, 10, 1, 2, 10, 4, 3, 8, 5, 10, 10, 1, 10, 10, 1, 10, 8, 1, 8, 0, 4, 5, 10, 2, 10, 0, 10, 1, 10, 10, 4, 10, 2, 10, 4, 10, 3, 10, 8, 5, 6, 6, 0, 1, 5, 5, 10, 5, 0, 10, 6, 10, 2, 10, 3, 10, 9, 5, 9, 6, 10, 0, 3, 10, 0, 10, 5, 0, 10, 8, 0, 5, 5, 6, 10, 8, 1, 9, 10, 10, 0, 10, 2, 3, 10, 6, 5, 4, 8, 10, 3, 10, 6, 0, 10, 1, 10, 5, 7, 0, 10, 10, 4, 3, 10, 10, 1, 0, 10, 1, 10, 1, 10, 0, 9, 8, 5, 6, 10, 0, 10, 5, 5, 8, 10, 5, 1, 3, 10, 5, 0, 9, 10, 0, 5, 10, 5, 1, 10, 0, 10, 6, 0, 5, 10, 1, 10, 8, 0, 10, 1, 1, 10, 10, 10, 10, 2, 0, 1, 10, 6, 10, 0, 1, 0, 10, 3, 10, 0, 10, 1, 10, 6, 10, 5, 10, 0, 1, 5, 5, 9, 9, 8, 5, 10, 6, 0, 8, 6, 6, 10, 8, 10, 8, 10, 10, 0, 0, 1, 1, 10, 0, 10, 5, 3, 10, 10, 0, 1, 10, 10, 5, 10, 0, 10, 5, 3, 0, 10, 10, 0, 6, 5, 1, 10, 10, 9, 5, 2, 10, 0, 0, 10, 5, 0, 10, 5, 10, 0, 0, 10, 1, 10, 10, 9, 8, 5, 6, 9, 6, 6, 10, 5, 8, 6, 9, 4, 10, 2, 10, 2, 10, 8, 10, 3, 10, 10, 1, 10, 1, 10, 8, 10, 5, 2, 5, 10, 6, 10, 5, 3, 0, 5, 2, 5, 3, 10, 10, 10, 0, 0, 1, 1, 2, 10, 2, 10, 1, 10, 0, 10, 6, 1, 10, 1, 10, 1, 10, 9, 5, 4, 9, 10, 0, 10, 6, 3, 10, 10, 10, 8, 10, 3, 2, 8, 1, 10, 10, 10, 4, 1, 1, 4, 10, 6, 3, 10, 10, 10, 3, 10, 1, 10, 6, 10, 0, 4, 5, 10, 0, 0, 1, 10, 9, 1, 10, 6, 3, 6, 10, 10, 0, 3, 10, 5, 2, 10, 6, 10, 0, 10, 8, 1, 0, 6, 10, 1, 10, 0, 10, 9, 10, 1, 10, 4, 4, 10, 9, 3, 9, 8, 6, 9, 10, 10, 0, 10, 8, 10, 3, 2, 10, 4, 10, 10, 10, 4, 10, 8, 10, 6, 5, 10, 5, 3, 8, 1, 3, 8, 6, 6, 6, 0, 1, 5, 10, 1, 10, 10, 0, 3, 6, 10, 0, 10, 0, 2, 10, 10, 9, 10, 9, 8, 1, 10, 3, 10, 6, 0, 10, 4, 10, 9, 0, 5, 10, 10, 10, 1, 2, 1, 10, 10, 0, 3, 10, 10, 1, 2, 8, 3, 10, 5, 5, 0, 6, 10, 2, 10, 9, 10, 8, 10, 3, 5, 8, 0, 1, 5, 10, 1, 6, 10, 10, 0, 10, 0, 10, 0, 0, 6, 10, 1, 10, 0]
Finished running at:	 2021-05-23 15:43:39.765293

Saved training data in: ../data/2021-04-13_combi_spg/s8/results_experiment_4.csv

Saved policy parameters in: ../policy_params/2021-04-13_combi_spg/s8/policy_exp_4.pth

Testing SPG_cheat.py for 1000 episodes.
episode:      0	 return:     180.96	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      1	 return:     178.86	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    2
episode:      2	 return:     160.40	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      3	 return:     187.70	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    3
episode:      4	 return:     179.14	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    2
episode:      5	 return:     150.24	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:      6	 return:     218.04	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   65	 ill moves:    3
episode:      7	 return:     139.94	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:      8	 return:     179.40	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    1
episode:      9	 return:     199.54	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   66	 ill moves:    1
episode:     10	 return:     179.24	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    1
episode:     11	 return:     180.02	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    1
episode:     12	 return:     170.38	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     13	 return:     170.22	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     14	 return:     149.78	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     15	 return:     159.86	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     16	 return:     200.56	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     17	 return:     198.80	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   65	 ill moves:    2
episode:     18	 return:     189.50	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   67	 ill moves:    1
episode:     19	 return:     170.42	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     20	 return:     178.72	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    2
episode:     21	 return:     179.90	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     22	 return:     139.86	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     23	 return:     170.56	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     24	 return:     134.84	 score:    0	 fireworks:   15	 lives left:    0	 ep_len:   59	 ill moves:    0
episode:     25	 return:     201.04	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     26	 return:     190.24	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     27	 return:     149.50	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   69	 ill moves:    1
episode:     28	 return:     169.60	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    1
episode:     29	 return:     180.76	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     30	 return:     201.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     31	 return:     170.94	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     32	 return:     190.96	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     33	 return:     199.82	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   63	 ill moves:    1
episode:     34	 return:     160.08	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   71	 ill moves:    0
episode:     35	 return:     190.44	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     36	 return:     201.04	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     37	 return:     189.36	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    1
episode:     38	 return:     149.32	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    1
episode:     39	 return:     169.44	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   68	 ill moves:    1
episode:     40	 return:     169.56	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   68	 ill moves:    1
episode:     41	 return:     190.84	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     42	 return:     169.14	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    1
episode:     43	 return:     170.12	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     44	 return:     201.18	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     45	 return:     138.74	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   71	 ill moves:    1
episode:     46	 return:     180.24	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     47	 return:     170.36	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     48	 return:     180.56	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     49	 return:     180.46	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     50	 return:     149.50	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     51	 return:     170.22	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     52	 return:     169.24	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   68	 ill moves:    1
episode:     53	 return:     189.76	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    1
episode:     54	 return:     210.94	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     55	 return:     140.26	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     56	 return:     210.92	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     57	 return:     210.80	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     58	 return:     199.82	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   63	 ill moves:    1
episode:     59	 return:     179.80	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    1
episode:     60	 return:     159.32	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   68	 ill moves:    1
episode:     61	 return:     170.54	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     62	 return:     168.94	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   68	 ill moves:    1
episode:     63	 return:     170.42	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     64	 return:     180.66	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     65	 return:     188.24	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   66	 ill moves:    2
episode:     66	 return:     188.40	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    2
episode:     67	 return:     186.50	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    4
episode:     68	 return:     189.74	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    1
