/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-04-13_combi_spg/s7/policy_exp_5.pth

Training the algorithm: SPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.686234
End time:		 2021-05-23 15:43:39.686234
Last epoch info:
epoch:    2095656 	 loss:      -0.16 	 return:     181.60 	 fireworks:  18.19 	 score:  18.19 	 lives left:   1.81 	 ep_len:  65.56 	 num_eps:  16.00 	 batch size: 1049.00 	 illegals:  13.00 	 entropy: 0.584
Actions:		 [7, 9, 5, 10, 5, 0, 9, 10, 4, 10, 1, 10, 9, 4, 5, 10, 3, 10, 1, 10, 1, 10, 3, 0, 0, 0, 10, 10, 0, 10, 4, 10, 2, 4, 10, 4, 10, 4, 10, 9, 10, 7, 10, 9, 0, 3, 5, 7, 9, 3, 10, 9, 7, 7, 0, 5, 5, 10, 6, 10, 1, 10, 6, 4, 1, 6, 9, 9, 8, 5, 9, 9, 10, 10, 8, 0, 1, 7, 10, 3, 10, 3, 10, 4, 10, 2, 10, 10, 0, 10, 5, 10, 3, 10, 9, 9, 10, 7, 3, 3, 10, 9, 3, 4, 7, 1, 5, 8, 10, 10, 4, 1, 5, 10, 10, 2, 3, 10, 5, 0, 5, 10, 3, 10, 1, 10, 0, 10, 10, 8, 7, 7, 4, 10, 10, 4, 10, 10, 2, 1, 9, 5, 10, 9, 10, 0, 1, 10, 10, 10, 9, 5, 1, 10, 7, 2, 4, 7, 2, 5, 10, 5, 10, 3, 10, 9, 4, 1, 10, 5, 2, 9, 1, 10, 5, 10, 3, 10, 1, 10, 7, 10, 0, 0, 5, 4, 10, 3, 10, 4, 10, 1, 10, 7, 9, 10, 8, 10, 9, 0, 9, 0, 5, 5, 7, 10, 5, 10, 1, 3, 10, 0, 10, 2, 10, 4, 10, 10, 10, 4, 0, 9, 4, 10, 10, 4, 10, 2, 3, 9, 10, 4, 10, 3, 10, 3, 10, 5, 0, 10, 10, 2, 0, 10, 10, 10, 0, 3, 0, 9, 9, 4, 7, 7, 10, 10, 5, 10, 5, 10, 1, 10, 10, 5, 10, 7, 0, 5, 9, 10, 3, 10, 5, 4, 10, 4, 10, 0, 10, 5, 0, 10, 9, 3, 9, 9, 8, 10, 10, 10, 3, 0, 10, 10, 0, 10, 10, 7, 3, 3, 4, 10, 5, 5, 2, 3, 10, 4, 10, 10, 2, 10, 7, 10, 4, 0, 4, 7, 5, 10, 0, 10, 6, 5, 2, 10, 0, 5, 10, 10, 0, 10, 9, 10, 5, 10, 4, 10, 9, 9, 4, 4, 3, 9, 10, 9, 0, 7, 5, 1, 9, 5, 10, 0, 10, 9, 10, 1, 10, 4, 0, 10, 4, 10, 0, 10, 8, 2, 10, 0, 10, 10, 10, 0, 4, 7, 5, 4, 10, 10, 0, 10, 0, 6, 5, 10, 3, 10, 1, 10, 7, 10, 0, 8, 7, 9, 10, 5, 10, 0, 2, 10, 4, 10, 2, 10, 4, 10, 2, 10, 3, 10, 9, 0, 10, 9, 2, 9, 10, 9, 7, 7, 8, 10, 10, 5, 10, 3, 0, 4, 10, 9, 0, 4, 5, 10, 3, 10, 4, 10, 10, 4, 3, 10, 0, 10, 0, 10, 7, 10, 7, 10, 5, 2, 4, 6, 2, 10, 10, 9, 9, 7, 10, 9, 3, 10, 9, 9, 10, 4, 10, 5, 8, 2, 2, 9, 7, 10, 10, 5, 3, 4, 10, 0, 10, 3, 10, 7, 10, 9, 5, 0, 0, 10, 9, 4, 10, 10, 10, 4, 4, 5, 10, 4, 4, 10, 10, 2, 1, 4, 10, 0, 10, 7, 10, 3, 10, 2, 4, 5, 10, 7, 10, 2, 9, 10, 5, 10, 5, 10, 9, 5, 9, 9, 3, 3, 9, 7, 5, 2, 10, 8, 10, 7, 10, 0, 10, 7, 2, 4, 10, 3, 10, 4, 10, 0, 10, 10, 10, 1, 10, 0, 10, 2, 10, 4, 0, 0, 10, 1, 3, 10, 4, 10, 10, 3, 7, 0, 10, 5, 0, 5, 9, 10, 7, 10, 5, 10, 1, 8, 8, 9, 9, 10, 7, 0, 9, 5, 10, 2, 10, 9, 1, 9, 7, 7, 5, 10, 5, 10, 10, 10, 1, 10, 0, 4, 10, 0, 4, 3, 10, 8, 2, 10, 7, 5, 7, 1, 5, 10, 10, 6, 2, 10, 10, 10, 10, 0, 10, 5, 0, 10, 10, 0, 1, 10, 10, 1, 2, 10, 1, 4, 0, 1, 9, 10, 4, 10, 9, 4, 9, 10, 4, 5, 10, 10, 10, 10, 1, 0, 0, 4, 9, 5, 5, 9, 7, 9, 7, 10, 8, 10, 2, 4, 10, 10, 2, 10, 3, 10, 3, 4, 10, 10, 0, 4, 5, 10, 5, 4, 5, 10, 9, 7, 2, 4, 10, 10, 0, 10, 0, 10, 10, 2, 10, 0, 10, 6, 10, 0, 4, 6, 5, 9, 7, 9, 9, 5, 5, 5, 7, 10, 10, 2, 2, 10, 8, 1, 7, 5, 5, 10, 4, 10, 10, 3, 2, 10, 4, 10, 9, 7, 5, 10, 3, 10, 10, 10, 4, 10, 1, 10, 0, 10, 7, 5, 5, 10, 3, 2, 4, 0, 10, 0, 2, 10, 0, 4, 10, 5, 10, 5, 6, 5, 10, 7, 5, 9, 10, 9, 7, 1, 8, 10, 0, 5, 10, 4, 10, 3, 10, 3, 10, 5, 2, 5, 10, 9, 4, 10, 4, 10, 2, 10, 8, 2, 9, 7, 7, 7, 10, 5, 10, 0, 10, 0, 10, 5, 3, 0, 10, 7, 4, 5, 0, 10, 10, 0, 10, 5, 6, 10, 1, 10, 0, 10, 5, 4, 6, 10, 5, 0, 9, 10, 0, 10, 0, 10, 9, 0, 10, 9, 0, 10, 9, 10, 1, 10, 7, 10, 4, 0, 4, 10, 3, 10, 2, 10, 4, 10, 4, 10, 4, 10, 9, 10, 5, 0, 8, 7, 7, 9, 9, 5, 0, 10, 0, 10, 0, 10, 5, 0, 10, 5, 10, 0, 10, 7, 10, 2, 10, 7, 2, 5, 10, 9, 5, 8, 7, 10, 9, 1, 9, 10, 7, 8, 3, 9, 10, 7, 10, 9, 10, 4, 0, 0, 10, 10, 3, 10, 5, 10, 5, 10, 5, 2, 2, 4, 10, 10, 3, 10, 3, 4, 0, 10, 4, 10, 9, 0, 10, 7, 0, 5, 10, 4, 10, 0, 10, 0, 10, 5, 10, 3, 6, 0, 10, 7, 8, 8, 10, 5, 0, 10, 2, 10, 0, 10, 9, 0, 0, 10, 5, 10, 9, 10, 10, 0, 4, 0, 10, 9, 10, 0, 3, 7, 2, 10, 9, 0, 10, 10, 3, 4, 10, 10, 0, 10, 7, 5, 3, 2, 10, 4, 10, 10, 0, 10, 3, 4, 10, 9, 10, 7, 0, 7, 3, 0, 2, 10, 10, 3, 10, 8, 10, 6, 6, 2, 6]
Finished running at:	 2021-05-23 15:43:40.989795

Saved training data in: ../data/2021-04-13_combi_spg/s8/results_experiment_5.csv

Saved policy parameters in: ../policy_params/2021-04-13_combi_spg/s8/policy_exp_5.pth

Testing SPG_cheat.py for 1000 episodes.
episode:      0	 return:     167.52	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   73	 ill moves:    3
episode:      1	 return:     200.68	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:      2	 return:     189.76	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    1
episode:      3	 return:     162.56	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   64	 ill moves:    0
episode:      4	 return:     160.14	 score:   16	 fireworks:   16	 lives left:    3	 ep_len:   71	 ill moves:    0
episode:      5	 return:     180.92	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:      6	 return:     180.12	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    1
episode:      7	 return:     180.64	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      8	 return:     180.40	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:      9	 return:     149.20	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   69	 ill moves:    1
episode:     10	 return:     158.34	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   68	 ill moves:    2
episode:     11	 return:     189.76	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    1
episode:     12	 return:     190.38	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     13	 return:     190.82	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     14	 return:     168.98	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   68	 ill moves:    1
episode:     15	 return:     190.66	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     16	 return:     201.18	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     17	 return:     190.86	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     18	 return:     167.40	 score:   17	 fireworks:   17	 lives left:    3	 ep_len:   70	 ill moves:    3
episode:     19	 return:     180.04	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     20	 return:     149.20	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   68	 ill moves:    1
episode:     21	 return:     179.68	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   68	 ill moves:    1
episode:     22	 return:     158.64	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   69	 ill moves:    2
episode:     23	 return:     130.06	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     24	 return:     190.54	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     25	 return:     180.52	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     26	 return:     139.36	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   69	 ill moves:    1
episode:     27	 return:     170.32	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     28	 return:     168.96	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   67	 ill moves:    1
episode:     29	 return:     209.56	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   63	 ill moves:    1
episode:     30	 return:     180.42	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     31	 return:     170.42	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     32	 return:     189.74	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   66	 ill moves:    1
episode:     33	 return:     199.68	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    1
episode:     34	 return:     188.78	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    2
episode:     35	 return:     199.28	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    1
episode:     36	 return:     180.28	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     37	 return:     200.76	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     38	 return:     190.04	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   65	 ill moves:    1
episode:     39	 return:     170.46	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     40	 return:     150.28	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     41	 return:     157.84	 score:   16	 fireworks:   16	 lives left:    3	 ep_len:   73	 ill moves:    3
episode:     42	 return:     200.04	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   65	 ill moves:    1
episode:     43	 return:     200.96	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     44	 return:     180.06	 score:   18	 fireworks:   18	 lives left:    3	 ep_len:   67	 ill moves:    1
episode:     45	 return:     159.90	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     46	 return:     187.62	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   68	 ill moves:    3
episode:     47	 return:     160.32	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     48	 return:     190.50	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     49	 return:     209.30	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   64	 ill moves:    2
episode:     50	 return:     170.14	 score:   17	 fireworks:   17	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     51	 return:     178.52	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    2
episode:     52	 return:     180.02	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    1
episode:     53	 return:     190.26	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     54	 return:     160.24	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     55	 return:     180.40	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     56	 return:     177.60	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   68	 ill moves:    3
episode:     57	 return:     180.30	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     58	 return:     180.30	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     59	 return:     179.72	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    1
episode:     60	 return:     169.78	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     61	 return:     139.16	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   69	 ill moves:    1
episode:     62	 return:     189.44	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   65	 ill moves:    1
episode:     63	 return:     162.14	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   65	 ill moves:    0
episode:     64	 return:     189.62	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   65	 ill moves:    1
episode:     65	 return:     200.76	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     66	 return:     170.62	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     67	 return:     168.98	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   67	 ill moves:    2
episode:     68	 return:     180.22	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    0
