/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-04-13_combi_spg/s7/policy_exp_6.pth

Training the algorithm: SPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.482746
End time:		 2021-05-23 15:43:39.482746
Last epoch info:
epoch:    2209685 	 loss:      -0.30 	 return:    2113.20 	 fireworks:  21.20 	 score:  18.67 	 lives left:   1.33 	 ep_len:  66.80 	 num_eps:  15.00 	 batch size: 1002.00 	 illegals:  77.00 	 entropy: 0.804
Actions:		 [10, 1, 10, 10, 10, 1, 10, 9, 0, 1, 1, 5, 9, 10, 1, 10, 5, 2, 10, 9, 4, 10, 2, 10, 1, 10, 1, 10, 10, 6, 4, 6, 9, 9, 6, 6, 10, 10, 10, 0, 5, 4, 9, 10, 2, 10, 4, 10, 9, 9, 10, 0, 2, 5, 10, 6, 5, 10, 5, 6, 9, 10, 2, 0, 4, 4, 10, 4, 10, 0, 10, 6, 2, 10, 9, 5, 10, 1, 10, 4, 10, 4, 10, 1, 10, 0, 4, 9, 10, 10, 10, 4, 10, 4, 4, 9, 4, 9, 7, 5, 5, 10, 9, 5, 10, 2, 10, 9, 9, 5, 5, 1, 10, 6, 5, 2, 2, 0, 1, 0, 10, 9, 0, 5, 3, 10, 5, 10, 9, 4, 6, 10, 5, 2, 10, 5, 1, 9, 2, 10, 1, 10, 7, 1, 10, 6, 10, 9, 6, 9, 3, 9, 5, 6, 6, 10, 1, 10, 9, 1, 10, 4, 2, 10, 9, 10, 2, 10, 3, 10, 4, 10, 9, 5, 4, 10, 10, 1, 4, 10, 10, 1, 10, 2, 10, 10, 0, 1, 9, 9, 5, 6, 6, 9, 10, 5, 6, 9, 9, 0, 9, 10, 0, 10, 10, 1, 10, 9, 10, 1, 1, 10, 1, 10, 9, 6, 9, 4, 9, 10, 5, 10, 3, 10, 4, 10, 10, 4, 10, 4, 3, 10, 4, 10, 1, 4, 9, 9, 4, 10, 10, 6, 10, 10, 4, 10, 4, 6, 6, 6, 5, 0, 3, 2, 10, 9, 10, 6, 9, 6, 9, 10, 6, 1, 10, 5, 6, 9, 7, 9, 1, 10, 9, 10, 1, 4, 10, 9, 10, 9, 6, 10, 9, 1, 1, 9, 3, 2, 10, 4, 3, 10, 10, 10, 6, 1, 1, 10, 5, 5, 10, 1, 10, 9, 10, 4, 10, 1, 10, 10, 10, 10, 5, 5, 1, 6, 5, 6, 1, 10, 1, 1, 10, 9, 10, 1, 10, 9, 7, 4, 10, 9, 1, 10, 1, 10, 9, 0, 6, 7, 9, 10, 1, 2, 4, 10, 7, 4, 9, 10, 3, 10, 4, 10, 9, 6, 10, 6, 6, 5, 9, 1, 10, 9, 4, 6, 10, 9, 0, 10, 6, 5, 10, 6, 10, 1, 4, 3, 10, 5, 10, 2, 4, 10, 5, 0, 10, 10, 9, 9, 7, 10, 5, 0, 10, 9, 10, 9, 10, 9, 10, 6, 1, 9, 4, 4, 1, 10, 10, 5, 10, 9, 6, 6, 1, 1, 10, 9, 5, 9, 10, 4, 1, 1, 10, 4, 10, 3, 2, 10, 6, 6, 6, 10, 5, 1, 6, 4, 2, 3, 4, 4, 4, 10, 5, 4, 5, 10, 4, 2, 10, 10, 2, 10, 9, 2, 10, 5, 0, 10, 9, 0, 10, 1, 1, 10, 9, 0, 10, 0, 10, 2, 10, 7, 4, 10, 9, 10, 9, 10, 9, 3, 9, 9, 10, 9, 1, 6, 9, 5, 6, 4, 10, 4, 2, 9, 10, 9, 5, 2, 0, 10, 2, 10, 10, 4, 10, 1, 2, 9, 10, 10, 10, 0, 4, 1, 9, 5, 6, 6, 10, 5, 6, 7, 10, 1, 7, 10, 9, 2, 9, 10, 6, 1, 9, 5, 0, 0, 10, 3, 10, 1, 10, 5, 3, 10, 1, 10, 10, 10, 1, 4, 2, 1, 10, 1, 10, 6, 4, 10, 6, 3, 9, 1, 10, 9, 4, 9, 0, 10, 10, 10, 4, 0, 10, 9, 4, 4, 1, 10, 3, 10, 6, 6, 10, 6, 5, 9, 1, 5, 4, 0, 3, 10, 8, 9, 6, 9, 10, 7, 6, 10, 9, 7, 9, 1, 4, 10, 9, 10, 9, 9, 9, 10, 4, 5, 9, 6, 10, 10, 0, 10, 6, 10, 2, 10, 1, 10, 1, 10, 1, 4, 1, 10, 6, 4, 10, 4, 10, 9, 1, 6, 9, 5, 6, 4, 1, 10, 9, 4, 2, 4, 3, 10, 5, 0, 10, 2, 4, 3, 5, 8, 9, 7, 6, 8, 9, 10, 6, 5, 10, 0, 10, 10, 1, 10, 9, 10, 1, 1, 9, 9, 9, 10, 4, 10, 9, 10, 2, 10, 2, 10, 4, 2, 10, 7, 4, 3, 9, 10, 10, 5, 3, 10, 4, 10, 9, 0, 6, 1, 9, 10, 10, 1, 10, 2, 1, 1, 10, 1, 1, 1, 10, 5, 5, 2, 0, 10, 9, 7, 9, 10, 9, 1, 10, 10, 3, 10, 9, 10, 3, 10, 3, 3, 9, 9, 7, 9, 10, 7, 1, 4, 9, 10, 1, 10, 4, 10, 1, 10, 9, 9, 6, 9, 10, 6, 5, 10, 9, 1, 10, 1, 4, 10, 10, 10, 6, 1, 2, 9, 2, 9, 4, 4, 5, 5, 3, 1, 2, 4, 4, 4, 10, 5, 10, 1, 5, 5, 10, 1, 10, 5, 9, 9, 10, 6, 3, 5, 2, 6, 10, 1, 10, 5, 1, 9, 10, 9, 6, 5, 10, 10, 10, 4, 10, 1, 10, 4, 0, 10, 9, 1, 10, 3, 3, 10, 9, 6, 3, 10, 10, 1, 10, 4, 10, 9, 7, 1, 4, 4, 10, 6, 10, 1, 4, 10, 5, 6, 9, 5, 9, 10, 8, 1, 9, 10, 10, 1, 4, 6, 9, 10, 9, 7, 6, 4, 10, 9, 9, 10, 9, 1, 10, 1, 4, 9, 0, 10, 9, 5, 10, 10, 4, 4, 9, 10, 3, 5, 10, 9, 5, 5, 4, 1, 6, 4, 10, 1, 4, 2, 2, 2, 3, 10, 5, 1, 10, 10, 3, 6, 10, 6, 3, 2, 2, 3, 1, 10, 10, 1, 0, 1, 2, 10, 5, 9, 7, 7, 10, 6, 1, 9, 5, 10, 5, 10, 10, 6, 2, 9, 9, 0, 9, 10, 9, 10, 6, 6, 6, 2, 4, 10, 9, 9, 2, 10, 6, 1, 6, 9, 0, 3, 4, 10, 9, 10, 5, 10, 10, 1, 10, 6, 2, 10, 10, 4, 4, 1, 10, 10, 1, 10, 1, 4, 0, 10, 10, 5, 10, 1, 0, 2]
Finished running at:	 2021-05-23 15:43:40.506908

Saved training data in: ../data/2021-04-13_combi_spg/s8/results_experiment_6.csv

Saved policy parameters in: ../policy_params/2021-04-13_combi_spg/s8/policy_exp_6.pth

Testing SPG_cheat.py for 1000 episodes.
episode:      0	 return:    2086.66	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   76	 ill moves:   14
episode:      1	 return:    2188.98	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   73	 ill moves:   12
episode:      2	 return:    2092.30	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   68	 ill moves:    9
episode:      3	 return:    2295.82	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   67	 ill moves:    5
episode:      4	 return:    2092.54	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   70	 ill moves:    8
episode:      5	 return:    2189.70	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   71	 ill moves:   11
episode:      6	 return:    2183.14	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   80	 ill moves:   18
episode:      7	 return:    1995.78	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   68	 ill moves:    5
episode:      8	 return:    2000.98	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:      9	 return:    1683.18	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   60	 ill moves:    0
episode:     10	 return:    1880.06	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   61	 ill moves:    2
episode:     11	 return:    1898.40	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    2
episode:     12	 return:    1994.46	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   71	 ill moves:    6
episode:     13	 return:    2290.50	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   71	 ill moves:   11
episode:     14	 return:    2096.76	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   66	 ill moves:    4
episode:     15	 return:    2096.84	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   65	 ill moves:    4
episode:     16	 return:    1881.92	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   53	 ill moves:    0
episode:     17	 return:    2401.08	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     18	 return:    1896.60	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   69	 ill moves:    4
episode:     19	 return:    2399.36	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    2
episode:     20	 return:    2292.92	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   68	 ill moves:    8
episode:     21	 return:    1596.26	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   71	 ill moves:    4
episode:     22	 return:    1484.08	 score:    0	 fireworks:   15	 lives left:    0	 ep_len:   66	 ill moves:    1
episode:     23	 return:    2391.44	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   69	 ill moves:   10
episode:     24	 return:    2197.22	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   63	 ill moves:    4
episode:     25	 return:    2298.28	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    3
episode:     26	 return:    1871.60	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   74	 ill moves:   10
episode:     27	 return:    2098.04	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   65	 ill moves:    3
episode:     28	 return:    1895.62	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   71	 ill moves:    5
episode:     29	 return:    2195.76	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   67	 ill moves:    5
episode:     30	 return:    1997.52	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   66	 ill moves:    3
episode:     31	 return:    1880.24	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   62	 ill moves:    1
episode:     32	 return:    2290.32	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   71	 ill moves:   11
episode:     33	 return:    1896.78	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   67	 ill moves:    4
episode:     34	 return:    2079.58	 score:    0	 fireworks:   21	 lives left:    0	 ep_len:   62	 ill moves:    0
episode:     35	 return:    2293.92	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   66	 ill moves:    7
episode:     36	 return:    1899.74	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    1
episode:     37	 return:    1796.70	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   69	 ill moves:    4
episode:     38	 return:    2396.14	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   65	 ill moves:    5
episode:     39	 return:    2074.30	 score:    0	 fireworks:   21	 lives left:    0	 ep_len:   65	 ill moves:    6
episode:     40	 return:    2398.34	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   63	 ill moves:    3
episode:     41	 return:    1681.26	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   56	 ill moves:    2
episode:     42	 return:    2100.72	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     43	 return:    2295.22	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   66	 ill moves:    6
episode:     44	 return:    1797.44	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   73	 ill moves:    3
episode:     45	 return:    1683.68	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   59	 ill moves:    0
episode:     46	 return:    1795.64	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   70	 ill moves:    5
episode:     47	 return:    1682.22	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   66	 ill moves:    1
episode:     48	 return:    2297.02	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   64	 ill moves:    4
episode:     49	 return:    1898.64	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   68	 ill moves:    2
episode:     50	 return:    2390.94	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   69	 ill moves:   10
episode:     51	 return:    2393.22	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   68	 ill moves:    8
episode:     52	 return:    2078.24	 score:    0	 fireworks:   21	 lives left:    0	 ep_len:   66	 ill moves:    2
episode:     53	 return:    1584.00	 score:    0	 fireworks:   16	 lives left:    0	 ep_len:   57	 ill moves:    0
episode:     54	 return:    1698.46	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   69	 ill moves:    2
episode:     55	 return:    2396.06	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   64	 ill moves:    5
episode:     56	 return:    2196.34	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   67	 ill moves:    5
episode:     57	 return:    1993.80	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   69	 ill moves:    7
episode:     58	 return:    2093.86	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   68	 ill moves:    7
episode:     59	 return:    2296.96	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   66	 ill moves:    4
episode:     60	 return:    1893.66	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   70	 ill moves:    7
episode:     61	 return:    2089.26	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   73	 ill moves:   12
episode:     62	 return:    2187.76	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   74	 ill moves:   13
episode:     63	 return:    1799.46	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    1
episode:     64	 return:    2197.16	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   65	 ill moves:    4
