/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-04-13_combi_vpg/s7/policy_exp_1.pth

Training the algorithm: VPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.064324
End time:		 2021-05-23 15:43:39.064324
Last epoch info:
epoch:    2038159 	 loss_pi:      -0.00 	 loss_vf:       0.58 	 return:      23.58 	 fireworks:  22.50 	 score:  22.50 	 lives left:   1.75 	 ep_len:  63.12 	 num_eps:  16.00 	 batch size: 1010.00 	 illegals:   0.00 	 entropy: 0.105
Actions:		 [5, 6, 10, 6, 10, 1, 10, 9, 6, 9, 10, 5, 10, 5, 10, 6, 2, 2, 1, 0, 4, 6, 9, 9, 10, 10, 4, 10, 4, 10, 10, 1, 10, 6, 6, 4, 4, 10, 10, 8, 10, 4, 4, 10, 4, 10, 10, 1, 10, 6, 8, 1, 10, 9, 5, 5, 5, 5, 10, 5, 10, 2, 10, 1, 9, 6, 6, 10, 9, 0, 6, 10, 7, 10, 2, 10, 2, 10, 1, 10, 2, 10, 8, 0, 10, 4, 1, 10, 6, 10, 4, 10, 1, 10, 9, 10, 6, 6, 1, 9, 5, 5, 9, 10, 6, 5, 0, 2, 10, 2, 1, 10, 10, 1, 10, 6, 10, 0, 10, 8, 5, 5, 10, 0, 10, 6, 0, 5, 7, 6, 5, 9, 5, 9, 10, 4, 10, 4, 10, 9, 10, 6, 6, 1, 10, 1, 10, 6, 2, 8, 2, 10, 10, 1, 10, 1, 10, 1, 10, 6, 10, 9, 10, 5, 6, 9, 6, 6, 5, 1, 0, 2, 6, 10, 1, 10, 10, 1, 10, 6, 10, 2, 10, 1, 10, 8, 6, 10, 8, 10, 8, 10, 7, 1, 10, 9, 10, 9, 6, 9, 9, 10, 4, 8, 4, 5, 0, 10, 7, 4, 10, 1, 10, 10, 4, 10, 4, 10, 4, 10, 4, 10, 9, 10, 0, 10, 8, 10, 9, 5, 5, 9, 8, 5, 0, 5, 6, 6, 1, 1, 10, 6, 6, 10, 10, 10, 1, 10, 1, 10, 1, 10, 6, 10, 5, 10, 9, 10, 7, 10, 9, 2, 6, 7, 7, 7, 0, 6, 10, 4, 1, 10, 4, 10, 9, 2, 6, 6, 10, 6, 10, 2, 10, 2, 10, 1, 10, 6, 10, 1, 1, 10, 10, 4, 10, 4, 10, 2, 10, 9, 6, 2, 5, 0, 8, 9, 6, 6, 10, 10, 8, 1, 1, 6, 5, 5, 7, 10, 9, 10, 6, 5, 0, 9, 0, 5, 10, 5, 6, 1, 6, 10, 4, 10, 4, 10, 0, 10, 2, 10, 9, 8, 9, 4, 10, 9, 10, 4, 10, 4, 10, 8, 5, 10, 10, 1, 10, 8, 5, 1, 6, 9, 6, 10, 8, 6, 5, 10, 1, 10, 6, 1, 10, 10, 8, 5, 10, 10, 0, 1, 10, 9, 1, 10, 4, 10, 10, 1, 0, 10, 10, 8, 10, 9, 9, 9, 1, 6, 1, 6, 10, 1, 10, 9, 5, 10, 4, 10, 9, 5, 0, 4, 6, 9, 4, 10, 2, 10, 2, 10, 0, 10, 9, 0, 10, 6, 10, 10, 0, 4, 10, 0, 10, 8, 5, 10, 6, 10, 5, 10, 1, 10, 8, 7, 5, 9, 5, 5, 10, 10, 1, 10, 2, 10, 9, 10, 8, 1, 1, 2, 6, 10, 10, 10, 2, 10, 2, 0, 10, 9, 10, 4, 10, 10, 1, 10, 4, 10, 2, 10, 4, 10, 9, 6, 5, 10, 9, 5, 1, 9, 6, 10, 5, 5, 0, 6, 6, 2, 6, 10, 10, 1, 1, 6, 8, 10, 7, 5, 9, 10, 5, 0, 9, 10, 10, 8, 0, 8, 4, 5, 10, 9, 4, 10, 10, 4, 10, 10, 1, 10, 6, 10, 9, 9, 10, 4, 10, 4, 10, 9, 5, 6, 9, 5, 0, 5, 6, 5, 6, 0, 10, 6, 5, 1, 10, 0, 10, 10, 0, 10, 6, 10, 8, 0, 2, 10, 2, 7, 10, 7, 5, 10, 7, 2, 2, 9, 9, 10, 9, 8, 5, 6, 4, 5, 10, 10, 8, 4, 10, 9, 8, 10, 9, 1, 6, 6, 5, 1, 5, 2, 10, 5, 10, 1, 10, 2, 10, 10, 10, 2, 10, 1, 10, 6, 6, 0, 5, 6, 10, 10, 1, 10, 1, 10, 6, 2, 10, 2, 5, 7, 10, 9, 7, 7, 10, 7, 10, 9, 10, 1, 0, 9, 10, 6, 10, 6, 10, 9, 10, 2, 10, 8, 0, 4, 4, 2, 10, 0, 10, 8, 10, 1, 10, 4, 10, 8, 10, 9, 10, 5, 6, 1, 6, 6, 10, 5, 5, 5, 2, 0, 5, 1, 10, 10, 10, 0, 10, 1, 10, 6, 10, 5, 7, 9, 5, 10, 5, 10, 9, 10, 4, 10, 4, 0, 7, 2, 9, 9, 10, 9, 10, 6, 5, 8, 0, 4, 6, 10, 1, 10, 6, 4, 10, 0, 10, 6, 4, 6, 10, 4, 10, 10, 1, 10, 6, 6, 1, 9, 10, 5, 6, 1, 10, 0, 10, 0, 10, 6, 5, 6, 10, 2, 9, 7, 10, 1, 10, 10, 1, 2, 10, 1, 10, 2, 10, 2, 10, 9, 7, 8, 10, 9, 2, 10, 4, 10, 9, 2, 9, 4, 10, 1, 10, 6, 5, 10, 9, 6, 4, 2, 9, 6, 6, 10, 4, 10, 10, 4, 2, 10, 8, 10, 0, 10, 6, 10, 1, 10, 6, 6, 10, 9, 10, 5, 5, 0, 1, 7, 7, 9, 9, 7, 7, 10, 9, 0, 10, 4, 10, 4, 10, 8, 4, 10, 9, 10, 8, 10, 5, 1, 2, 10, 9, 1, 0, 10, 4, 10, 1, 10, 4, 10, 9, 5, 8, 1, 10, 6, 8, 10, 10, 10, 10, 10, 6, 6, 6, 5, 1, 0, 1, 10, 8, 10, 5, 10, 8, 10, 8, 0, 1, 7, 5, 9, 10, 4, 10, 0, 10, 10, 0, 4, 10, 9, 10, 9, 7, 6, 0, 10, 6, 6, 6, 10, 9, 10, 9, 9, 1, 5, 2, 4, 9, 10, 0, 10, 6, 10, 5, 10, 5, 6, 1, 5, 2, 6, 10, 1, 10, 6, 10, 6, 2, 10, 1, 10, 0, 10, 8, 10, 0, 10, 10, 10, 5, 10, 9, 1, 2, 10, 9, 7, 7, 5, 0, 9, 10, 9, 4, 10, 10, 8, 10, 9, 10, 4, 10, 4, 10, 4, 10, 9, 1, 4, 6, 6, 10, 0, 10, 6, 10, 1, 10, 10, 1, 10, 4, 10, 2, 10, 1, 0, 10, 6, 6, 1, 8, 5, 9, 6, 5, 10, 10, 1, 10, 10, 10, 0, 10, 8]
Finished running at:	 2021-05-23 15:43:40.120564

Saved training data in: ../data/2021-04-13_combi_vpg/s8/results_experiment_1.csv

Saved policy parameters in: ../policy_params/2021-04-13_combi_vpg/s8/policy_exp_1.pth

Testing VPG_cheat.py for 1000 episodes.
episode:      0	 return:      21.54	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:      1	 return:      23.16	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:      2	 return:      21.96	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:      3	 return:      25.46	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:      4	 return:      22.32	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      5	 return:      23.98	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:      6	 return:      25.28	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:      7	 return:      25.26	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:      8	 return:      23.10	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:      9	 return:      23.24	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     10	 return:      25.44	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     11	 return:      25.48	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     12	 return:      26.32	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   57	 ill moves:    0
episode:     13	 return:      19.82	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     14	 return:      23.00	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     15	 return:      24.08	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     16	 return:      21.84	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     17	 return:      24.10	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     18	 return:      26.66	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   57	 ill moves:    0
episode:     19	 return:      26.52	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   60	 ill moves:    0
episode:     20	 return:      22.90	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     21	 return:      21.80	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     22	 return:      22.96	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     23	 return:      25.56	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     24	 return:      22.82	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     25	 return:      22.02	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     26	 return:      25.96	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     27	 return:      24.50	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     28	 return:      24.52	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     29	 return:      21.74	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     30	 return:      25.48	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     31	 return:      25.32	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     32	 return:      20.86	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     33	 return:      23.34	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     34	 return:      23.94	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     35	 return:      25.48	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     36	 return:      25.38	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   61	 ill moves:    0
episode:     37	 return:      23.34	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     38	 return:      22.00	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     39	 return:      25.30	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     40	 return:      20.90	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     41	 return:      23.10	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     42	 return:      23.74	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     43	 return:      25.28	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     44	 return:      24.16	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     45	 return:      24.06	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     46	 return:      26.54	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   57	 ill moves:    0
episode:     47	 return:      26.48	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   55	 ill moves:    0
episode:     48	 return:      24.34	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     49	 return:      22.10	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     50	 return:      26.40	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   59	 ill moves:    0
episode:     51	 return:      21.40	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     52	 return:      25.84	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     53	 return:      23.66	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     54	 return:      22.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     55	 return:      21.52	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     56	 return:      20.24	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     57	 return:      25.28	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     58	 return:      24.26	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     59	 return:      20.84	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     60	 return:      24.46	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     61	 return:      24.16	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     62	 return:      22.92	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     63	 return:      26.52	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   52	 ill moves:    0
episode:     64	 return:      23.14	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     65	 return:      20.94	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     66	 return:      19.10	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   67	 ill moves:    0
