/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-04-13_combi_vpg/s7/policy_exp_2.pth

Training the algorithm: VPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.311453
End time:		 2021-05-23 15:43:39.311453
Last epoch info:
epoch:    2110585 	 loss_pi:       0.01 	 loss_vf:      18.08 	 return:      71.25 	 fireworks:  23.61 	 score:  22.89 	 lives left:   1.61 	 ep_len:  58.39 	 num_eps:  18.00 	 batch size: 1051.00 	 illegals:   0.00 	 entropy: 0.149
Actions:		 [6, 8, 5, 10, 8, 4, 10, 1, 10, 9, 5, 0, 10, 4, 10, 9, 7, 9, 1, 7, 10, 6, 2, 7, 10, 4, 10, 9, 10, 2, 10, 9, 10, 1, 10, 4, 10, 4, 10, 3, 10, 9, 10, 1, 10, 4, 10, 8, 10, 9, 0, 4, 9, 10, 9, 10, 9, 10, 7, 7, 7, 9, 6, 6, 6, 9, 5, 9, 10, 7, 7, 6, 5, 6, 2, 10, 1, 10, 0, 10, 1, 10, 10, 4, 10, 9, 10, 9, 10, 4, 10, 4, 10, 9, 6, 8, 6, 6, 6, 4, 9, 0, 10, 3, 10, 4, 10, 3, 10, 4, 10, 4, 10, 4, 10, 4, 10, 10, 3, 10, 9, 10, 9, 7, 10, 9, 1, 6, 7, 5, 9, 9, 10, 4, 10, 9, 5, 4, 10, 1, 10, 4, 10, 9, 4, 10, 10, 4, 10, 1, 10, 9, 10, 2, 10, 2, 10, 9, 10, 0, 10, 4, 10, 7, 10, 4, 10, 9, 9, 3, 10, 4, 10, 4, 10, 9, 6, 9, 7, 9, 9, 6, 7, 6, 6, 6, 1, 5, 4, 1, 10, 10, 1, 10, 10, 8, 1, 9, 4, 9, 7, 9, 10, 0, 10, 7, 2, 9, 7, 9, 9, 10, 0, 10, 5, 4, 7, 10, 3, 10, 1, 10, 1, 10, 9, 10, 1, 10, 7, 9, 9, 7, 9, 9, 6, 5, 1, 10, 4, 10, 9, 7, 9, 10, 2, 10, 10, 2, 10, 10, 0, 10, 1, 5, 7, 5, 9, 9, 9, 9, 10, 9, 2, 7, 9, 9, 7, 7, 10, 7, 3, 10, 2, 10, 8, 2, 9, 10, 9, 2, 6, 10, 6, 5, 7, 10, 4, 10, 1, 10, 2, 10, 9, 4, 5, 10, 9, 10, 4, 10, 3, 10, 0, 10, 2, 10, 2, 10, 7, 10, 10, 1, 5, 9, 6, 6, 10, 9, 4, 5, 8, 9, 9, 5, 5, 5, 10, 5, 2, 10, 9, 0, 7, 9, 8, 10, 4, 10, 4, 10, 9, 10, 4, 10, 4, 10, 9, 7, 4, 10, 4, 10, 10, 4, 10, 5, 6, 9, 4, 6, 7, 10, 4, 10, 10, 1, 4, 10, 9, 10, 6, 5, 2, 10, 7, 7, 7, 6, 8, 9, 7, 10, 9, 6, 9, 4, 9, 10, 1, 10, 0, 10, 4, 10, 2, 10, 2, 10, 4, 10, 4, 10, 9, 1, 9, 10, 4, 10, 9, 9, 10, 5, 6, 0, 9, 9, 9, 7, 6, 9, 7, 7, 10, 6, 7, 5, 9, 5, 10, 9, 5, 4, 7, 10, 10, 4, 10, 4, 10, 8, 10, 4, 10, 9, 2, 1, 7, 9, 7, 7, 10, 4, 10, 4, 10, 4, 10, 9, 6, 8, 3, 9, 10, 10, 3, 10, 9, 6, 2, 4, 10, 9, 1, 10, 7, 6, 7, 7, 10, 9, 10, 6, 8, 8, 6, 6, 9, 7, 9, 10, 9, 4, 7, 9, 7, 10, 6, 7, 1, 7, 9, 5, 6, 10, 1, 10, 4, 10, 2, 10, 9, 3, 9, 10, 6, 10, 9, 5, 5, 6, 10, 0, 10, 4, 10, 3, 10, 1, 10, 9, 7, 5, 10, 9, 10, 9, 2, 7, 8, 9, 9, 7, 7, 7, 9, 10, 10, 4, 3, 9, 10, 9, 9, 7, 5, 9, 7, 5, 6, 10, 1, 10, 2, 10, 2, 10, 1, 10, 2, 10, 2, 10, 7, 10, 4, 10, 9, 6, 9, 5, 10, 1, 10, 3, 10, 1, 10, 10, 2, 10, 7, 9, 9, 5, 10, 1, 10, 4, 10, 1, 10, 5, 4, 10, 4, 10, 9, 1, 10, 2, 10, 1, 10, 9, 5, 10, 5, 10, 5, 2, 6, 7, 9, 4, 9, 4, 10, 9, 2, 6, 9, 10, 7, 5, 9, 5, 10, 9, 6, 9, 5, 10, 7, 10, 2, 10, 0, 10, 7, 7, 7, 7, 10, 7, 0, 6, 5, 10, 9, 5, 4, 10, 2, 10, 2, 10, 10, 1, 10, 0, 10, 1, 10, 2, 10, 4, 10, 10, 10, 10, 1, 10, 9, 9, 4, 9, 4, 7, 9, 5, 5, 3, 6, 8, 9, 4, 5, 7, 10, 9, 1, 6, 9, 5, 7, 5, 5, 5, 7, 10, 0, 10, 1, 10, 4, 10, 9, 10, 5, 10, 9, 7, 7, 2, 9, 4, 9, 7, 7, 9, 9, 5, 4, 9, 10, 6, 6, 6, 6, 5, 10, 9, 9, 5, 10, 2, 10, 7, 10, 3, 10, 2, 10, 4, 10, 4, 10, 1, 10, 2, 10, 3, 10, 10, 2, 10, 2, 10, 3, 10, 5, 0, 10, 9, 4, 5, 10, 5, 9, 0, 10, 9, 1, 7, 7, 9, 5, 5, 10, 3, 10, 4, 10, 9, 4, 10, 4, 10, 4, 10, 4, 10, 10, 10, 10, 1, 10, 7, 10, 4, 10, 4, 10, 4, 10, 4, 10, 4, 10, 5, 1, 9, 9, 5, 10, 9, 1, 7, 7, 8, 7, 10, 1, 10, 1, 10, 9, 4, 9, 10, 4, 10, 4, 10, 9, 7, 2, 7, 7, 10, 2, 10, 9, 4, 9, 9, 10, 4, 10, 10, 3, 10, 2, 10, 3, 10, 9, 10, 5, 10, 9, 7, 1, 6, 2, 10, 2, 10, 9, 7, 6, 9, 6, 6, 9, 8, 6, 5, 9, 9, 9, 10, 9, 4, 6, 9, 7, 5, 6, 8, 5, 10, 2, 10, 1, 10, 3, 10, 1, 10, 9, 6, 1, 10, 9, 4, 6, 6, 7, 5, 10, 9, 4, 10, 1, 10, 9, 10, 0, 10, 1, 10, 9, 1, 7, 9, 7, 6, 7, 7, 8, 9, 8, 5, 10, 4, 10, 4, 10, 10, 4, 10, 4, 10, 0, 10, 4, 0, 9, 10, 9, 9, 4, 10, 9, 7, 10, 7, 4, 9, 7, 5, 10, 4, 10, 3, 10, 2, 10, 9, 7, 10, 2, 10, 9, 2, 6, 9, 9, 6, 5, 5, 9, 9, 9, 8, 10, 0, 10, 5, 0, 7, 10, 9, 4, 10, 5, 4, 10, 1, 10, 9, 1, 9, 10, 9, 4, 6, 7, 5, 9, 6, 6, 5, 10, 0, 10, 2, 10, 9, 1, 9, 10, 9, 5, 5, 10, 4, 10, 0, 10, 1, 10, 0, 10, 7, 10, 10, 1, 10, 1]
Finished running at:	 2021-05-23 15:43:39.944079

Saved training data in: ../data/2021-04-13_combi_vpg/s8/results_experiment_2.csv

Saved policy parameters in: ../policy_params/2021-04-13_combi_vpg/s8/policy_exp_2.pth

Testing VPG_cheat.py for 1000 episodes.
episode:      0	 return:      69.98	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:      1	 return:      76.02	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:      2	 return:      76.50	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   56	 ill moves:    0
episode:      3	 return:      73.10	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:      4	 return:      66.96	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:      5	 return:      73.30	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:      6	 return:      73.24	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:      7	 return:      76.36	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:      8	 return:      76.00	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   55	 ill moves:    0
episode:      9	 return:      72.70	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     10	 return:      75.60	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   36	 ill moves:    0
episode:     11	 return:      76.12	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   54	 ill moves:    0
episode:     12	 return:      73.28	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     13	 return:      76.20	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   54	 ill moves:    0
episode:     14	 return:      76.36	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   58	 ill moves:    0
episode:     15	 return:      76.00	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   55	 ill moves:    0
episode:     16	 return:      60.76	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     17	 return:      76.22	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   50	 ill moves:    0
episode:     18	 return:      76.06	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   51	 ill moves:    0
episode:     19	 return:      73.42	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     20	 return:      75.98	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   56	 ill moves:    0
episode:     21	 return:      76.56	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     22	 return:      76.10	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   55	 ill moves:    0
episode:     23	 return:      76.12	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   54	 ill moves:    0
episode:     24	 return:      70.42	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     25	 return:      73.00	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     26	 return:      76.20	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   54	 ill moves:    0
episode:     27	 return:      76.54	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   57	 ill moves:    0
episode:     28	 return:      75.84	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   39	 ill moves:    0
episode:     29	 return:      76.36	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     30	 return:      75.86	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   48	 ill moves:    0
episode:     31	 return:      76.44	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     32	 return:      66.62	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     33	 return:      76.32	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   53	 ill moves:    0
episode:     34	 return:      75.90	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   57	 ill moves:    0
episode:     35	 return:      76.48	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   58	 ill moves:    0
episode:     36	 return:      76.10	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   54	 ill moves:    0
episode:     37	 return:      76.38	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   54	 ill moves:    0
episode:     38	 return:      76.32	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   54	 ill moves:    0
episode:     39	 return:      70.08	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     40	 return:      75.98	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   49	 ill moves:    0
episode:     41	 return:      73.50	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     42	 return:      76.32	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     43	 return:      76.22	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     44	 return:      76.22	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   54	 ill moves:    0
episode:     45	 return:      75.98	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   56	 ill moves:    0
episode:     46	 return:      70.30	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     47	 return:      76.50	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     48	 return:      76.46	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   58	 ill moves:    0
episode:     49	 return:      73.60	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     50	 return:      75.88	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   39	 ill moves:    0
episode:     51	 return:      76.10	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   51	 ill moves:    0
episode:     52	 return:      75.64	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   53	 ill moves:    0
episode:     53	 return:      76.26	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   57	 ill moves:    0
episode:     54	 return:      76.30	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   52	 ill moves:    0
episode:     55	 return:      66.10	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     56	 return:      73.58	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     57	 return:      76.52	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     58	 return:      76.18	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   54	 ill moves:    0
episode:     59	 return:      76.34	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     60	 return:      76.32	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   56	 ill moves:    0
episode:     61	 return:      73.56	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     62	 return:      76.08	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   55	 ill moves:    0
episode:     63	 return:      76.28	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   57	 ill moves:    0
episode:     64	 return:      76.10	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   55	 ill moves:    0
episode:     65	 return:      76.24	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   52	 ill moves:    0
episode:     66	 return:      76.06	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     67	 return:      76.20	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   47	 ill moves:    0
episode:     68	 return:      76.18	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   57	 ill moves:    0
episode:     69	 return:      70.00	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   64	 ill moves:    0
