/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-04-13_combi_vpg/s7/policy_exp_7.pth

Training the algorithm: VPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.975007
End time:		 2021-05-23 15:43:39.975007
Last epoch info:
epoch:    3838027 	 loss_pi:      -0.35 	 loss_vf:   10628.11 	 return:     999.48 	 fireworks:  20.00 	 score:  20.00 	 lives left:   1.00 	 ep_len: 1059.00 	 num_eps:   1.00 	 batch size: 1059.00 	 illegals: 1001.00 	 entropy: 1.523
Actions:		 [9, 9, 7, 5, 10, 0, 10, 8, 3, 8, 6, 10, 6, 10, 1, 1, 9, 10, 3, 10, 9, 10, 10, 0, 10, 0, 10, 0, 10, 8, 1, 8, 6, 10, 1, 6, 1, 5, 10, 6, 5, 0, 10, 5, 0, 8, 10, 5, 1, 1, 10, 6, 0, 10, 0, 10, 5, 1, 1, 4, 4, 1, 4, 4, 3, 4, 2, 0, 1, 3, 2, 0, 2, 2, 3, 0, 2, 3, 3, 4, 1, 0, 0, 1, 4, 0, 1, 0, 0, 2, 4, 1, 0, 0, 2, 0, 1, 1, 3, 0, 0, 4, 4, 1, 2, 2, 4, 4, 2, 3, 3, 2, 2, 0, 2, 4, 4, 3, 3, 0, 1, 4, 3, 0, 3, 3, 3, 4, 3, 4, 0, 3, 4, 3, 2, 1, 1, 1, 2, 1, 2, 4, 3, 2, 1, 2, 4, 0, 2, 3, 4, 1, 1, 2, 3, 2, 4, 2, 0, 0, 4, 0, 0, 0, 1, 2, 3, 4, 4, 4, 0, 2, 4, 4, 0, 3, 4, 1, 4, 2, 1, 0, 3, 3, 3, 0, 1, 4, 3, 0, 0, 1, 1, 1, 0, 3, 3, 4, 0, 3, 2, 0, 4, 0, 3, 0, 2, 2, 3, 1, 1, 1, 0, 0, 3, 1, 4, 3, 2, 2, 3, 3, 1, 4, 1, 2, 2, 1, 4, 3, 4, 2, 3, 1, 1, 1, 1, 0, 4, 3, 3, 4, 2, 3, 4, 3, 1, 2, 4, 1, 4, 3, 2, 4, 4, 3, 0, 3, 3, 2, 2, 0, 3, 0, 3, 2, 2, 0, 4, 0, 4, 0, 2, 4, 1, 2, 3, 0, 0, 4, 4, 4, 3, 4, 3, 4, 1, 3, 0, 4, 4, 3, 1, 0, 0, 1, 3, 3, 3, 2, 4, 3, 3, 0, 1, 0, 3, 3, 3, 3, 2, 3, 1, 0, 4, 3, 4, 0, 1, 0, 1, 2, 0, 1, 0, 2, 0, 3, 2, 3, 2, 1, 3, 2, 2, 2, 4, 0, 1, 0, 3, 0, 1, 2, 0, 3, 4, 1, 0, 2, 4, 2, 0, 4, 0, 1, 0, 3, 1, 2, 0, 4, 3, 2, 3, 3, 2, 1, 2, 1, 1, 0, 2, 0, 0, 4, 3, 2, 1, 2, 4, 1, 1, 0, 1, 0, 3, 4, 4, 0, 4, 0, 0, 2, 2, 1, 0, 2, 0, 2, 4, 1, 1, 1, 1, 1, 2, 0, 4, 3, 1, 4, 3, 0, 1, 3, 0, 3, 1, 0, 3, 0, 3, 3, 3, 4, 1, 1, 3, 0, 0, 0, 1, 0, 1, 3, 3, 4, 0, 1, 3, 1, 2, 4, 4, 0, 1, 2, 2, 2, 3, 3, 1, 0, 3, 4, 1, 3, 0, 3, 0, 4, 2, 1, 0, 0, 2, 4, 1, 4, 0, 3, 1, 0, 2, 2, 4, 3, 3, 4, 3, 2, 4, 2, 1, 4, 3, 1, 2, 4, 2, 3, 3, 0, 3, 4, 3, 3, 1, 0, 0, 4, 2, 3, 4, 0, 4, 4, 1, 1, 3, 4, 0, 1, 1, 1, 4, 4, 3, 2, 3, 1, 2, 4, 1, 0, 2, 0, 1, 3, 1, 1, 0, 2, 2, 2, 4, 3, 4, 3, 1, 4, 3, 3, 3, 2, 3, 1, 3, 1, 1, 1, 3, 0, 1, 1, 1, 3, 4, 4, 2, 4, 0, 1, 4, 2, 1, 0, 0, 0, 4, 3, 2, 4, 4, 2, 4, 4, 0, 4, 0, 2, 3, 0, 4, 3, 3, 2, 4, 3, 2, 1, 3, 2, 3, 0, 3, 2, 2, 4, 3, 3, 2, 4, 1, 4, 3, 4, 3, 4, 0, 2, 3, 2, 2, 3, 1, 0, 2, 0, 0, 2, 0, 2, 1, 4, 1, 3, 0, 4, 1, 3, 2, 4, 0, 1, 3, 0, 4, 2, 4, 2, 3, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 0, 1, 4, 1, 1, 4, 0, 4, 1, 2, 0, 1, 0, 3, 2, 2, 2, 2, 4, 4, 3, 3, 3, 4, 2, 3, 1, 1, 4, 2, 0, 3, 3, 1, 1, 2, 1, 3, 0, 0, 3, 2, 2, 0, 1, 3, 4, 4, 1, 2, 1, 3, 2, 4, 4, 3, 1, 3, 3, 1, 4, 0, 0, 3, 0, 1, 1, 3, 3, 4, 1, 2, 2, 1, 4, 0, 2, 2, 2, 2, 3, 0, 0, 2, 3, 0, 1, 0, 4, 1, 0, 1, 3, 2, 1, 4, 4, 3, 1, 0, 1, 4, 1, 0, 1, 1, 3, 0, 1, 1, 1, 2, 0, 2, 4, 1, 3, 0, 2, 4, 1, 3, 3, 1, 1, 1, 0, 1, 4, 0, 0, 2, 0, 2, 0, 3, 2, 1, 4, 2, 3, 2, 4, 2, 3, 0, 4, 3, 0, 2, 4, 2, 3, 0, 0, 1, 2, 4, 2, 3, 0, 2, 4, 3, 3, 1, 3, 3, 4, 1, 1, 2, 1, 2, 4, 3, 4, 3, 0, 2, 2, 4, 2, 1, 0, 4, 3, 0, 1, 4, 2, 3, 2, 1, 1, 0, 3, 2, 2, 0, 2, 1, 4, 2, 0, 1, 1, 4, 2, 1, 3, 3, 1, 1, 4, 4, 1, 4, 2, 2, 2, 2, 2, 4, 0, 1, 4, 1, 2, 0, 0, 4, 2, 0, 1, 1, 1, 3, 3, 4, 0, 1, 3, 4, 4, 1, 0, 2, 1, 1, 2, 2, 1, 2, 1, 3, 3, 2, 3, 3, 2, 4, 2, 0, 2, 4, 2, 2, 1, 2, 2, 1, 4, 0, 3, 2, 1, 3, 2, 3, 2, 3, 4, 4, 1, 1, 1, 3, 1, 1, 3, 2, 0, 1, 3, 2, 0, 1, 4, 2, 3, 2, 3, 3, 4, 2, 0, 1, 1, 4, 1, 3, 1, 1, 3, 1, 3, 4, 4, 0, 2, 2, 0, 3, 2, 4, 3, 1, 0, 2, 3, 3, 4, 2, 2, 0, 1, 3, 4, 2, 2, 1, 3, 2, 4, 1, 3, 0, 1, 1, 1, 0, 0, 0, 2, 2, 0, 1, 3, 1, 2, 0, 3, 3, 2, 3, 4, 4, 0, 3, 1, 0, 1, 3, 0, 2, 0, 4, 3, 1, 2, 4, 3, 3, 3, 0, 3, 1, 0, 0, 3, 1, 3, 4, 1, 2, 4, 2, 3, 2, 0, 0, 0, 3, 1, 4]
Finished running at:	 2021-05-23 15:43:39.989596

Saved training data in: ../data/2021-04-13_combi_vpg/s8/results_experiment_7.csv

Saved policy parameters in: ../policy_params/2021-04-13_combi_vpg/s8/policy_exp_7.pth

Testing VPG_cheat.py for 1000 episodes.
episode:      0	 return:     698.54	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1064	 ill moves: 1001
episode:      1	 return:    1300.28	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:      2	 return:     699.36	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1062	 ill moves: 1001
episode:      3	 return:    1599.58	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:      4	 return:     599.30	 score:   16	 fireworks:   16	 lives left:    2	 ep_len: 1062	 ill moves: 1001
episode:      5	 return:     799.86	 score:   18	 fireworks:   18	 lives left:    2	 ep_len: 1062	 ill moves: 1001
episode:      6	 return:     899.70	 score:   19	 fireworks:   19	 lives left:    2	 ep_len: 1061	 ill moves: 1001
episode:      7	 return:     398.82	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:      8	 return:    1600.30	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      9	 return:     999.78	 score:   20	 fireworks:   20	 lives left:    1	 ep_len: 1059	 ill moves: 1001
episode:     10	 return:    1199.64	 score:   12	 fireworks:   12	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     11	 return:     198.96	 score:   12	 fireworks:   12	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:     12	 return:     899.26	 score:   19	 fireworks:   19	 lives left:    1	 ep_len: 1058	 ill moves: 1001
episode:     13	 return:      99.02	 score:   11	 fireworks:   11	 lives left:    1	 ep_len: 1068	 ill moves: 1001
episode:     14	 return:    1699.50	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     15	 return:     398.78	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     16	 return:     198.74	 score:   12	 fireworks:   12	 lives left:    1	 ep_len: 1069	 ill moves: 1001
episode:     17	 return:     699.08	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1060	 ill moves: 1001
episode:     18	 return:      98.70	 score:   11	 fireworks:   11	 lives left:    1	 ep_len: 1070	 ill moves: 1001
episode:     19	 return:     398.92	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:     20	 return:     698.86	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1062	 ill moves: 1001
episode:     21	 return:     699.82	 score:   17	 fireworks:   17	 lives left:    2	 ep_len: 1063	 ill moves: 1001
episode:     22	 return:     698.68	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1060	 ill moves: 1001
episode:     23	 return:     999.84	 score:   20	 fireworks:   20	 lives left:    2	 ep_len: 1060	 ill moves: 1001
episode:     24	 return:     698.96	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1062	 ill moves: 1001
episode:     25	 return:     699.38	 score:   17	 fireworks:   17	 lives left:    3	 ep_len: 1064	 ill moves: 1001
episode:     26	 return:     599.52	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:     27	 return:    1600.24	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     28	 return:    1399.80	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     29	 return:     499.32	 score:   15	 fireworks:   15	 lives left:    2	 ep_len: 1067	 ill moves: 1001
episode:     30	 return:     198.78	 score:   12	 fireworks:   12	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:     31	 return:     499.32	 score:   15	 fireworks:   15	 lives left:    2	 ep_len: 1067	 ill moves: 1001
episode:     32	 return:      -1.52	 score:   10	 fireworks:   10	 lives left:    1	 ep_len: 1069	 ill moves: 1001
episode:     33	 return:     999.46	 score:   20	 fireworks:   20	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     34	 return:    1599.60	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     35	 return:     799.00	 score:   18	 fireworks:   18	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     36	 return:     598.64	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     37	 return:     198.32	 score:   12	 fireworks:   12	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     38	 return:     499.38	 score:   15	 fireworks:   15	 lives left:    2	 ep_len: 1061	 ill moves: 1001
episode:     39	 return:    1600.14	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     40	 return:    1700.72	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     41	 return:     799.30	 score:   18	 fireworks:   18	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     42	 return:    1600.56	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     43	 return:     599.12	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:     44	 return:     399.22	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:     45	 return:     599.04	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     46	 return:    1499.74	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     47	 return:     298.96	 score:   13	 fireworks:   13	 lives left:    2	 ep_len: 1067	 ill moves: 1001
episode:     48	 return:     799.40	 score:   18	 fireworks:   18	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     49	 return:    1199.62	 score:   12	 fireworks:   12	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:     50	 return:     598.90	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:     51	 return:     399.06	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:     52	 return:      98.78	 score:    0	 fireworks:    1	 lives left:    0	 ep_len:    4	 ill moves:    0
episode:     53	 return:      98.54	 score:   11	 fireworks:   11	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:     54	 return:     899.70	 score:    9	 fireworks:    9	 lives left:    1	 ep_len:   73	 ill moves:    0
episode:     55	 return:     599.34	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     56	 return:     298.20	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:     57	 return:     499.02	 score:   15	 fireworks:   15	 lives left:    2	 ep_len: 1067	 ill moves: 1001
episode:     58	 return:    1499.94	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     59	 return:     499.56	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:     60	 return:    1700.50	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     61	 return:     298.82	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1064	 ill moves: 1001
episode:     62	 return:     599.50	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:     63	 return:     498.74	 score:   15	 fireworks:   15	 lives left:    2	 ep_len: 1065	 ill moves: 1001
episode:     64	 return:     598.80	 score:   16	 fireworks:   16	 lives left:    2	 ep_len: 1062	 ill moves: 1001
episode:     65	 return:     598.60	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:     66	 return:     598.74	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     67	 return:     298.90	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1066	 ill moves: 1001
