/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-04-13_combi_vpg/s8/policy_exp_3.pth

Training the algorithm: VPG_cheat.py
Training for:		 90 hours
Start time:		 2021-05-28 10:37:21.142276
End time:		 2021-06-01 04:37:21.142276
Last epoch info:
epoch:    2278463 	 loss_pi:      -0.06 	 loss_vf:       4.27 	 return:      72.17 	 fireworks:  23.65 	 score:  23.65 	 lives left:   2.41 	 ep_len:  60.47 	 num_eps:  17.00 	 batch size: 1028.00 	 illegals:   0.00 	 entropy: 0.183
Actions:		 [5, 9, 10, 9, 10, 9, 10, 6, 0, 7, 9, 0, 5, 9, 9, 10, 7, 0, 2, 5, 10, 2, 10, 2, 10, 10, 4, 10, 2, 10, 2, 10, 2, 10, 2, 10, 8, 10, 4, 10, 9, 7, 9, 6, 7, 4, 5, 7, 7, 5, 5, 5, 5, 10, 10, 0, 2, 8, 10, 9, 0, 7, 9, 9, 10, 0, 10, 9, 8, 7, 1, 10, 8, 10, 8, 10, 9, 10, 5, 10, 3, 10, 8, 10, 2, 10, 3, 10, 4, 0, 4, 8, 10, 4, 10, 4, 10, 4, 10, 3, 10, 8, 5, 4, 4, 9, 10, 6, 5, 2, 5, 10, 8, 10, 5, 5, 8, 5, 10, 8, 6, 10, 9, 10, 1, 10, 4, 0, 10, 1, 10, 10, 3, 10, 0, 10, 9, 7, 9, 6, 7, 8, 2, 8, 7, 9, 4, 9, 10, 10, 7, 4, 8, 4, 8, 7, 10, 9, 6, 10, 4, 10, 2, 2, 8, 8, 5, 10, 10, 10, 3, 10, 2, 10, 10, 3, 10, 4, 10, 9, 10, 7, 10, 5, 6, 5, 9, 10, 7, 10, 5, 5, 7, 5, 8, 9, 7, 9, 9, 10, 2, 10, 2, 8, 2, 10, 8, 0, 5, 8, 5, 5, 10, 7, 8, 5, 5, 10, 2, 10, 3, 10, 3, 10, 3, 10, 4, 10, 1, 10, 8, 0, 8, 6, 9, 7, 10, 9, 10, 5, 10, 0, 10, 9, 5, 8, 5, 5, 2, 10, 4, 3, 2, 10, 3, 10, 10, 2, 10, 2, 10, 1, 10, 9, 10, 9, 10, 7, 10, 7, 10, 5, 5, 5, 8, 8, 5, 5, 8, 8, 0, 1, 5, 10, 8, 3, 10, 1, 10, 1, 10, 0, 10, 2, 8, 9, 7, 7, 9, 5, 9, 8, 5, 10, 5, 10, 8, 10, 5, 7, 8, 0, 2, 5, 10, 4, 10, 4, 10, 3, 10, 4, 10, 1, 10, 0, 10, 2, 10, 8, 8, 10, 2, 10, 2, 10, 8, 10, 3, 4, 9, 10, 3, 10, 8, 10, 5, 5, 10, 5, 8, 5, 10, 0, 10, 2, 10, 10, 2, 10, 9, 10, 7, 6, 0, 0, 10, 9, 7, 9, 9, 6, 4, 3, 10, 10, 0, 10, 5, 10, 4, 10, 9, 5, 2, 9, 5, 5, 5, 8, 5, 5, 10, 3, 10, 8, 7, 8, 7, 8, 10, 2, 10, 1, 10, 10, 3, 2, 10, 3, 10, 1, 10, 2, 6, 7, 10, 5, 4, 10, 10, 0, 10, 4, 10, 2, 10, 9, 1, 0, 10, 5, 10, 9, 10, 4, 10, 4, 10, 9, 10, 9, 10, 5, 8, 3, 7, 3, 3, 3, 9, 10, 4, 10, 10, 3, 10, 8, 10, 3, 10, 4, 10, 9, 6, 7, 5, 10, 2, 3, 8, 5, 10, 10, 10, 0, 10, 8, 5, 10, 8, 10, 7, 2, 6, 10, 0, 10, 10, 2, 10, 2, 10, 9, 9, 9, 6, 8, 10, 5, 10, 0, 10, 9, 10, 9, 10, 1, 10, 3, 10, 8, 8, 3, 10, 9, 1, 1, 3, 8, 9, 3, 9, 8, 9, 10, 8, 3, 7, 7, 10, 3, 10, 8, 10, 5, 0, 2, 5, 10, 10, 9, 6, 10, 9, 0, 9, 7, 5, 10, 2, 10, 10, 2, 2, 9, 10, 10, 0, 0, 8, 8, 10, 3, 10, 0, 10, 2, 10, 1, 10, 9, 10, 6, 10, 3, 2, 9, 8, 5, 5, 10, 8, 5, 10, 3, 10, 8, 5, 8, 3, 5, 5, 10, 7, 0, 10, 10, 2, 10, 3, 10, 8, 9, 5, 9, 5, 5, 10, 7, 10, 6, 10, 9, 10, 7, 7, 8, 8, 4, 8, 3, 9, 7, 9, 4, 7, 10, 7, 10, 5, 7, 10, 2, 2, 10, 4, 10, 2, 10, 2, 10, 3, 10, 8, 3, 5, 5, 10, 2, 10, 2, 10, 8, 0, 5, 10, 8, 5, 9, 10, 7, 10, 10, 0, 10, 0, 0, 0, 10, 9, 10, 0, 10, 9, 10, 6, 10, 3, 10, 9, 9, 8, 1, 4, 10, 3, 0, 2, 10, 2, 10, 4, 10, 10, 10, 1, 10, 4, 10, 9, 10, 7, 0, 5, 7, 8, 3, 5, 8, 9, 5, 5, 10, 5, 10, 2, 8, 8, 5, 10, 7, 8, 10, 9, 1, 10, 2, 10, 9, 10, 9, 2, 6, 9, 7, 7, 10, 9, 6, 0, 7, 10, 2, 10, 10, 10, 3, 3, 10, 9, 4, 10, 4, 10, 2, 10, 8, 4, 9, 8, 10, 7, 7, 7, 9, 5, 7, 5, 10, 10, 0, 10, 8, 10, 0, 10, 5, 4, 8, 6, 8, 10, 10, 0, 10, 4, 10, 0, 10, 10, 1, 10, 4, 10, 2, 0, 10, 9, 0, 5, 4, 10, 0, 6, 10, 9, 10, 9, 10, 4, 8, 10, 8, 10, 9, 10, 4, 10, 3, 10, 8, 10, 3, 10, 9, 5, 0, 6, 3, 5, 8, 8, 5, 7, 10, 8, 5, 0, 0, 5, 10, 0, 5, 7, 9, 8, 10, 10, 2, 10, 9, 8, 10, 9, 7, 9, 5, 9, 0, 6, 5, 8, 5, 0, 0, 10, 1, 10, 2, 10, 10, 3, 10, 8, 4, 9, 10, 8, 10, 8, 10, 8, 7, 0, 4, 2, 10, 10, 1, 10, 10, 3, 10, 3, 10, 8, 10, 8, 10, 2, 10, 3, 10, 8, 10, 3, 9, 7, 8, 7, 10, 9, 5, 9, 9, 0, 10, 9, 8, 8, 1, 5, 10, 10, 0, 10, 8, 0, 8, 4, 8, 10, 5, 10, 8, 2, 10, 8, 10, 5, 2, 10, 4, 10, 4, 10, 9, 6, 10, 0, 1, 5, 8, 10, 0, 10, 0, 10, 1, 10, 0, 10, 8, 10, 4, 10, 3, 9, 6, 8, 10, 9, 7, 0, 7, 10, 4, 10, 9, 10, 1, 10, 9, 10, 9, 7, 7, 8, 7, 5, 5, 3, 5, 8, 10, 4, 10, 4, 10, 2, 10, 8, 10, 10, 10, 10, 0, 2, 0, 4, 8, 3, 8, 8, 5, 5, 5, 10, 10, 0, 1, 10, 0, 10, 2, 10, 2]
Finished running at:	 2021-06-01 04:37:22.249237

Saved training data in: ../data/2021-04-13_combi_vpg/s9/results_experiment_3.csv

Saved policy parameters in: ../policy_params/2021-04-13_combi_vpg/s9/policy_exp_3.pth

Testing VPG_cheat.py for 1000 episodes.
episode:      0	 return:      66.84	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      1	 return:      75.88	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   57	 ill moves:    0
episode:      2	 return:      64.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:      3	 return:      76.62	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   60	 ill moves:    0
episode:      4	 return:      73.44	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:      5	 return:      76.18	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   52	 ill moves:    0
episode:      6	 return:      73.08	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:      7	 return:      76.02	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   56	 ill moves:    0
episode:      8	 return:      66.62	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      9	 return:      72.94	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     10	 return:      73.36	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     11	 return:      73.48	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     12	 return:      63.90	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     13	 return:      73.40	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     14	 return:      70.10	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     15	 return:      76.38	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   54	 ill moves:    0
episode:     16	 return:      70.50	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     17	 return:      70.18	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     18	 return:      73.18	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     19	 return:      69.86	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     20	 return:      70.06	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     21	 return:      76.56	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     22	 return:      76.38	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   53	 ill moves:    0
episode:     23	 return:      75.66	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   58	 ill moves:    0
episode:     24	 return:      70.46	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   58	 ill moves:    0
episode:     25	 return:      73.22	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     26	 return:      76.26	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   53	 ill moves:    0
episode:     27	 return:      73.52	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     28	 return:      69.98	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     29	 return:      63.76	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     30	 return:      76.10	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   53	 ill moves:    0
episode:     31	 return:      76.44	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     32	 return:      76.12	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   59	 ill moves:    0
episode:     33	 return:      76.26	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   58	 ill moves:    0
episode:     34	 return:      67.32	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   59	 ill moves:    0
episode:     35	 return:      67.40	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     36	 return:      63.72	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     37	 return:      70.14	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     38	 return:      76.38	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   53	 ill moves:    0
episode:     39	 return:      76.34	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   57	 ill moves:    0
episode:     40	 return:      73.56	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   58	 ill moves:    0
episode:     41	 return:      76.54	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   59	 ill moves:    0
episode:     42	 return:      60.30	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     43	 return:      76.14	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   48	 ill moves:    0
episode:     44	 return:      73.14	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     45	 return:      73.00	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     46	 return:      72.94	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     47	 return:      76.12	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     48	 return:      70.00	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     49	 return:      76.48	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     50	 return:      67.36	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     51	 return:      76.28	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   53	 ill moves:    0
episode:     52	 return:      73.24	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     53	 return:      63.86	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     54	 return:      73.32	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     55	 return:      73.36	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     56	 return:      76.40	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   53	 ill moves:    0
episode:     57	 return:      19.80	 score:    0	 fireworks:   10	 lives left:    0	 ep_len:   38	 ill moves:    0
episode:     58	 return:      69.96	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     59	 return:      76.14	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   57	 ill moves:    0
episode:     60	 return:      76.10	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   54	 ill moves:    0
episode:     61	 return:      73.42	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     62	 return:      70.26	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     63	 return:      70.12	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     64	 return:      73.42	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     65	 return:      76.46	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     66	 return:      75.94	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   42	 ill moves:    0
episode:     67	 return:      76.68	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   62	 ill moves:    0
