/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-03-25_iters/s9/policy_exp_0.pth

Training the algorithm: SPG_cheat.py
Training for:		 90 hours
Start time:		 2021-04-28 21:26:19.343044
End time:		 2021-05-02 15:26:19.343044
Last epoch info:
epoch:    1689390 	 loss:      -0.05 	 return:      13.73 	 fireworks:  13.73 	 score:  13.73 	 lives left:   1.87 	 ep_len:  68.87 	 num_eps:  15.00 	 batch size: 1033.00 	 illegals:   1.00 	 entropy: 0.522
Actions:		 [8, 9, 10, 7, 10, 5, 0, 10, 5, 4, 10, 9, 1, 0, 10, 10, 10, 0, 0, 10, 1, 10, 2, 10, 0, 4, 10, 1, 10, 0, 10, 9, 2, 7, 7, 10, 7, 10, 5, 1, 2, 10, 10, 1, 10, 2, 10, 10, 4, 0, 3, 7, 5, 5, 10, 10, 3, 1, 10, 10, 2, 10, 2, 10, 0, 10, 10, 3, 10, 4, 8, 9, 9, 10, 5, 6, 0, 10, 7, 10, 1, 0, 10, 4, 5, 7, 10, 2, 10, 1, 10, 10, 1, 3, 10, 4, 10, 4, 10, 10, 1, 10, 10, 4, 1, 10, 0, 4, 10, 4, 10, 10, 10, 10, 2, 4, 2, 4, 9, 7, 10, 5, 10, 5, 10, 10, 1, 10, 3, 10, 7, 5, 0, 0, 10, 2, 0, 10, 7, 10, 9, 10, 9, 4, 6, 10, 7, 10, 9, 0, 1, 10, 3, 4, 10, 9, 2, 10, 7, 0, 10, 5, 3, 10, 4, 10, 4, 10, 2, 10, 7, 0, 10, 5, 0, 7, 7, 5, 10, 5, 3, 10, 2, 10, 0, 10, 0, 10, 2, 10, 4, 10, 1, 10, 10, 0, 10, 2, 10, 2, 10, 10, 0, 10, 0, 10, 5, 10, 1, 5, 6, 10, 4, 10, 10, 10, 4, 5, 10, 0, 0, 9, 10, 2, 10, 7, 10, 9, 10, 4, 4, 4, 9, 4, 7, 10, 2, 10, 7, 10, 4, 5, 0, 10, 0, 10, 5, 2, 10, 1, 10, 4, 10, 0, 10, 5, 10, 2, 1, 10, 4, 10, 10, 10, 4, 10, 1, 2, 10, 7, 4, 0, 10, 0, 10, 7, 0, 10, 8, 6, 10, 0, 10, 10, 0, 10, 1, 0, 7, 10, 3, 10, 9, 0, 10, 0, 5, 7, 10, 3, 10, 10, 4, 10, 0, 4, 5, 10, 5, 0, 10, 7, 0, 5, 9, 10, 2, 10, 7, 10, 10, 0, 2, 9, 0, 10, 4, 10, 4, 10, 10, 1, 10, 10, 2, 0, 10, 4, 10, 0, 10, 2, 10, 4, 10, 4, 0, 10, 5, 5, 10, 10, 4, 2, 10, 5, 3, 10, 0, 10, 5, 2, 10, 7, 0, 5, 10, 4, 10, 5, 4, 10, 0, 10, 10, 0, 10, 9, 2, 10, 9, 4, 7, 5, 2, 10, 9, 10, 1, 10, 4, 10, 3, 10, 1, 10, 7, 4, 10, 10, 2, 1, 0, 10, 5, 10, 2, 10, 0, 0, 10, 10, 2, 10, 0, 4, 10, 9, 7, 9, 7, 5, 10, 0, 5, 10, 7, 10, 10, 0, 0, 9, 0, 10, 9, 10, 7, 4, 5, 2, 10, 7, 0, 10, 2, 10, 4, 10, 2, 10, 1, 10, 3, 10, 0, 10, 3, 10, 0, 10, 10, 0, 4, 5, 10, 0, 10, 0, 10, 1, 10, 7, 0, 10, 5, 0, 10, 0, 10, 10, 10, 0, 10, 0, 10, 1, 6, 10, 6, 10, 1, 10, 0, 10, 10, 10, 10, 0, 10, 0, 10, 2, 10, 9, 4, 9, 4, 7, 4, 2, 4, 10, 10, 3, 4, 10, 9, 2, 7, 10, 5, 0, 10, 7, 5, 10, 2, 2, 10, 0, 10, 5, 10, 0, 10, 10, 3, 10, 2, 10, 7, 2, 5, 10, 0, 0, 5, 10, 2, 10, 0, 10, 0, 10, 10, 8, 10, 4, 10, 9, 10, 9, 10, 7, 10, 5, 0, 4, 10, 2, 4, 7, 1, 10, 5, 2, 10, 0, 10, 4, 5, 10, 0, 10, 4, 10, 10, 0, 2, 10, 9, 10, 5, 1, 4, 7, 10, 2, 10, 10, 10, 0, 4, 9, 0, 10, 5, 10, 2, 10, 7, 5, 1, 0, 10, 7, 10, 10, 0, 2, 0, 10, 5, 6, 10, 9, 2, 8, 7, 10, 10, 4, 0, 9, 5, 10, 10, 3, 0, 10, 10, 2, 4, 10, 2, 10, 10, 4, 2, 10, 0, 10, 5, 10, 9, 7, 0, 7, 7, 10, 5, 0, 2, 10, 1, 10, 1, 10, 0, 10, 10, 10, 0, 10, 1, 10, 0, 10, 1, 10, 0, 10, 0, 10, 0, 10, 5, 10, 0, 10, 0, 10, 0, 9, 7, 8, 5, 10, 10, 0, 1, 7, 10, 4, 10, 0, 10, 5, 0, 10, 10, 3, 2, 10, 1, 10, 3, 10, 4, 10, 10, 2, 4, 10, 9, 2, 9, 7, 7, 5, 10, 7, 5, 0, 10, 0, 10, 5, 3, 10, 4, 10, 10, 0, 10, 10, 2, 10, 0, 10, 7, 10, 4, 0, 0, 1, 10, 10, 0, 10, 0, 5, 6, 5, 6, 7, 5, 5, 10, 2, 10, 0, 10, 1, 10, 5, 1, 10, 4, 10, 9, 0, 7, 7, 10, 5, 0, 10, 0, 10, 0, 10, 7, 0, 10, 5, 0, 10, 1, 5, 5, 10, 0, 10, 3, 10, 2, 10, 2, 10, 10, 1, 10, 4, 10, 0, 10, 0, 10, 10, 0, 4, 10, 10, 0, 10, 4, 10, 0, 10, 9, 4, 7, 9, 9, 5, 9, 10, 2, 10, 7, 10, 2, 2, 4, 10, 4, 10, 0, 10, 5, 0, 5, 10, 7, 3, 10, 0, 10, 0, 10, 0, 10, 0, 10, 0, 10, 5, 10, 7, 0, 0, 5, 10, 0, 10, 2, 10, 10, 0, 10, 0, 10, 2, 10, 2, 10, 2, 4, 10, 10, 4, 10, 10, 0, 5, 0, 0, 5, 9, 5, 5, 10, 9, 5, 2, 10, 9, 10, 0, 10, 3, 10, 0, 10, 7, 1, 10, 9, 2, 5, 10, 2, 10, 7, 5, 4, 4, 5, 10, 0, 10, 7, 10, 0, 10, 7, 10, 2, 10, 0, 10, 5, 2, 1, 10, 0, 10, 1, 10, 2, 10, 1, 10, 0, 10, 5, 4, 0, 10, 10, 10, 0, 10, 10, 0, 10, 10, 8, 9, 7, 10, 9, 2, 9, 7, 5, 7, 10, 10, 4, 0, 10, 10, 0, 10, 1, 4, 7, 10, 10, 4, 4, 10, 7, 4, 5, 10, 9, 5, 10, 5, 0, 4, 10, 2, 10, 1, 10, 4, 10, 4, 10, 7, 0, 10, 5, 10, 10, 1, 0, 10, 0, 0, 5, 10, 0, 10, 0, 10, 0, 10, 4]
Finished running at:	 2021-05-02 15:26:20.381659

Saved training data in: ../data/2021-03-25_iters/s10/results_experiment_0.csv

Saved policy parameters in: ../policy_params/2021-03-25_iters/s10/policy_exp_0.pth

Testing SPG_cheat.py for 1000 episodes.
episode:      0	 return:      15.90	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   71	 ill moves:    0
episode:      1	 return:      11.88	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:      2	 return:      13.20	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:      3	 return:      12.18	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:      4	 return:      15.16	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:      5	 return:      15.06	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:      6	 return:      13.90	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:      7	 return:      14.96	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:      8	 return:      11.92	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   71	 ill moves:    2
episode:      9	 return:      11.68	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     10	 return:      15.36	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   68	 ill moves:    0
episode:     11	 return:      14.56	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    1
episode:     12	 return:      14.80	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     13	 return:      13.98	 score:   14	 fireworks:   14	 lives left:    3	 ep_len:   70	 ill moves:    0
episode:     14	 return:      15.24	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     15	 return:      13.34	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   73	 ill moves:    0
episode:     16	 return:      14.74	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     17	 return:      14.90	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     18	 return:      15.06	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     19	 return:      12.80	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   70	 ill moves:    1
episode:     20	 return:      13.22	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     21	 return:      13.88	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     22	 return:      15.20	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     23	 return:      13.18	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   70	 ill moves:    0
episode:     24	 return:      14.44	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   67	 ill moves:    1
episode:     25	 return:      13.66	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   68	 ill moves:    1
episode:     26	 return:      14.68	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     27	 return:      15.14	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   70	 ill moves:    0
episode:     28	 return:      15.46	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     29	 return:      11.28	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   71	 ill moves:    1
episode:     30	 return:      13.10	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     31	 return:      11.38	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:     32	 return:      14.06	 score:   14	 fireworks:   14	 lives left:    3	 ep_len:   72	 ill moves:    0
episode:     33	 return:      13.28	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     34	 return:      13.88	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     35	 return:      15.10	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     36	 return:      12.32	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     37	 return:      12.90	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   71	 ill moves:    1
episode:     38	 return:      14.84	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     39	 return:      10.70	 score:   11	 fireworks:   11	 lives left:    3	 ep_len:   72	 ill moves:    0
episode:     40	 return:      14.98	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     41	 return:      13.20	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     42	 return:      12.68	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   71	 ill moves:    0
episode:     43	 return:      15.06	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     44	 return:      14.00	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     45	 return:      15.24	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     46	 return:      14.94	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     47	 return:      14.76	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     48	 return:      13.42	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     49	 return:      13.74	 score:   14	 fireworks:   14	 lives left:    3	 ep_len:   69	 ill moves:    1
episode:     50	 return:      10.46	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   71	 ill moves:    0
episode:     51	 return:      12.18	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     52	 return:      14.10	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     53	 return:      15.68	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     54	 return:      14.50	 score:   14	 fireworks:   14	 lives left:    3	 ep_len:   70	 ill moves:    0
episode:     55	 return:      15.20	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     56	 return:      12.88	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     57	 return:      15.06	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     58	 return:      13.36	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   72	 ill moves:    0
episode:     59	 return:      13.52	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   72	 ill moves:    1
episode:     60	 return:      13.94	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     61	 return:      11.68	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     62	 return:      12.68	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     63	 return:      13.02	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     64	 return:      15.64	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     65	 return:      12.74	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     66	 return:      15.30	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     67	 return:      13.92	 score:   14	 fireworks:   14	 lives left:    3	 ep_len:   70	 ill moves:    0
