/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-03-25_iters/s9/policy_exp_1.pth

Training the algorithm: SPG_cheat.py
Training for:		 90 hours
Start time:		 2021-04-28 21:26:19.570521
End time:		 2021-05-02 15:26:19.570521
Last epoch info:
epoch:    1598944 	 loss:      -0.02 	 return:      11.90 	 fireworks:  12.07 	 score:  12.07 	 lives left:   1.87 	 ep_len:  69.73 	 num_eps:  15.00 	 batch size: 1046.00 	 illegals:   0.00 	 entropy: 0.068
Actions:		 [6, 6, 10, 10, 0, 10, 0, 10, 0, 10, 7, 2, 0, 10, 10, 2, 10, 7, 7, 8, 2, 10, 2, 10, 2, 10, 7, 2, 2, 10, 2, 10, 7, 7, 10, 2, 10, 0, 10, 7, 2, 10, 0, 10, 0, 10, 0, 10, 0, 10, 0, 10, 7, 0, 2, 10, 10, 2, 10, 7, 7, 2, 10, 2, 10, 2, 10, 8, 0, 2, 5, 7, 10, 10, 5, 0, 0, 7, 10, 10, 0, 10, 2, 10, 2, 10, 2, 10, 10, 2, 10, 7, 2, 0, 10, 2, 10, 0, 10, 0, 10, 7, 10, 8, 2, 0, 10, 2, 10, 0, 10, 0, 10, 0, 10, 7, 0, 2, 10, 10, 2, 10, 2, 10, 0, 2, 8, 7, 10, 0, 10, 8, 2, 10, 10, 2, 2, 10, 7, 2, 10, 5, 7, 5, 10, 0, 10, 8, 2, 10, 0, 10, 10, 0, 10, 2, 10, 7, 2, 0, 7, 7, 7, 10, 10, 10, 2, 10, 2, 10, 10, 2, 10, 2, 10, 0, 10, 2, 10, 7, 2, 0, 10, 7, 0, 0, 10, 7, 0, 7, 10, 0, 10, 2, 10, 7, 0, 2, 10, 2, 10, 2, 10, 10, 2, 10, 7, 2, 0, 10, 10, 7, 0, 5, 10, 10, 2, 10, 10, 2, 10, 2, 10, 8, 7, 2, 7, 7, 2, 7, 10, 0, 10, 0, 10, 10, 2, 10, 0, 10, 2, 10, 2, 10, 2, 10, 2, 10, 0, 10, 7, 2, 7, 2, 7, 10, 0, 10, 7, 2, 10, 0, 10, 2, 10, 2, 10, 7, 10, 0, 10, 7, 10, 2, 2, 10, 2, 10, 0, 10, 2, 6, 6, 7, 7, 10, 10, 2, 10, 7, 0, 0, 7, 10, 0, 10, 10, 0, 10, 2, 10, 2, 10, 2, 10, 8, 2, 10, 2, 10, 0, 10, 2, 10, 0, 10, 7, 2, 7, 10, 2, 10, 0, 10, 2, 10, 8, 2, 10, 2, 10, 10, 0, 0, 10, 2, 10, 2, 10, 8, 7, 7, 0, 2, 10, 0, 10, 2, 10, 10, 8, 5, 10, 6, 0, 10, 7, 0, 10, 7, 10, 7, 10, 7, 10, 2, 2, 10, 2, 2, 7, 10, 10, 2, 10, 2, 10, 2, 0, 10, 2, 10, 0, 10, 7, 7, 0, 10, 0, 10, 7, 10, 0, 10, 0, 10, 2, 10, 2, 10, 8, 2, 7, 7, 2, 10, 2, 10, 10, 2, 10, 2, 10, 2, 10, 2, 10, 2, 10, 2, 7, 10, 10, 0, 10, 7, 7, 0, 8, 10, 0, 10, 0, 10, 2, 10, 2, 10, 0, 10, 2, 10, 7, 10, 10, 0, 10, 2, 10, 1, 7, 8, 0, 7, 0, 7, 7, 10, 2, 10, 0, 10, 2, 2, 10, 10, 2, 10, 7, 2, 10, 0, 10, 2, 10, 2, 10, 2, 10, 0, 10, 2, 10, 2, 10, 2, 10, 2, 10, 2, 10, 2, 6, 5, 10, 7, 10, 0, 10, 7, 2, 7, 10, 2, 10, 0, 10, 10, 2, 10, 1, 10, 2, 10, 7, 10, 7, 2, 2, 2, 7, 10, 2, 10, 0, 10, 7, 0, 10, 2, 0, 7, 10, 10, 0, 10, 10, 7, 0, 2, 10, 2, 10, 2, 10, 2, 10, 2, 2, 7, 7, 10, 2, 10, 10, 1, 10, 0, 10, 2, 10, 7, 5, 10, 10, 0, 10, 6, 0, 10, 7, 10, 0, 10, 0, 10, 2, 10, 2, 10, 7, 7, 2, 10, 2, 10, 7, 10, 2, 10, 0, 10, 0, 0, 7, 0, 10, 2, 10, 7, 10, 2, 10, 0, 10, 2, 10, 2, 10, 7, 10, 0, 10, 7, 2, 0, 2, 0, 10, 0, 10, 7, 2, 7, 10, 7, 2, 10, 2, 10, 2, 7, 10, 5, 10, 6, 2, 7, 2, 10, 10, 2, 10, 2, 10, 0, 10, 8, 8, 7, 0, 2, 10, 7, 10, 7, 0, 10, 0, 10, 0, 10, 7, 2, 7, 10, 0, 10, 2, 10, 7, 0, 10, 7, 2, 0, 10, 0, 10, 2, 10, 2, 10, 10, 2, 10, 2, 10, 0, 10, 2, 10, 2, 10, 0, 10, 8, 2, 10, 0, 10, 5, 10, 7, 0, 10, 7, 7, 0, 8, 10, 10, 2, 10, 2, 10, 0, 2, 10, 10, 2, 10, 2, 10, 2, 10, 2, 10, 7, 10, 2, 10, 2, 10, 7, 2, 2, 2, 10, 1, 10, 0, 10, 0, 10, 7, 2, 7, 2, 7, 10, 7, 10, 2, 10, 2, 10, 0, 10, 2, 10, 2, 10, 7, 2, 7, 2, 10, 10, 5, 10, 7, 0, 10, 7, 0, 10, 0, 10, 7, 10, 10, 2, 10, 2, 10, 0, 10, 7, 2, 8, 0, 10, 0, 10, 2, 10, 7, 2, 10, 10, 2, 2, 10, 0, 10, 7, 0, 10, 2, 10, 7, 10, 2, 0, 2, 10, 10, 10, 2, 10, 2, 10, 7, 10, 0, 2, 0, 10, 0, 10, 7, 2, 2, 7, 10, 8, 2, 7, 5, 5, 8, 10, 7, 10, 7, 2, 7, 10, 7, 2, 10, 7, 2, 0, 7, 10, 2, 10, 10, 10, 2, 10, 10, 2, 10, 0, 10, 0, 10, 2, 10, 2, 10, 7, 2, 0, 2, 10, 2, 10, 2, 10, 2, 0, 10, 10, 2, 10, 2, 10, 2, 10, 7, 0, 7, 0, 7, 10, 2, 10, 2, 10, 2, 10, 2, 10, 0, 5, 7, 7, 10, 2, 10, 8, 0, 10, 7, 2, 10, 0, 10, 10, 2, 10, 7, 0, 7, 7, 7, 0, 10, 0, 10, 10, 2, 10, 2, 10, 10, 2, 2, 10, 0, 10, 0, 10, 0, 10, 10, 7, 0, 1, 10, 0, 10, 8, 2, 10, 2, 10, 2, 10, 7, 2, 10, 2, 10, 2, 10, 2, 10, 7, 2, 2, 10, 10, 10, 6, 10, 6, 0, 5, 10, 7, 0, 7, 10, 2, 10, 7, 10, 2, 10, 2, 10, 2, 10, 2, 10, 2, 10, 2, 10, 2, 10, 8, 0, 10, 0, 10, 2, 10, 2, 10, 2, 10, 2, 10, 7, 0, 10, 0, 10, 2, 10, 2, 2, 10, 0, 10, 0, 10, 2, 10, 0, 10, 7, 8, 7, 2, 7, 7, 1, 10, 0]
Finished running at:	 2021-05-02 15:26:20.707413

Saved training data in: ../data/2021-03-25_iters/s10/results_experiment_1.csv

Saved policy parameters in: ../policy_params/2021-03-25_iters/s10/policy_exp_1.pth

Testing SPG_cheat.py for 1000 episodes.
episode:      0	 return:      13.00	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:      1	 return:      11.14	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:      2	 return:      10.76	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   71	 ill moves:    0
episode:      3	 return:      13.04	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:      4	 return:      10.72	 score:   11	 fireworks:   11	 lives left:    3	 ep_len:   71	 ill moves:    0
episode:      5	 return:      11.18	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:      6	 return:      11.48	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:      7	 return:      12.96	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:      8	 return:      10.38	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:      9	 return:      13.86	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     10	 return:       9.64	 score:   10	 fireworks:   10	 lives left:    1	 ep_len:   71	 ill moves:    0
episode:     11	 return:      11.80	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     12	 return:       7.98	 score:    9	 fireworks:    9	 lives left:    2	 ep_len:   72	 ill moves:    0
episode:     13	 return:      13.18	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   70	 ill moves:    0
episode:     14	 return:      12.26	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   72	 ill moves:    0
episode:     15	 return:      10.76	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     16	 return:      11.48	 score:   12	 fireworks:   12	 lives left:    1	 ep_len:   72	 ill moves:    0
episode:     17	 return:      10.70	 score:   11	 fireworks:   11	 lives left:    3	 ep_len:   72	 ill moves:    0
episode:     18	 return:      11.92	 score:   12	 fireworks:   12	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     19	 return:      12.46	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     20	 return:      13.86	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   71	 ill moves:    0
episode:     21	 return:      11.80	 score:   12	 fireworks:   12	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     22	 return:      12.08	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   71	 ill moves:    0
episode:     23	 return:       8.30	 score:    8	 fireworks:    8	 lives left:    2	 ep_len:   75	 ill moves:    0
episode:     24	 return:      11.16	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     25	 return:       7.68	 score:    9	 fireworks:    9	 lives left:    1	 ep_len:   73	 ill moves:    0
episode:     26	 return:      10.84	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   71	 ill moves:    0
episode:     27	 return:      10.68	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:     28	 return:      -0.70	 score:    0	 fireworks:    4	 lives left:    0	 ep_len:   39	 ill moves:    0
episode:     29	 return:      10.54	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   71	 ill moves:    0
episode:     30	 return:      10.80	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     31	 return:      -0.44	 score:    0	 fireworks:   12	 lives left:    0	 ep_len:   68	 ill moves:    0
episode:     32	 return:      13.08	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   70	 ill moves:    0
episode:     33	 return:      11.14	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   71	 ill moves:    0
episode:     34	 return:      -0.76	 score:    0	 fireworks:    6	 lives left:    0	 ep_len:   40	 ill moves:    0
episode:     35	 return:      11.86	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   71	 ill moves:    0
episode:     36	 return:      12.78	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     37	 return:      11.88	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     38	 return:      11.98	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     39	 return:      12.86	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     40	 return:      12.44	 score:   12	 fireworks:   12	 lives left:    3	 ep_len:   71	 ill moves:    0
episode:     41	 return:      12.22	 score:   12	 fireworks:   12	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     42	 return:      10.14	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   72	 ill moves:    0
episode:     43	 return:       9.78	 score:   10	 fireworks:   10	 lives left:    3	 ep_len:   72	 ill moves:    0
episode:     44	 return:      12.50	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     45	 return:       9.98	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:     46	 return:      13.22	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     47	 return:      13.38	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   71	 ill moves:    0
episode:     48	 return:      13.20	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     49	 return:      12.00	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     50	 return:      11.02	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   72	 ill moves:    0
episode:     51	 return:      11.16	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     52	 return:      10.76	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     53	 return:       7.36	 score:    8	 fireworks:    8	 lives left:    1	 ep_len:   72	 ill moves:    0
episode:     54	 return:      10.56	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   71	 ill moves:    0
episode:     55	 return:       9.36	 score:   10	 fireworks:   10	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:     56	 return:      12.28	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     57	 return:      12.94	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     58	 return:      14.22	 score:   14	 fireworks:   14	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     59	 return:      11.02	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   73	 ill moves:    0
episode:     60	 return:       9.40	 score:   10	 fireworks:   10	 lives left:    2	 ep_len:   73	 ill moves:    0
episode:     61	 return:      10.74	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   71	 ill moves:    0
episode:     62	 return:      10.72	 score:   11	 fireworks:   11	 lives left:    2	 ep_len:   72	 ill moves:    0
episode:     63	 return:      12.50	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     64	 return:      13.06	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   72	 ill moves:    0
episode:     65	 return:      12.50	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     66	 return:       8.34	 score:    9	 fireworks:    9	 lives left:    2	 ep_len:   74	 ill moves:    0
episode:     67	 return:      11.00	 score:   11	 fireworks:   11	 lives left:    3	 ep_len:   72	 ill moves:    0
episode:     68	 return:      10.78	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   70	 ill moves:    0
