/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-03-30_rew_ppo/s10/policy_exp_3.pth

Training the algorithm: PPO_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:38.017356
End time:		 2021-05-23 15:43:38.017356
Last epoch info:
epoch:    2621682 	 loss_pi:      -0.00 	 loss_vf:    7349.54 	 return:    1855.81 	 fireworks:  18.56 	 score:  17.75 	 lives left:   1.75 	 ep_len:  62.56 	 num_eps:  16.00 	 batch size: 1001.00 	 illegals:   0.00 	 entropy: 0.027
Actions:		 [7, 9, 5, 10, 6, 1, 10, 9, 5, 9, 0, 10, 4, 10, 3, 10, 9, 0, 5, 5, 10, 0, 10, 1, 10, 9, 0, 10, 9, 2, 5, 10, 5, 2, 10, 9, 0, 9, 10, 0, 10, 0, 10, 0, 10, 5, 0, 9, 9, 10, 5, 9, 0, 10, 0, 10, 5, 0, 10, 0, 5, 9, 7, 9, 10, 9, 0, 9, 10, 0, 10, 4, 10, 3, 10, 4, 10, 1, 10, 9, 10, 5, 9, 5, 3, 10, 0, 10, 0, 10, 5, 2, 0, 10, 5, 10, 3, 10, 0, 10, 0, 10, 2, 10, 9, 0, 9, 5, 9, 0, 10, 5, 0, 10, 9, 0, 10, 0, 10, 9, 10, 0, 10, 0, 7, 9, 5, 9, 10, 0, 10, 1, 10, 9, 0, 5, 9, 10, 4, 10, 4, 10, 10, 0, 4, 10, 3, 10, 10, 4, 10, 10, 3, 10, 9, 10, 4, 1, 4, 9, 9, 0, 9, 5, 9, 10, 9, 0, 9, 9, 5, 5, 5, 10, 0, 10, 5, 0, 10, 5, 1, 10, 0, 10, 0, 9, 9, 9, 5, 10, 4, 10, 10, 1, 10, 4, 10, 2, 10, 9, 10, 1, 0, 1, 9, 10, 5, 1, 10, 0, 10, 4, 10, 2, 10, 0, 10, 0, 10, 0, 10, 9, 10, 9, 10, 9, 0, 9, 0, 10, 5, 1, 2, 10, 4, 10, 0, 10, 9, 0, 10, 9, 0, 10, 0, 10, 0, 10, 5, 0, 10, 0, 10, 5, 10, 1, 1, 9, 10, 9, 2, 10, 4, 10, 4, 10, 9, 1, 10, 0, 10, 9, 5, 0, 9, 10, 6, 2, 10, 9, 4, 10, 10, 4, 10, 9, 10, 0, 10, 0, 10, 5, 3, 9, 4, 9, 5, 0, 9, 9, 10, 9, 9, 0, 10, 0, 10, 0, 10, 0, 10, 2, 10, 9, 5, 1, 9, 5, 7, 5, 10, 9, 1, 9, 10, 0, 10, 0, 10, 10, 0, 10, 5, 9, 9, 4, 5, 9, 5, 0, 10, 0, 10, 0, 10, 4, 10, 0, 10, 0, 10, 9, 0, 10, 10, 0, 10, 0, 10, 4, 10, 9, 10, 9, 9, 9, 5, 9, 9, 0, 9, 0, 10, 9, 0, 10, 0, 8, 10, 9, 9, 3, 10, 2, 10, 4, 10, 9, 1, 9, 9, 10, 9, 4, 5, 10, 9, 4, 9, 10, 0, 10, 5, 2, 5, 10, 0, 10, 0, 10, 0, 10, 9, 4, 9, 10, 10, 4, 10, 4, 0, 10, 9, 5, 4, 5, 9, 10, 5, 0, 10, 2, 10, 4, 10, 0, 10, 9, 10, 0, 5, 6, 10, 0, 10, 6, 0, 10, 9, 3, 10, 1, 10, 9, 0, 10, 5, 4, 10, 9, 4, 10, 0, 10, 5, 1, 9, 5, 10, 9, 1, 10, 9, 5, 1, 9, 9, 10, 0, 10, 9, 1, 10, 0, 10, 0, 10, 5, 0, 9, 10, 9, 0, 10, 5, 0, 10, 0, 10, 0, 10, 1, 10, 7, 1, 5, 10, 5, 0, 10, 6, 0, 10, 0, 10, 1, 10, 1, 10, 4, 10, 9, 0, 10, 9, 4, 10, 0, 10, 3, 10, 9, 5, 9, 0, 9, 9, 10, 3, 10, 4, 10, 1, 10, 4, 10, 9, 0, 9, 5, 10, 5, 4, 5, 10, 9, 5, 0, 10, 2, 10, 0, 10, 0, 10, 5, 5, 9, 10, 6, 10, 1, 10, 9, 1, 4, 10, 2, 10, 9, 0, 10, 1, 10, 0, 10, 5, 0, 10, 5, 1, 9, 10, 0, 10, 10, 4, 2, 10, 1, 10, 1, 10, 9, 5, 9, 9, 5, 0, 9, 5, 5, 10, 0, 10, 1, 10, 0, 10, 5, 0, 10, 5, 0, 10, 1, 10, 0, 10, 0, 9, 9, 8, 5, 10, 2, 10, 9, 4, 10, 9, 5, 9, 9, 5, 0, 10, 5, 0, 10, 0, 10, 0, 10, 2, 10, 4, 10, 9, 4, 9, 9, 5, 10, 0, 10, 0, 10, 5, 0, 10, 9, 0, 9, 10, 5, 0, 10, 5, 1, 10, 9, 10, 0, 10, 0, 10, 0, 10, 0, 10, 2, 5, 9, 5, 10, 5, 1, 9, 10, 0, 10, 5, 0, 10, 1, 10, 4, 10, 9, 10, 1, 3, 9, 10, 10, 0, 10, 0, 10, 9, 10, 9, 10, 3, 10, 5, 2, 3, 4, 3, 10, 9, 5, 0, 9, 5, 10, 0, 10, 5, 0, 9, 9, 10, 6, 1, 5, 10, 2, 10, 4, 10, 4, 5, 10, 5, 3, 9, 9, 5, 10, 9, 4, 9, 9, 10, 9, 4, 10, 10, 10, 3, 0, 9, 6, 5, 4, 5, 9, 5, 10, 1, 10, 5, 10, 5, 9, 0, 10, 2, 10, 0, 4, 10, 4, 10, 10, 0, 10, 9, 10, 0, 10, 9, 10, 0, 10, 0, 10, 0, 10, 0, 10, 0, 10, 9, 0, 9, 9, 10, 9, 4, 9, 9, 6, 10, 0, 10, 5, 3, 10, 3, 10, 3, 10, 9, 0, 10, 0, 10, 4, 10, 4, 10, 10, 3, 10, 4, 10, 2, 0, 10, 2, 10, 10, 3, 10, 3, 0, 9, 10, 5, 10, 5, 0, 0, 10, 9, 3, 5, 9, 10, 9, 0, 9, 10, 9, 5, 6, 10, 0, 10, 0, 10, 0, 10, 1, 5, 9, 10, 1, 10, 10, 0, 10, 3, 10, 4, 3, 10, 4, 10, 9, 4, 10, 10, 3, 10, 3, 10, 9, 0, 9, 9, 9, 5, 9, 9, 9, 5, 0, 9, 10, 9, 5, 4, 9, 10, 9, 4, 9, 10, 10, 3, 0, 10, 0, 10, 0, 5, 7, 7, 10, 9, 0, 10, 1, 10, 9, 4, 9, 10, 9, 1, 5, 10, 1, 10, 9, 2, 10, 9, 0, 10, 0, 10, 0, 10, 5, 2, 10, 4, 10, 9, 5, 4, 9, 5, 5, 9, 10, 9, 0, 10, 5, 0, 10, 9, 0, 9, 10, 2, 10, 0, 10, 0, 10, 9, 0, 10]
Finished running at:	 2021-05-23 15:43:38.567515

Saved training data in: ../data/2021-03-30_rew_ppo/s11/results_experiment_3.csv

Saved policy parameters in: ../policy_params/2021-03-30_rew_ppo/s11/policy_exp_3.pth

Testing PPO_cheat.py for 1000 episodes.
episode:      0	 return:    2000.20	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:      1	 return:    1700.12	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      2	 return:    1800.74	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      3	 return:    1800.30	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:      4	 return:    1700.22	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      5	 return:    2100.82	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   61	 ill moves:    0
episode:      6	 return:    1900.62	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:      7	 return:    1900.42	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:      8	 return:    2000.38	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:      9	 return:    2000.56	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     10	 return:    1900.54	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     11	 return:    2000.70	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     12	 return:    1900.86	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     13	 return:    1700.74	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     14	 return:    2301.24	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   58	 ill moves:    0
episode:     15	 return:    2000.52	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     16	 return:    1900.84	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     17	 return:    1800.62	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     18	 return:    1400.26	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     19	 return:    1800.44	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     20	 return:    1899.96	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     21	 return:    1900.62	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     22	 return:    1800.62	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     23	 return:    1900.16	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     24	 return:    1900.92	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     25	 return:    2000.78	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     26	 return:    1900.80	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     27	 return:    2000.64	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     28	 return:    2000.86	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     29	 return:    1782.30	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   42	 ill moves:    0
episode:     30	 return:    2200.78	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     31	 return:    2000.58	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     32	 return:    1900.10	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     33	 return:    2100.86	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     34	 return:    2200.74	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   58	 ill moves:    0
episode:     35	 return:    2000.90	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     36	 return:    2100.98	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     37	 return:    2000.94	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     38	 return:    2000.80	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     39	 return:    1700.22	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     40	 return:    2000.88	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     41	 return:    1900.62	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     42	 return:    1900.54	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     43	 return:    1782.12	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   40	 ill moves:    0
episode:     44	 return:    1700.38	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     45	 return:    1800.28	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     46	 return:    1900.68	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     47	 return:    1900.58	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     48	 return:    2100.48	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     49	 return:    2100.94	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     50	 return:    1286.48	 score:    0	 fireworks:   13	 lives left:    0	 ep_len:   59	 ill moves:    0
episode:     51	 return:    1900.52	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     52	 return:    1800.48	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     53	 return:    1900.26	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     54	 return:    1900.48	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     55	 return:    1584.10	 score:    0	 fireworks:   16	 lives left:    0	 ep_len:   55	 ill moves:    0
episode:     56	 return:    1800.40	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     57	 return:    1799.66	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     58	 return:    2300.70	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     59	 return:    1700.68	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     60	 return:    1385.22	 score:    0	 fireworks:   14	 lives left:    0	 ep_len:   48	 ill moves:    0
episode:     61	 return:    1900.30	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     62	 return:    1700.14	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     63	 return:    1900.38	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     64	 return:    2000.44	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     65	 return:    2100.90	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   59	 ill moves:    0
