/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-03-30_rew_spg/s10/policy_exp_0.pth

Training the algorithm: SPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.547863
End time:		 2021-05-23 15:43:39.547863
Last epoch info:
epoch:    2760816 	 loss:      -0.09 	 return:      26.47 	 fireworks:  13.56 	 score:  13.00 	 lives left:   1.44 	 ep_len:  64.69 	 num_eps:  16.00 	 batch size: 1035.00 	 illegals:   0.00 	 entropy: 0.478
Actions:		 [6, 5, 10, 6, 2, 9, 10, 1, 10, 9, 3, 10, 10, 4, 10, 2, 10, 2, 4, 10, 10, 10, 1, 2, 9, 3, 9, 10, 4, 10, 7, 0, 7, 9, 10, 9, 2, 10, 4, 10, 4, 10, 4, 10, 2, 10, 4, 10, 2, 10, 4, 10, 4, 10, 4, 10, 4, 10, 9, 2, 10, 2, 10, 9, 4, 7, 7, 10, 8, 8, 10, 8, 4, 10, 10, 2, 4, 10, 4, 10, 4, 10, 10, 4, 10, 9, 9, 10, 10, 10, 4, 2, 9, 7, 9, 9, 7, 7, 3, 9, 4, 2, 10, 3, 10, 3, 10, 4, 10, 9, 2, 10, 4, 10, 4, 10, 2, 10, 2, 10, 2, 10, 7, 2, 10, 7, 2, 7, 10, 0, 10, 0, 10, 0, 9, 7, 6, 8, 9, 10, 2, 10, 4, 10, 4, 10, 2, 10, 3, 10, 9, 3, 9, 10, 4, 10, 10, 2, 4, 9, 10, 4, 10, 3, 10, 9, 4, 9, 10, 3, 10, 0, 10, 1, 10, 10, 4, 10, 4, 10, 4, 10, 4, 10, 9, 4, 2, 10, 7, 2, 7, 10, 2, 10, 7, 2, 10, 10, 2, 4, 10, 9, 10, 7, 4, 6, 9, 10, 10, 4, 10, 0, 10, 10, 3, 3, 3, 10, 10, 3, 10, 3, 10, 4, 10, 9, 9, 10, 9, 10, 9, 10, 4, 0, 9, 7, 9, 4, 7, 7, 4, 10, 2, 1, 10, 2, 10, 0, 10, 2, 10, 4, 10, 4, 10, 7, 1, 10, 2, 10, 3, 10, 1, 10, 7, 2, 10, 7, 2, 10, 9, 8, 9, 6, 9, 9, 5, 10, 3, 10, 4, 10, 4, 10, 4, 10, 4, 10, 4, 10, 3, 10, 9, 2, 10, 7, 10, 0, 0, 10, 9, 4, 10, 2, 10, 7, 2, 9, 7, 7, 10, 2, 10, 7, 3, 10, 1, 10, 3, 10, 2, 10, 4, 10, 2, 10, 2, 10, 2, 10, 2, 10, 0, 10, 10, 4, 4, 10, 10, 7, 9, 4, 5, 10, 1, 10, 2, 10, 9, 10, 9, 10, 4, 10, 9, 10, 7, 2, 2, 10, 7, 4, 9, 4, 4, 10, 3, 10, 7, 10, 9, 7, 9, 3, 0, 10, 3, 10, 4, 7, 10, 0, 10, 4, 10, 10, 0, 3, 10, 4, 10, 3, 10, 3, 10, 2, 10, 7, 2, 10, 2, 10, 7, 3, 10, 6, 9, 5, 10, 3, 10, 4, 10, 3, 10, 9, 1, 10, 10, 0, 3, 10, 2, 10, 10, 3, 10, 4, 4, 9, 10, 0, 10, 9, 9, 9, 7, 4, 7, 10, 9, 7, 1, 7, 10, 3, 10, 4, 10, 2, 10, 7, 4, 10, 0, 10, 2, 10, 4, 10, 2, 10, 2, 10, 2, 10, 2, 10, 3, 10, 2, 10, 3, 5, 7, 10, 1, 10, 10, 2, 10, 9, 10, 2, 10, 9, 7, 7, 9, 2, 4, 2, 10, 2, 10, 7, 4, 10, 4, 10, 9, 9, 0, 10, 7, 2, 10, 3, 10, 7, 4, 9, 10, 2, 10, 2, 10, 3, 10, 7, 3, 10, 4, 10, 3, 10, 4, 10, 2, 10, 9, 3, 7, 10, 2, 10, 2, 10, 2, 7, 9, 9, 9, 5, 5, 10, 9, 2, 5, 9, 10, 10, 2, 3, 9, 10, 4, 10, 2, 10, 2, 10, 9, 4, 10, 4, 10, 7, 5, 10, 3, 10, 0, 10, 4, 10, 2, 10, 9, 2, 10, 9, 10, 9, 10, 3, 10, 7, 10, 3, 10, 2, 2, 10, 4, 10, 9, 3, 2, 4, 7, 9, 10, 9, 4, 9, 10, 7, 4, 7, 10, 7, 2, 7, 10, 1, 10, 3, 10, 2, 10, 4, 10, 4, 10, 3, 10, 10, 2, 2, 10, 4, 10, 7, 2, 10, 8, 10, 0, 10, 9, 3, 9, 7, 9, 10, 2, 10, 1, 10, 9, 3, 9, 10, 7, 4, 7, 10, 2, 10, 3, 10, 9, 7, 3, 10, 7, 3, 10, 2, 10, 7, 3, 10, 9, 9, 3, 10, 2, 10, 4, 10, 3, 10, 4, 10, 3, 10, 4, 10, 10, 4, 4, 10, 3, 10, 2, 10, 7, 1, 10, 4, 9, 10, 7, 1, 9, 10, 9, 3, 10, 4, 10, 2, 10, 9, 10, 1, 3, 9, 7, 7, 10, 9, 2, 10, 9, 2, 10, 7, 1, 10, 2, 10, 7, 1, 10, 9, 0, 10, 4, 10, 4, 10, 2, 10, 1, 10, 2, 10, 4, 10, 1, 10, 3, 10, 2, 10, 2, 10, 2, 10, 1, 10, 10, 2, 3, 10, 2, 10, 0, 9, 10, 10, 2, 4, 9, 10, 4, 10, 9, 10, 2, 10, 9, 10, 7, 4, 9, 7, 7, 4, 2, 7, 10, 2, 10, 3, 10, 4, 10, 4, 10, 9, 10, 9, 9, 4, 7, 7, 3, 10, 1, 10, 0, 10, 4, 10, 3, 10, 0, 10, 2, 10, 7, 3, 10, 10, 1, 3, 7, 10, 3, 10, 0, 10, 2, 10, 10, 5, 3, 10, 9, 5, 9, 5, 4, 3, 9, 10, 9, 9, 2, 10, 4, 10, 2, 10, 0, 10, 4, 10, 2, 10, 2, 10, 7, 3, 10, 2, 10, 9, 2, 10, 7, 1, 10, 2, 10, 3, 10, 4, 10, 4, 10, 4, 10, 4, 10, 4, 10, 9, 10, 7, 2, 7, 7, 1, 7, 10, 2, 10, 2, 8, 9, 9, 10, 8, 1, 9, 10, 2, 10, 9, 1, 10, 2, 10, 4, 10, 9, 4, 10, 4, 10, 10, 3, 1, 10, 2, 10, 4, 10, 9, 3, 7, 9, 10, 9, 2, 7, 7, 10, 2, 10, 2, 10, 0, 10, 7, 4, 10, 1, 10, 4, 10, 4, 10, 7, 2, 10, 4, 10, 4, 10, 2, 10, 1, 10, 0, 8, 9, 7, 6, 9, 10, 2, 10, 9, 4, 10, 4, 10, 9, 4, 10, 10, 2, 2, 10, 2, 10, 0, 10, 7, 10, 9, 9, 3, 10, 4, 4, 10, 4, 10, 4, 10, 2, 10, 7, 4, 10, 2, 10, 7, 4, 9, 10, 9, 3, 10, 9, 3, 7, 7, 10, 2, 10, 2, 10, 1, 10, 0, 10, 2]
Finished running at:	 2021-05-23 15:43:39.939752

Saved training data in: ../data/2021-03-30_rew_spg/s11/results_experiment_0.csv

Saved policy parameters in: ../policy_params/2021-03-30_rew_spg/s11/policy_exp_0.pth

Testing SPG_cheat.py for 1000 episodes.
episode:      0	 return:      27.82	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:      1	 return:      30.26	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:      2	 return:      29.72	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:      3	 return:      27.72	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:      4	 return:      27.78	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:      5	 return:      26.08	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:      6	 return:      27.42	 score:   14	 fireworks:   14	 lives left:    3	 ep_len:   68	 ill moves:    0
episode:      7	 return:      30.06	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:      8	 return:      25.90	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:      9	 return:      28.08	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     10	 return:      27.42	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     11	 return:      29.34	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     12	 return:      27.96	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     13	 return:      30.58	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     14	 return:      26.18	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   70	 ill moves:    0
episode:     15	 return:      28.42	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     16	 return:      29.52	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     17	 return:      27.88	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     18	 return:      27.72	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     19	 return:      28.28	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     20	 return:      29.96	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     21	 return:      25.66	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     22	 return:      27.92	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     23	 return:      28.04	 score:   14	 fireworks:   14	 lives left:    3	 ep_len:   68	 ill moves:    0
episode:     24	 return:      27.82	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     25	 return:      27.90	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     26	 return:      27.80	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     27	 return:      25.54	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     28	 return:      27.68	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     29	 return:      30.60	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     30	 return:      29.96	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     31	 return:      21.50	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     32	 return:      27.86	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     33	 return:      30.54	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     34	 return:      30.46	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     35	 return:      28.40	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     36	 return:      30.18	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     37	 return:      29.68	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     38	 return:      23.70	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     39	 return:      27.16	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     40	 return:      30.52	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     41	 return:      29.70	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     42	 return:      25.84	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     43	 return:      27.98	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     44	 return:      25.80	 score:   13	 fireworks:   13	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     45	 return:      28.18	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     46	 return:      26.44	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     47	 return:      29.88	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     48	 return:      27.78	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     49	 return:      27.78	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     50	 return:      30.04	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     51	 return:      27.72	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     52	 return:      27.90	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     53	 return:      30.46	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     54	 return:      30.36	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     55	 return:      28.08	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     56	 return:      28.26	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     57	 return:      23.40	 score:   12	 fireworks:   12	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     58	 return:      29.36	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     59	 return:      28.32	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     60	 return:      25.46	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     61	 return:      27.58	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     62	 return:      27.52	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     63	 return:      27.18	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     64	 return:      23.34	 score:   12	 fireworks:   12	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     65	 return:      26.28	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     66	 return:      28.34	 score:   14	 fireworks:   14	 lives left:    3	 ep_len:   68	 ill moves:    0
episode:     67	 return:      25.44	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   68	 ill moves:    0
