/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-03-30_rew_spg/s10/policy_exp_1.pth

Training the algorithm: SPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.545064
End time:		 2021-05-23 15:43:39.545064
Last epoch info:
epoch:    2656586 	 loss:      -0.22 	 return:      94.43 	 fireworks:  18.75 	 score:  18.75 	 lives left:   1.62 	 ep_len:  62.88 	 num_eps:  16.00 	 batch size: 1006.00 	 illegals:   0.00 	 entropy: 0.550
Actions:		 [7, 9, 9, 9, 6, 10, 9, 5, 9, 9, 1, 10, 10, 4, 3, 10, 9, 3, 8, 10, 10, 10, 0, 0, 9, 3, 9, 10, 10, 0, 4, 10, 9, 1, 10, 9, 10, 3, 10, 10, 1, 1, 4, 9, 9, 10, 9, 1, 10, 6, 4, 10, 2, 10, 4, 10, 10, 1, 10, 1, 10, 10, 2, 10, 6, 7, 6, 10, 9, 0, 9, 10, 5, 2, 10, 9, 4, 9, 10, 9, 10, 2, 4, 10, 4, 10, 3, 10, 9, 9, 9, 9, 10, 0, 10, 10, 1, 3, 4, 10, 4, 10, 9, 3, 6, 9, 6, 10, 9, 6, 6, 10, 9, 10, 1, 10, 1, 10, 1, 10, 0, 10, 6, 10, 4, 10, 2, 4, 3, 10, 5, 0, 6, 5, 10, 10, 1, 10, 10, 3, 0, 9, 9, 5, 4, 5, 10, 3, 10, 10, 1, 2, 10, 4, 10, 3, 10, 3, 10, 10, 10, 10, 10, 2, 4, 9, 9, 9, 9, 4, 9, 9, 7, 10, 4, 6, 1, 6, 3, 6, 10, 4, 10, 10, 4, 4, 10, 4, 6, 10, 9, 2, 10, 10, 8, 10, 9, 9, 9, 9, 4, 10, 9, 4, 9, 10, 7, 6, 1, 5, 6, 4, 10, 4, 10, 9, 4, 9, 10, 1, 10, 3, 10, 6, 10, 4, 4, 6, 10, 0, 10, 9, 1, 10, 10, 3, 7, 9, 9, 10, 0, 6, 6, 9, 1, 10, 10, 10, 3, 1, 3, 10, 0, 5, 10, 10, 0, 0, 8, 5, 10, 0, 10, 9, 5, 1, 9, 10, 9, 10, 0, 10, 9, 9, 4, 4, 9, 9, 10, 4, 10, 4, 10, 4, 10, 10, 10, 2, 1, 4, 6, 9, 10, 9, 3, 5, 6, 10, 6, 1, 10, 4, 10, 3, 10, 10, 3, 3, 9, 10, 1, 10, 1, 10, 0, 10, 10, 5, 5, 10, 5, 10, 5, 3, 10, 9, 4, 4, 10, 1, 10, 0, 10, 9, 5, 10, 4, 0, 6, 9, 10, 9, 9, 9, 10, 9, 4, 3, 10, 5, 4, 10, 6, 10, 0, 3, 6, 6, 10, 10, 3, 1, 6, 6, 10, 2, 10, 10, 10, 1, 10, 1, 1, 0, 6, 6, 10, 10, 6, 7, 10, 9, 4, 9, 9, 10, 5, 4, 10, 10, 7, 1, 9, 0, 6, 9, 10, 4, 10, 10, 3, 4, 9, 9, 10, 9, 10, 4, 10, 9, 10, 9, 1, 6, 4, 10, 0, 10, 6, 1, 6, 9, 10, 10, 10, 2, 10, 6, 2, 2, 1, 6, 6, 10, 10, 4, 2, 10, 2, 9, 9, 5, 9, 10, 10, 10, 1, 10, 0, 10, 5, 3, 3, 4, 9, 10, 10, 10, 0, 4, 9, 1, 10, 7, 10, 4, 3, 9, 9, 9, 9, 10, 4, 10, 9, 4, 10, 9, 10, 9, 3, 4, 10, 4, 10, 9, 10, 9, 0, 1, 10, 1, 10, 10, 3, 2, 10, 1, 10, 6, 2, 10, 1, 6, 7, 10, 9, 7, 0, 9, 10, 3, 10, 3, 10, 9, 10, 4, 1, 10, 1, 10, 9, 4, 10, 10, 1, 3, 9, 5, 9, 9, 10, 10, 3, 10, 6, 3, 6, 10, 9, 3, 6, 6, 10, 2, 10, 2, 10, 4, 10, 9, 1, 1, 10, 3, 10, 4, 10, 0, 10, 9, 1, 9, 6, 10, 9, 9, 9, 8, 10, 5, 4, 9, 9, 5, 10, 4, 10, 9, 10, 0, 3, 6, 10, 10, 4, 2, 10, 10, 4, 1, 10, 9, 2, 9, 9, 9, 10, 9, 10, 10, 3, 10, 10, 10, 3, 10, 9, 0, 10, 6, 10, 9, 1, 2, 10, 9, 3, 3, 3, 0, 9, 10, 1, 10, 10, 0, 1, 10, 8, 7, 10, 1, 10, 10, 1, 0, 9, 6, 9, 10, 4, 10, 4, 10, 2, 10, 7, 1, 9, 10, 4, 10, 9, 9, 4, 10, 9, 0, 9, 6, 10, 5, 3, 9, 9, 6, 10, 9, 1, 9, 10, 10, 1, 3, 6, 10, 1, 10, 4, 10, 6, 3, 10, 1, 10, 10, 1, 2, 9, 10, 9, 5, 9, 9, 5, 10, 9, 1, 10, 4, 10, 0, 10, 5, 2, 6, 10, 3, 10, 9, 9, 10, 1, 4, 6, 9, 9, 10, 9, 1, 9, 10, 10, 4, 10, 10, 4, 1, 3, 9, 10, 3, 10, 4, 10, 10, 4, 3, 10, 6, 4, 9, 10, 10, 0, 1, 10, 10, 1, 10, 1, 3, 10, 10, 9, 8, 9, 10, 9, 1, 8, 9, 5, 10, 3, 10, 0, 10, 10, 0, 3, 10, 9, 3, 10, 3, 10, 9, 4, 10, 9, 10, 9, 9, 5, 9, 1, 6, 1, 10, 4, 10, 6, 4, 10, 9, 1, 10, 3, 10, 6, 0, 10, 6, 1, 10, 3, 10, 1, 10, 9, 10, 0, 10, 10, 3, 2, 10, 8, 9, 9, 8, 7, 6, 10, 10, 0, 10, 2, 3, 5, 6, 10, 4, 10, 9, 9, 4, 10, 4, 10, 9, 0, 10, 9, 6, 10, 9, 4, 10, 0, 2, 9, 10, 9, 1, 6, 10, 9, 4, 10, 6, 10, 3, 4, 6, 10, 2, 10, 1, 10, 2, 10, 1, 10, 2, 10, 3, 10, 9, 9, 8, 5, 7, 9, 10, 4, 10, 9, 0, 10, 9, 3, 9, 10, 9, 3, 5, 10, 6, 4, 9, 10, 10, 10, 4, 4, 10, 9, 1, 1, 9, 10, 1, 10, 4, 10, 6, 3, 10, 9, 4, 10, 5, 4, 10, 1, 10, 9, 0, 10, 9, 10, 3, 6, 1, 10, 10, 1, 3, 10, 0, 6, 8, 9, 9, 5, 5, 10, 9, 10, 0, 10, 3, 2, 10, 10, 5, 4, 3, 9, 9, 9, 10, 9, 4, 6, 9, 9, 9, 10, 10, 4, 4, 9, 6, 10, 9, 10, 1, 10, 9, 0, 10, 4, 10, 1, 10, 10, 2, 3, 10, 10, 10, 1, 1, 4, 10, 9, 1, 10, 1, 10, 1]
Finished running at:	 2021-05-23 15:43:40.706757

Saved training data in: ../data/2021-03-30_rew_spg/s11/results_experiment_1.csv

Saved policy parameters in: ../policy_params/2021-03-30_rew_spg/s11/policy_exp_1.pth

Testing SPG_cheat.py for 1000 episodes.
episode:      0	 return:      79.40	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:      1	 return:      85.24	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:      2	 return:      90.18	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:      3	 return:      95.32	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:      4	 return:     100.88	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:      5	 return:      95.56	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:      6	 return:      99.52	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    1
episode:      7	 return:     101.02	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:      8	 return:      75.10	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:      9	 return:      89.90	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     10	 return:      85.44	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     11	 return:      90.92	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     12	 return:      99.76	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    1
episode:     13	 return:      69.90	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     14	 return:      95.78	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     15	 return:      85.16	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     16	 return:      90.48	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     17	 return:     100.60	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     18	 return:      95.46	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     19	 return:      74.96	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     20	 return:      85.32	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     21	 return:      95.86	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     22	 return:      80.04	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     23	 return:      95.88	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     24	 return:      85.28	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     25	 return:      95.56	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     26	 return:      90.22	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     27	 return:      80.32	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     28	 return:      80.34	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     29	 return:      90.44	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     30	 return:     101.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     31	 return:      95.96	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     32	 return:      90.42	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     33	 return:      90.84	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     34	 return:      95.78	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     35	 return:     105.50	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     36	 return:      79.80	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     37	 return:      80.28	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     38	 return:      60.00	 score:   12	 fireworks:   12	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:     39	 return:      85.64	 score:   17	 fireworks:   17	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     40	 return:      70.38	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     41	 return:      78.60	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   65	 ill moves:    1
episode:     42	 return:      90.20	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     43	 return:      90.36	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     44	 return:      80.38	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     45	 return:      31.18	 score:    0	 fireworks:    8	 lives left:    0	 ep_len:   25	 ill moves:    0
episode:     46	 return:      74.60	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   68	 ill moves:    1
episode:     47	 return:      80.24	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     48	 return:      80.46	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     49	 return:      90.32	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     50	 return:      79.68	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:     51	 return:     100.58	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     52	 return:      95.56	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     53	 return:      80.70	 score:   16	 fireworks:   16	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     54	 return:      79.68	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     55	 return:      64.74	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     56	 return:      79.86	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     57	 return:     101.14	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     58	 return:     100.30	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     59	 return:      54.50	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     60	 return:      75.04	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     61	 return:     106.36	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     62	 return:     100.50	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     63	 return:      90.34	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     64	 return:      84.72	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     65	 return:      69.60	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     66	 return:      85.74	 score:   17	 fireworks:   17	 lives left:    3	 ep_len:   65	 ill moves:    0
