/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-03-30_rew_spg/s10/policy_exp_2.pth

Training the algorithm: SPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.550349
End time:		 2021-05-23 15:43:39.550349
Last epoch info:
epoch:    2651864 	 loss:      -0.09 	 return:     166.18 	 fireworks:  16.94 	 score:  15.19 	 lives left:   1.50 	 ep_len:  66.56 	 num_eps:  16.00 	 batch size: 1065.00 	 illegals:  26.00 	 entropy: 0.496
Actions:		 [5, 8, 10, 9, 2, 10, 9, 8, 4, 9, 10, 8, 10, 1, 10, 9, 3, 10, 10, 1, 10, 0, 10, 4, 10, 1, 10, 4, 10, 9, 5, 10, 4, 1, 6, 0, 5, 0, 10, 10, 3, 0, 10, 5, 5, 0, 10, 0, 6, 6, 10, 3, 10, 0, 10, 6, 1, 6, 6, 10, 10, 1, 10, 1, 8, 9, 5, 10, 6, 3, 10, 1, 10, 8, 10, 1, 0, 8, 5, 9, 10, 3, 10, 4, 10, 10, 1, 10, 0, 10, 3, 10, 3, 2, 9, 10, 10, 6, 1, 10, 10, 6, 4, 3, 10, 10, 4, 10, 10, 1, 4, 10, 9, 9, 0, 5, 10, 0, 10, 0, 0, 3, 9, 10, 6, 1, 10, 6, 0, 10, 7, 9, 8, 9, 10, 1, 10, 5, 10, 6, 0, 9, 1, 5, 5, 6, 10, 0, 10, 5, 6, 9, 1, 10, 2, 10, 3, 10, 0, 10, 8, 0, 6, 10, 10, 3, 1, 10, 4, 10, 9, 10, 5, 0, 1, 6, 10, 10, 0, 0, 10, 6, 10, 0, 10, 3, 10, 0, 10, 6, 10, 0, 10, 10, 10, 8, 1, 10, 9, 0, 9, 10, 10, 1, 0, 10, 5, 4, 9, 10, 8, 10, 3, 10, 9, 10, 4, 3, 10, 9, 5, 0, 8, 5, 10, 0, 10, 0, 10, 6, 3, 4, 10, 10, 10, 1, 0, 10, 1, 1, 10, 6, 0, 6, 6, 10, 0, 10, 0, 10, 10, 1, 10, 10, 1, 10, 0, 1, 1, 9, 6, 9, 6, 5, 9, 6, 5, 9, 10, 10, 2, 3, 10, 5, 6, 5, 1, 10, 10, 1, 10, 9, 1, 9, 5, 10, 5, 3, 10, 3, 0, 5, 10, 10, 4, 10, 3, 10, 6, 3, 10, 0, 3, 10, 5, 10, 10, 0, 0, 6, 0, 6, 10, 0, 10, 6, 1, 6, 10, 10, 0, 10, 1, 9, 9, 8, 10, 6, 4, 6, 6, 10, 3, 10, 6, 10, 1, 0, 10, 4, 10, 10, 0, 4, 10, 3, 10, 8, 5, 1, 10, 4, 10, 10, 4, 2, 10, 3, 10, 0, 10, 4, 10, 9, 0, 5, 10, 8, 1, 10, 6, 10, 1, 10, 0, 10, 10, 0, 0, 10, 6, 10, 0, 0, 6, 10, 0, 10, 5, 10, 6, 9, 5, 5, 10, 1, 10, 1, 10, 1, 10, 1, 10, 2, 10, 10, 0, 4, 10, 0, 10, 4, 10, 9, 0, 10, 10, 4, 0, 10, 9, 4, 8, 10, 10, 3, 10, 9, 1, 6, 3, 10, 10, 1, 6, 9, 3, 10, 5, 10, 10, 0, 3, 6, 5, 6, 10, 10, 0, 1, 9, 10, 6, 1, 0, 6, 9, 7, 6, 7, 9, 10, 5, 4, 9, 10, 9, 10, 1, 0, 10, 5, 3, 10, 10, 10, 1, 0, 1, 10, 4, 10, 0, 10, 9, 10, 5, 4, 3, 10, 9, 5, 9, 0, 5, 10, 6, 1, 10, 3, 10, 0, 10, 4, 10, 10, 10, 1, 10, 0, 10, 3, 6, 5, 6, 0, 10, 0, 10, 1, 5, 8, 8, 10, 3, 10, 5, 1, 5, 6, 10, 10, 10, 3, 2, 9, 9, 5, 4, 10, 3, 10, 4, 10, 9, 5, 10, 5, 4, 10, 0, 10, 0, 10, 10, 1, 5, 10, 1, 10, 6, 0, 9, 0, 10, 3, 4, 5, 2, 10, 0, 10, 5, 3, 10, 1, 10, 10, 0, 1, 6, 10, 10, 10, 10, 0, 10, 1, 9, 6, 9, 5, 9, 5, 9, 10, 10, 4, 0, 10, 1, 10, 8, 10, 9, 0, 0, 10, 5, 4, 10, 6, 1, 10, 3, 10, 4, 10, 3, 10, 10, 1, 10, 4, 10, 9, 2, 9, 1, 5, 10, 6, 6, 0, 10, 6, 1, 10, 1, 10, 10, 4, 10, 3, 10, 5, 10, 0, 1, 5, 6, 1, 10, 9, 1, 8, 4, 10, 10, 4, 1, 10, 10, 4, 3, 10, 0, 10, 9, 0, 10, 6, 5, 9, 3, 9, 10, 4, 10, 1, 10, 9, 5, 3, 10, 4, 10, 10, 2, 3, 8, 5, 10, 0, 10, 5, 10, 0, 10, 9, 0, 5, 5, 1, 10, 0, 10, 5, 10, 0, 10, 6, 1, 10, 10, 0, 10, 6, 1, 0, 8, 10, 6, 1, 10, 9, 4, 9, 10, 1, 10, 4, 10, 4, 10, 4, 10, 10, 1, 10, 4, 10, 6, 1, 8, 4, 10, 10, 10, 10, 4, 2, 4, 0, 10, 4, 10, 9, 10, 9, 5, 5, 5, 9, 5, 4, 0, 10, 5, 6, 5, 10, 10, 4, 0, 10, 0, 10, 8, 3, 5, 6, 1, 10, 9, 9, 6, 7, 10, 10, 1, 3, 10, 4, 10, 4, 10, 4, 10, 1, 10, 10, 5, 10, 4, 4, 10, 4, 1, 9, 10, 9, 5, 10, 3, 10, 0, 10, 5, 9, 1, 10, 1, 10, 0, 10, 9, 8, 10, 0, 2, 0, 9, 6, 10, 8, 5, 10, 5, 0, 0, 6, 10, 10, 0, 10, 0, 10, 6, 9, 6, 6, 10, 9, 4, 10, 1, 10, 1, 10, 9, 5, 3, 10, 3, 10, 9, 0, 10, 5, 1, 10, 6, 4, 10, 9, 10, 10, 4, 10, 0, 6, 9, 6, 5, 6, 0, 3, 10, 5, 1, 10, 10, 10, 0, 1, 5, 3, 10, 1, 10, 0, 10, 5, 0, 5, 10, 3, 10, 6, 1, 10, 8, 5, 10, 8, 1, 6, 10, 1, 10, 9, 1, 10, 1, 10, 0, 10, 5, 1, 10, 0, 10, 6, 4, 10, 1, 10, 10, 4, 10, 10, 10, 1, 0, 1, 0, 6, 5, 9, 10, 3, 5, 10, 10, 1, 10, 10, 2, 10, 8, 3, 3, 5, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 0, 10, 9, 3, 10, 6, 0, 10, 6, 6, 10, 9, 4, 10, 9, 4, 10, 1, 6, 10, 1, 6, 10, 1, 10, 10, 4, 10, 4, 10, 9, 3, 9, 9, 4, 8, 10, 9, 5, 5, 10, 5, 4, 0, 10, 10, 3, 0, 10, 0, 10, 10, 0, 10, 6, 1, 3, 10, 0, 10, 6, 0, 5, 5, 10, 10, 3, 10, 0, 10, 10, 0, 10, 0, 0, 10]
Finished running at:	 2021-05-23 15:43:40.737667

Saved training data in: ../data/2021-03-30_rew_spg/s11/results_experiment_2.csv

Saved policy parameters in: ../policy_params/2021-03-30_rew_spg/s11/policy_exp_2.pth

Testing SPG_cheat.py for 1000 episodes.
episode:      0	 return:     179.96	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:      1	 return:     150.34	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:      2	 return:     170.10	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:      3	 return:     160.16	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:      4	 return:     160.28	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:      5	 return:     190.30	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:      6	 return:     170.62	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      7	 return:     150.22	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:      8	 return:     170.00	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:      9	 return:     169.52	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    1
episode:     10	 return:     180.62	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     11	 return:     107.32	 score:    0	 fireworks:   12	 lives left:    0	 ep_len:   63	 ill moves:    0
episode:     12	 return:     149.02	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   69	 ill moves:    1
episode:     13	 return:     190.58	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     14	 return:     180.14	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     15	 return:     129.66	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     16	 return:     139.56	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     17	 return:     189.38	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   65	 ill moves:    1
episode:     18	 return:     190.52	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     19	 return:     170.38	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     20	 return:     160.28	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     21	 return:     180.30	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     22	 return:     170.12	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:     23	 return:     139.68	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     24	 return:     190.80	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     25	 return:     150.10	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     26	 return:     170.44	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     27	 return:     149.88	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     28	 return:     129.74	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     29	 return:     170.04	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     30	 return:     159.72	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     31	 return:     153.26	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   63	 ill moves:    0
episode:     32	 return:     180.10	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     33	 return:     190.76	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     34	 return:     149.82	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     35	 return:     138.90	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   69	 ill moves:    1
episode:     36	 return:     150.18	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     37	 return:     180.84	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     38	 return:     190.76	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     39	 return:     140.20	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     40	 return:     180.18	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     41	 return:     116.64	 score:    0	 fireworks:   13	 lives left:    0	 ep_len:   53	 ill moves:    0
episode:     42	 return:     160.18	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     43	 return:     180.44	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     44	 return:     170.38	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     45	 return:     179.92	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     46	 return:     170.60	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     47	 return:     170.20	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     48	 return:     190.56	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     49	 return:     149.74	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     50	 return:     180.26	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     51	 return:     160.38	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     52	 return:     150.24	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     53	 return:     160.26	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     54	 return:     170.62	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     55	 return:     160.48	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     56	 return:     159.78	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     57	 return:     160.16	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     58	 return:     159.96	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     59	 return:     200.58	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     60	 return:     160.36	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     61	 return:     190.38	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     62	 return:     139.98	 score:   14	 fireworks:   14	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     63	 return:     170.40	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     64	 return:     150.08	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     65	 return:     160.58	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     66	 return:     149.74	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     67	 return:     149.70	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     68	 return:     108.10	 score:    0	 fireworks:   12	 lives left:    0	 ep_len:   54	 ill moves:    0
episode:     69	 return:     135.70	 score:    0	 fireworks:   15	 lives left:    0	 ep_len:   63	 ill moves:    0
