/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-03-30_rew_vpg/s10/policy_exp_0.pth

Training the algorithm: VPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.521680
End time:		 2021-05-23 15:43:39.521680
Last epoch info:
epoch:    2296338 	 loss_pi:      -0.01 	 loss_vf:       2.58 	 return:      43.17 	 fireworks:  21.00 	 score:  21.00 	 lives left:   2.81 	 ep_len:  64.81 	 num_eps:  16.00 	 batch size: 1037.00 	 illegals:   0.00 	 entropy: 0.061
Actions:		 [5, 9, 9, 5, 10, 6, 1, 10, 4, 10, 9, 0, 10, 10, 1, 1, 10, 2, 10, 4, 10, 4, 10, 1, 10, 10, 4, 1, 10, 10, 0, 10, 4, 10, 9, 6, 9, 0, 9, 9, 5, 5, 6, 9, 4, 10, 4, 10, 5, 4, 5, 6, 6, 10, 10, 1, 10, 6, 10, 6, 10, 10, 1, 10, 1, 8, 5, 9, 10, 1, 10, 9, 4, 10, 4, 10, 0, 10, 9, 1, 9, 6, 10, 4, 10, 4, 10, 9, 10, 9, 10, 5, 5, 5, 5, 0, 1, 6, 10, 6, 10, 10, 1, 10, 4, 10, 6, 1, 6, 10, 4, 10, 0, 10, 1, 10, 4, 10, 0, 10, 4, 10, 1, 10, 9, 10, 9, 5, 4, 4, 5, 6, 8, 9, 6, 7, 10, 9, 4, 6, 5, 8, 10, 9, 4, 10, 0, 10, 10, 0, 10, 4, 10, 9, 0, 9, 4, 10, 9, 4, 10, 6, 6, 9, 6, 10, 4, 10, 9, 1, 5, 6, 6, 10, 6, 10, 10, 1, 10, 1, 10, 4, 10, 6, 10, 10, 10, 4, 10, 1, 10, 1, 10, 1, 10, 1, 10, 9, 8, 1, 9, 10, 0, 10, 9, 4, 10, 9, 9, 9, 9, 8, 4, 5, 10, 10, 4, 10, 5, 0, 10, 6, 10, 9, 5, 9, 4, 6, 9, 4, 6, 10, 4, 10, 6, 4, 10, 5, 4, 10, 6, 10, 0, 10, 1, 10, 4, 10, 4, 10, 6, 10, 0, 10, 10, 4, 10, 6, 10, 10, 10, 9, 1, 6, 10, 0, 10, 0, 10, 9, 1, 10, 9, 9, 9, 4, 10, 10, 4, 10, 0, 10, 9, 1, 9, 4, 10, 9, 10, 5, 5, 9, 4, 5, 4, 6, 10, 9, 4, 10, 5, 4, 10, 9, 4, 10, 6, 4, 6, 6, 10, 1, 10, 6, 10, 6, 10, 10, 4, 10, 1, 10, 1, 9, 8, 9, 10, 6, 10, 1, 10, 1, 10, 9, 10, 9, 0, 5, 2, 9, 4, 10, 10, 4, 10, 9, 0, 5, 10, 4, 0, 10, 6, 4, 10, 9, 10, 4, 10, 1, 10, 4, 10, 4, 10, 9, 10, 4, 2, 10, 0, 10, 4, 10, 1, 10, 6, 0, 10, 9, 1, 9, 10, 0, 10, 5, 6, 6, 10, 9, 6, 6, 10, 6, 4, 10, 6, 4, 10, 8, 0, 10, 0, 10, 10, 4, 10, 6, 1, 4, 10, 10, 0, 10, 6, 0, 9, 10, 6, 0, 10, 9, 5, 4, 10, 9, 4, 10, 4, 10, 9, 10, 4, 10, 4, 10, 0, 10, 4, 1, 10, 6, 10, 6, 5, 5, 1, 10, 4, 1, 10, 1, 10, 9, 8, 7, 9, 10, 9, 0, 9, 10, 9, 4, 5, 9, 10, 6, 0, 9, 10, 9, 4, 5, 10, 6, 4, 10, 0, 10, 4, 10, 1, 10, 0, 10, 4, 10, 10, 1, 10, 6, 10, 6, 10, 9, 10, 4, 0, 1, 4, 9, 9, 10, 5, 10, 1, 10, 6, 10, 4, 10, 6, 1, 10, 1, 10, 10, 8, 10, 9, 10, 6, 0, 4, 10, 6, 10, 9, 1, 1, 10, 1, 10, 9, 10, 8, 2, 6, 4, 10, 4, 10, 9, 1, 5, 9, 10, 8, 5, 0, 10, 4, 10, 9, 4, 10, 9, 5, 4, 10, 6, 10, 5, 10, 1, 10, 4, 10, 1, 10, 1, 10, 4, 10, 6, 10, 1, 10, 4, 5, 6, 10, 9, 10, 5, 10, 6, 1, 4, 10, 9, 10, 9, 10, 4, 10, 9, 0, 7, 4, 9, 8, 4, 10, 7, 10, 4, 10, 1, 10, 10, 0, 10, 4, 10, 9, 6, 9, 10, 5, 5, 0, 4, 9, 9, 5, 4, 6, 6, 6, 10, 10, 10, 10, 1, 10, 0, 10, 4, 10, 1, 10, 4, 10, 6, 10, 1, 10, 8, 10, 5, 4, 6, 9, 9, 9, 5, 9, 10, 9, 0, 6, 10, 9, 6, 4, 6, 4, 9, 10, 9, 4, 10, 1, 10, 4, 10, 10, 4, 10, 8, 6, 1, 1, 9, 10, 10, 4, 10, 4, 10, 10, 1, 10, 1, 10, 6, 6, 10, 1, 10, 1, 10, 4, 10, 6, 10, 10, 10, 4, 10, 4, 10, 1, 5, 7, 10, 6, 4, 10, 7, 4, 8, 10, 7, 8, 6, 10, 9, 1, 8, 10, 1, 10, 9, 5, 4, 5, 4, 10, 5, 4, 9, 10, 4, 10, 4, 10, 6, 10, 1, 10, 6, 4, 6, 5, 9, 10, 1, 10, 6, 10, 1, 10, 4, 10, 1, 10, 1, 10, 4, 10, 6, 10, 6, 10, 1, 5, 8, 9, 10, 10, 2, 10, 9, 1, 9, 0, 10, 4, 10, 5, 4, 9, 10, 0, 10, 4, 10, 0, 10, 9, 4, 10, 5, 10, 9, 6, 9, 5, 1, 4, 10, 0, 10, 1, 10, 10, 4, 10, 1, 10, 4, 10, 4, 10, 9, 10, 9, 9, 5, 5, 5, 10, 4, 10, 1, 10, 6, 10, 4, 10, 10, 6, 6, 10, 10, 0, 10, 4, 10, 9, 2, 9, 9, 5, 1, 10, 4, 10, 10, 4, 0, 9, 9, 5, 10, 9, 4, 5, 5, 5, 6, 10, 6, 1, 9, 9, 10, 1, 10, 10, 4, 10, 4, 1, 10, 4, 10, 6, 4, 10, 4, 10, 6, 10, 10, 4, 0, 9, 5, 10, 6, 4, 6, 9, 8, 7, 9, 10, 9, 10, 8, 8, 7, 10, 4, 1, 10, 0, 10, 2, 4, 10, 9, 10, 4, 10, 9, 0, 4, 10, 4, 10, 4, 10, 10, 4, 10, 4, 10, 9, 4, 6, 4, 10, 10, 4, 10, 1, 10, 4, 10, 0, 10, 9, 6, 4, 9, 6, 4, 10, 9, 10, 5, 10, 6, 10, 5, 1, 10, 5, 9, 9, 5, 10, 1, 10, 10, 0, 1, 10, 9, 10, 2, 10, 9, 1, 1, 6, 10, 4, 10, 6, 4, 10, 10, 4, 10, 10, 0, 10, 10, 4, 10, 4, 0, 9, 9, 5, 9, 4, 4, 9, 10, 9, 4, 6, 6, 5, 10, 10, 10, 0, 10, 1, 10, 0, 10, 4, 10, 9, 5, 6, 10, 4]
Finished running at:	 2021-05-23 15:43:40.452505

Saved training data in: ../data/2021-03-30_rew_vpg/s11/results_experiment_0.csv

Saved policy parameters in: ../policy_params/2021-03-30_rew_vpg/s11/policy_exp_0.pth

Testing VPG_cheat.py for 1000 episodes.
episode:      0	 return:      44.92	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:      1	 return:      43.16	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:      2	 return:      38.84	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:      3	 return:      43.00	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:      4	 return:      43.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:      5	 return:      47.64	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:      6	 return:      33.02	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:      7	 return:      45.36	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:      8	 return:      43.12	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:      9	 return:      37.20	 score:   18	 fireworks:   18	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     10	 return:      39.06	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     11	 return:      43.18	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     12	 return:      45.48	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     13	 return:      47.44	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     14	 return:      40.50	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     15	 return:      35.48	 score:   17	 fireworks:   17	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     16	 return:      45.10	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   59	 ill moves:    0
episode:     17	 return:      40.86	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     18	 return:      43.34	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     19	 return:      49.76	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     20	 return:      43.40	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     21	 return:      41.36	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     22	 return:      42.82	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     23	 return:      43.42	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     24	 return:      45.30	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     25	 return:      40.72	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     26	 return:      41.28	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     27	 return:      43.36	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     28	 return:      49.48	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     29	 return:      43.56	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     30	 return:      45.86	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     31	 return:      39.16	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     32	 return:      42.96	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     33	 return:      35.28	 score:   17	 fireworks:   17	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     34	 return:      34.48	 score:   17	 fireworks:   17	 lives left:    3	 ep_len:   69	 ill moves:    0
episode:     35	 return:      45.04	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     36	 return:      45.40	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     37	 return:      41.16	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   68	 ill moves:    0
episode:     38	 return:      45.60	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     39	 return:      40.86	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   68	 ill moves:    0
episode:     40	 return:      36.66	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     41	 return:      43.08	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     42	 return:      43.24	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     43	 return:      34.74	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     44	 return:      41.08	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     45	 return:      45.24	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     46	 return:      41.30	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     47	 return:      45.24	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     48	 return:      47.56	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     49	 return:      41.24	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     50	 return:      45.22	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   61	 ill moves:    0
episode:     51	 return:      40.86	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     52	 return:      47.78	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     53	 return:      47.66	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     54	 return:      43.34	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     55	 return:      45.26	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     56	 return:      47.54	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     57	 return:      41.28	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     58	 return:      43.14	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     59	 return:      39.04	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     60	 return:      45.34	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     61	 return:      47.36	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     62	 return:      38.84	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     63	 return:      41.40	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     64	 return:      41.30	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   66	 ill moves:    0
episode:     65	 return:      44.86	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     66	 return:      42.82	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     67	 return:      45.46	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     68	 return:      49.24	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   64	 ill moves:    0
