/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-03-30_rew_vpg/s10/policy_exp_1.pth

Training the algorithm: VPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.475360
End time:		 2021-05-23 15:43:39.475360
Last epoch info:
epoch:    2267419 	 loss_pi:      -0.02 	 loss_vf:      13.68 	 return:      95.88 	 fireworks:  19.06 	 score:  19.06 	 lives left:   1.25 	 ep_len:  65.56 	 num_eps:  16.00 	 batch size: 1049.00 	 illegals:   0.00 	 entropy: 0.110
Actions:		 [6, 9, 9, 8, 5, 10, 9, 4, 6, 7, 9, 10, 2, 10, 6, 3, 10, 10, 2, 10, 2, 10, 9, 7, 1, 4, 10, 4, 10, 10, 1, 4, 7, 6, 10, 1, 10, 1, 10, 1, 10, 6, 2, 10, 7, 2, 10, 1, 10, 0, 10, 10, 10, 1, 10, 0, 10, 9, 10, 6, 10, 5, 10, 5, 6, 1, 10, 10, 6, 6, 7, 1, 10, 1, 10, 2, 10, 0, 10, 4, 10, 9, 1, 9, 9, 6, 10, 0, 10, 5, 7, 6, 2, 10, 10, 10, 10, 10, 1, 1, 9, 0, 9, 3, 7, 4, 10, 0, 10, 5, 0, 5, 5, 10, 3, 10, 2, 10, 0, 10, 0, 10, 2, 10, 6, 6, 6, 10, 10, 10, 2, 10, 9, 8, 5, 5, 6, 9, 5, 9, 9, 6, 6, 5, 10, 0, 10, 9, 3, 10, 7, 3, 7, 10, 6, 1, 10, 1, 10, 10, 4, 10, 10, 4, 10, 4, 10, 4, 10, 4, 10, 1, 10, 9, 7, 10, 1, 10, 2, 0, 1, 6, 6, 6, 10, 10, 10, 10, 1, 10, 2, 10, 1, 10, 7, 6, 6, 10, 9, 6, 10, 9, 7, 6, 6, 5, 0, 10, 5, 10, 3, 10, 4, 10, 4, 10, 3, 10, 9, 1, 1, 10, 7, 10, 9, 10, 3, 10, 1, 10, 0, 10, 0, 10, 5, 1, 5, 1, 2, 10, 1, 10, 1, 10, 0, 10, 5, 10, 1, 10, 9, 5, 0, 10, 6, 10, 10, 1, 10, 6, 10, 1, 10, 6, 0, 6, 9, 9, 9, 6, 10, 7, 0, 9, 10, 4, 7, 10, 0, 10, 7, 2, 9, 7, 6, 10, 0, 10, 9, 10, 0, 0, 5, 10, 1, 10, 2, 10, 7, 1, 10, 6, 10, 9, 3, 6, 10, 6, 6, 5, 5, 1, 10, 10, 0, 10, 1, 10, 2, 10, 0, 10, 7, 1, 10, 1, 10, 10, 9, 10, 6, 1, 5, 10, 0, 10, 10, 2, 10, 9, 3, 7, 10, 7, 10, 9, 10, 2, 10, 4, 10, 3, 10, 9, 6, 4, 5, 9, 9, 4, 6, 6, 3, 7, 10, 2, 10, 6, 10, 3, 1, 10, 6, 3, 10, 4, 10, 10, 3, 10, 1, 10, 1, 10, 1, 10, 0, 10, 10, 10, 2, 10, 4, 10, 9, 5, 10, 6, 6, 10, 6, 4, 9, 9, 10, 9, 2, 5, 10, 4, 10, 0, 10, 1, 10, 4, 10, 9, 0, 9, 9, 5, 10, 6, 0, 10, 7, 0, 7, 10, 1, 10, 4, 10, 10, 1, 10, 0, 10, 5, 4, 0, 10, 2, 10, 0, 10, 6, 10, 6, 10, 6, 10, 1, 10, 9, 5, 10, 6, 10, 5, 10, 1, 7, 6, 9, 7, 6, 5, 10, 6, 10, 4, 10, 0, 10, 9, 1, 7, 10, 6, 1, 6, 9, 3, 10, 9, 10, 2, 10, 4, 10, 3, 10, 4, 10, 2, 10, 7, 6, 7, 4, 2, 7, 10, 2, 10, 7, 1, 10, 6, 10, 0, 10, 0, 10, 5, 10, 1, 10, 1, 10, 3, 10, 10, 10, 1, 10, 7, 10, 9, 4, 6, 9, 5, 9, 6, 6, 6, 10, 4, 10, 1, 10, 0, 10, 7, 1, 10, 7, 2, 10, 7, 4, 10, 10, 3, 10, 2, 10, 9, 4, 7, 4, 10, 10, 3, 10, 1, 10, 10, 1, 4, 10, 9, 10, 5, 6, 1, 6, 6, 10, 1, 10, 0, 10, 5, 6, 1, 6, 10, 1, 8, 6, 10, 9, 1, 10, 1, 10, 9, 9, 0, 9, 5, 10, 0, 7, 5, 9, 9, 7, 6, 7, 10, 7, 3, 10, 4, 10, 4, 10, 4, 10, 4, 10, 4, 10, 4, 10, 0, 10, 0, 10, 1, 10, 10, 1, 10, 6, 10, 9, 10, 10, 1, 10, 1, 10, 7, 10, 2, 10, 1, 10, 6, 10, 6, 10, 1, 10, 1, 9, 8, 6, 6, 10, 9, 10, 6, 2, 10, 2, 10, 7, 4, 10, 4, 7, 0, 10, 4, 10, 2, 10, 1, 10, 0, 10, 5, 1, 10, 4, 10, 4, 10, 9, 4, 10, 9, 4, 6, 10, 10, 0, 10, 9, 5, 0, 6, 5, 10, 5, 1, 0, 10, 5, 1, 10, 1, 10, 6, 0, 10, 6, 5, 5, 5, 10, 9, 0, 9, 9, 5, 10, 0, 10, 5, 0, 9, 6, 10, 4, 10, 0, 10, 9, 0, 5, 9, 7, 10, 10, 0, 10, 1, 10, 7, 4, 1, 9, 10, 7, 6, 1, 10, 6, 0, 10, 10, 2, 10, 0, 10, 6, 0, 6, 10, 0, 10, 1, 10, 10, 10, 10, 2, 10, 1, 10, 2, 8, 9, 9, 9, 10, 6, 4, 9, 10, 9, 10, 9, 10, 0, 10, 5, 6, 7, 7, 7, 3, 0, 10, 4, 10, 1, 10, 6, 1, 9, 7, 9, 6, 10, 0, 10, 5, 0, 6, 5, 6, 10, 6, 10, 7, 10, 3, 10, 0, 10, 0, 10, 0, 10, 10, 0, 10, 10, 1, 10, 2, 10, 2, 10, 7, 2, 9, 9, 5, 9, 9, 9, 7, 7, 10, 6, 4, 9, 10, 6, 4, 10, 10, 2, 10, 4, 10, 1, 10, 9, 10, 6, 5, 0, 6, 6, 4, 2, 10, 0, 10, 0, 10, 9, 10, 6, 10, 0, 10, 5, 6, 2, 6, 7, 10, 2, 10, 0, 10, 10, 10, 10, 10, 1, 10, 2, 10, 1, 10, 9, 1, 9, 10, 5, 0, 5, 10, 3, 10, 0, 10, 5, 0, 9, 5, 9, 10, 10, 2, 10, 9, 9, 4, 4, 10, 9, 10, 9, 5, 5, 0, 10, 5, 4, 2, 10, 1, 10, 10, 1, 10, 6, 1, 10, 1, 10, 1, 10, 1, 10, 10, 0, 10, 2, 10, 0, 10, 0, 10, 6, 6, 0, 10, 0, 9, 10, 6, 0, 6, 10, 1, 10, 0, 10, 9, 10, 7, 2, 7, 4, 6, 10, 10, 4, 10, 9, 10, 6, 3, 0, 4, 10, 10, 10, 1, 10, 7, 10, 4, 10, 4, 10, 10, 0, 10, 9, 5, 1, 9, 1, 4, 10, 0, 1, 9, 6, 3, 10, 4, 10, 0, 10, 1, 10, 9, 0, 10, 6, 10, 6]
Finished running at:	 2021-05-23 15:43:39.902271

Saved training data in: ../data/2021-03-30_rew_vpg/s11/results_experiment_1.csv

Saved policy parameters in: ../policy_params/2021-03-30_rew_vpg/s11/policy_exp_1.pth

Testing VPG_cheat.py for 1000 episodes.
episode:      0	 return:     100.44	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:      1	 return:      95.52	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:      2	 return:      95.58	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:      3	 return:      90.62	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      4	 return:      90.60	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:      5	 return:      84.84	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:      6	 return:      90.46	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:      7	 return:      76.48	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   64	 ill moves:    0
episode:      8	 return:     100.40	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:      9	 return:      95.52	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     10	 return:     105.64	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     11	 return:      95.70	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     12	 return:     106.20	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     13	 return:      80.66	 score:    0	 fireworks:   20	 lives left:    0	 ep_len:   66	 ill moves:    0
episode:     14	 return:      95.44	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     15	 return:     106.02	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     16	 return:     101.00	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     17	 return:     105.70	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     18	 return:      84.96	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     19	 return:      95.84	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     20	 return:      85.76	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     21	 return:     105.90	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     22	 return:      94.94	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     23	 return:      75.44	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     24	 return:      90.12	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     25	 return:     115.88	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     26	 return:     105.62	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     27	 return:      90.70	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     28	 return:     100.86	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     29	 return:      90.34	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     30	 return:      85.56	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     31	 return:      95.48	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     32	 return:      80.10	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:     33	 return:      95.54	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     34	 return:      90.78	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     35	 return:      95.46	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     36	 return:     100.38	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     37	 return:      85.26	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     38	 return:      85.48	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     39	 return:     110.36	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     40	 return:     100.38	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     41	 return:      95.78	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     42	 return:     100.60	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     43	 return:      90.24	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     44	 return:      90.84	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     45	 return:     111.04	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     46	 return:      90.92	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     47	 return:      95.90	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     48	 return:      85.26	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     49	 return:      85.26	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     50	 return:      95.62	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     51	 return:      89.94	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     52	 return:      95.14	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     53	 return:     101.08	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     54	 return:      79.98	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:     55	 return:      96.44	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     56	 return:      95.52	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     57	 return:      95.66	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     58	 return:      95.26	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     59	 return:      75.16	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:     60	 return:      90.16	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     61	 return:     105.56	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     62	 return:      95.14	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     63	 return:     106.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     64	 return:     100.60	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     65	 return:      90.60	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     66	 return:      95.44	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     67	 return:      95.26	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     68	 return:      85.40	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
