/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-03-30_rew_vpg/s10/policy_exp_3.pth

Training the algorithm: VPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:39.517333
End time:		 2021-05-23 15:43:39.517333
Last epoch info:
epoch:    2308190 	 loss_pi:      -0.03 	 loss_vf:    7042.94 	 return:    2229.11 	 fireworks:  22.29 	 score:  21.06 	 lives left:   1.41 	 ep_len:  61.06 	 num_eps:  17.00 	 batch size: 1038.00 	 illegals:   0.00 	 entropy: 0.105
Actions:		 [6, 8, 10, 6, 1, 7, 9, 9, 5, 6, 6, 10, 9, 6, 6, 3, 10, 0, 10, 1, 10, 4, 10, 9, 1, 9, 10, 6, 3, 10, 1, 10, 6, 3, 7, 10, 9, 5, 10, 0, 10, 6, 10, 6, 5, 1, 10, 1, 10, 7, 10, 5, 10, 7, 10, 0, 10, 7, 10, 0, 10, 7, 9, 8, 5, 6, 5, 9, 10, 6, 10, 4, 1, 10, 0, 10, 4, 10, 2, 10, 4, 10, 9, 1, 8, 6, 7, 10, 4, 10, 3, 10, 9, 9, 9, 6, 4, 10, 4, 10, 9, 10, 5, 5, 0, 5, 7, 6, 6, 5, 5, 7, 6, 9, 8, 6, 7, 10, 0, 10, 1, 10, 9, 0, 10, 9, 0, 10, 4, 10, 3, 10, 4, 10, 9, 10, 9, 0, 9, 4, 5, 5, 6, 10, 7, 0, 9, 7, 10, 0, 10, 9, 1, 7, 10, 7, 6, 10, 1, 10, 1, 10, 9, 5, 5, 10, 5, 1, 0, 10, 7, 10, 10, 10, 5, 1, 5, 10, 2, 10, 9, 0, 7, 5, 9, 9, 10, 9, 8, 5, 7, 0, 9, 6, 10, 6, 1, 10, 0, 10, 5, 10, 0, 10, 0, 10, 1, 10, 1, 10, 0, 10, 9, 0, 7, 9, 7, 7, 6, 6, 10, 6, 10, 1, 10, 1, 10, 10, 3, 10, 0, 10, 7, 10, 10, 8, 8, 7, 7, 8, 10, 1, 10, 1, 10, 9, 3, 10, 9, 0, 9, 10, 9, 5, 7, 3, 10, 10, 1, 10, 9, 4, 3, 10, 9, 4, 7, 5, 10, 4, 10, 10, 1, 0, 7, 10, 1, 10, 9, 1, 6, 5, 7, 6, 10, 6, 10, 5, 10, 6, 10, 10, 1, 10, 1, 10, 7, 5, 9, 6, 6, 10, 1, 10, 9, 0, 10, 9, 6, 6, 3, 10, 10, 1, 10, 2, 10, 2, 10, 10, 1, 10, 4, 10, 9, 9, 10, 2, 10, 9, 5, 6, 4, 6, 3, 9, 7, 6, 9, 10, 7, 1, 10, 6, 4, 10, 10, 1, 10, 7, 10, 0, 10, 5, 5, 0, 5, 10, 10, 5, 9, 6, 9, 9, 9, 9, 9, 8, 7, 7, 7, 9, 5, 9, 9, 10, 5, 1, 6, 10, 0, 10, 0, 10, 4, 10, 4, 10, 3, 10, 0, 10, 1, 10, 6, 10, 6, 0, 10, 5, 10, 7, 10, 1, 10, 7, 0, 5, 10, 10, 3, 10, 1, 10, 3, 10, 1, 10, 7, 10, 1, 10, 8, 0, 9, 10, 2, 10, 7, 0, 10, 10, 3, 10, 3, 10, 4, 10, 3, 10, 2, 10, 4, 10, 3, 10, 3, 10, 10, 1, 1, 9, 9, 1, 6, 9, 6, 9, 5, 7, 9, 10, 5, 3, 5, 7, 7, 6, 9, 10, 10, 1, 10, 1, 10, 7, 10, 7, 10, 3, 10, 1, 10, 1, 10, 0, 10, 9, 1, 5, 10, 5, 3, 9, 10, 9, 3, 5, 10, 9, 10, 1, 10, 9, 7, 9, 4, 8, 4, 6, 10, 9, 5, 6, 5, 10, 6, 1, 9, 7, 10, 0, 10, 7, 10, 1, 10, 1, 10, 1, 10, 10, 1, 10, 6, 10, 7, 1, 7, 5, 10, 1, 10, 1, 10, 10, 10, 1, 10, 1, 9, 8, 9, 9, 9, 6, 7, 9, 10, 7, 1, 10, 6, 0, 6, 10, 1, 10, 1, 10, 1, 10, 9, 7, 6, 9, 6, 7, 6, 10, 5, 10, 0, 10, 1, 4, 10, 10, 1, 10, 1, 10, 3, 10, 10, 10, 4, 7, 4, 10, 4, 10, 9, 1, 5, 5, 5, 7, 6, 8, 6, 8, 9, 9, 6, 7, 10, 0, 10, 1, 10, 7, 6, 9, 2, 10, 10, 3, 10, 4, 10, 9, 10, 9, 4, 4, 10, 0, 10, 4, 10, 9, 10, 5, 10, 1, 0, 9, 1, 6, 3, 9, 10, 4, 10, 10, 4, 10, 4, 10, 10, 4, 0, 10, 10, 4, 10, 0, 1, 6, 10, 9, 7, 5, 9, 9, 9, 6, 5, 9, 7, 10, 9, 9, 5, 5, 9, 0, 6, 10, 9, 7, 4, 10, 10, 4, 10, 9, 1, 3, 7, 10, 3, 10, 1, 10, 0, 10, 1, 10, 6, 0, 9, 6, 5, 5, 6, 10, 5, 10, 6, 6, 0, 9, 10, 9, 10, 5, 1, 9, 9, 5, 7, 9, 10, 3, 3, 10, 4, 10, 4, 10, 1, 10, 10, 10, 2, 10, 9, 3, 7, 10, 7, 10, 3, 10, 2, 10, 7, 7, 0, 0, 4, 9, 10, 10, 0, 10, 7, 10, 7, 7, 0, 10, 10, 1, 10, 1, 10, 7, 10, 7, 10, 5, 10, 0, 8, 8, 7, 6, 9, 5, 9, 10, 6, 6, 7, 7, 10, 4, 10, 9, 3, 10, 0, 10, 7, 10, 9, 1, 0, 10, 9, 5, 1, 6, 7, 5, 5, 9, 10, 6, 1, 10, 1, 10, 1, 10, 1, 10, 1, 10, 9, 5, 1, 10, 7, 10, 1, 10, 7, 10, 0, 10, 1, 6, 5, 9, 10, 6, 4, 5, 10, 10, 0, 10, 4, 0, 10, 0, 10, 2, 10, 7, 0, 9, 9, 9, 10, 5, 0, 5, 10, 4, 10, 3, 10, 3, 10, 4, 10, 3, 10, 0, 10, 4, 10, 9, 5, 0, 6, 5, 9, 5, 6, 9, 10, 5, 10, 5, 1, 10, 7, 10, 10, 0, 10, 7, 10, 0, 10, 10, 1, 10, 3, 10, 3, 10, 9, 3, 0, 10, 1, 10, 10, 5, 1, 10, 0, 10, 9, 9, 4, 9, 9, 9, 5, 9, 6, 9, 10, 1, 4, 10, 3, 10, 3, 10, 3, 10, 10, 0, 10, 4, 10, 9, 7, 6, 9, 1, 7, 7, 9, 10, 6, 10, 1, 10, 7, 10, 10, 10, 10, 0, 3, 7, 6, 5, 6, 7, 6, 9, 10, 4, 10, 4, 10, 1, 10, 4, 10, 9, 4, 9, 10, 9, 1, 5, 10, 5, 10, 1, 10, 9, 0, 10, 4, 10, 9, 9, 9, 4, 0, 10, 7, 3, 5, 10, 1, 10, 1, 10, 7, 10, 7, 5, 7, 6, 10, 10, 0, 10, 1, 10, 7, 5, 10, 0]
Finished running at:	 2021-05-23 15:43:40.463097

Saved training data in: ../data/2021-03-30_rew_vpg/s11/results_experiment_3.csv

Saved policy parameters in: ../policy_params/2021-03-30_rew_vpg/s11/policy_exp_3.pth

Testing VPG_cheat.py for 1000 episodes.
episode:      0	 return:    2501.22	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:      1	 return:    2401.10	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:      2	 return:    1800.36	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:      3	 return:    2400.78	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:      4	 return:    2501.18	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      5	 return:    2501.30	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   53	 ill moves:    0
episode:      6	 return:    2201.06	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:      7	 return:    2200.70	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:      8	 return:    2400.78	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:      9	 return:    2401.32	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     10	 return:    2401.16	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     11	 return:    2301.06	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     12	 return:    2300.78	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     13	 return:    2000.44	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     14	 return:    2200.42	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     15	 return:    2301.38	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     16	 return:    2100.96	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     17	 return:    2301.20	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     18	 return:    2201.18	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     19	 return:    2000.82	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     20	 return:    2300.68	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     21	 return:    2401.30	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     22	 return:    2200.64	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     23	 return:    2200.82	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     24	 return:    2300.82	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     25	 return:    2500.88	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   53	 ill moves:    0
episode:     26	 return:    2200.80	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     27	 return:    2200.92	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     28	 return:    2300.76	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     29	 return:    2377.24	 score:    0	 fireworks:   24	 lives left:    0	 ep_len:   61	 ill moves:    0
episode:     30	 return:    2400.92	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     31	 return:    1500.00	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     32	 return:    2201.20	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     33	 return:    2501.36	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     34	 return:    2501.14	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     35	 return:    2000.44	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     36	 return:    2200.82	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     37	 return:    2300.50	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     38	 return:    2501.16	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   56	 ill moves:    0
episode:     39	 return:    2301.08	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     40	 return:    2400.82	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     41	 return:    2200.98	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     42	 return:    2500.88	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   56	 ill moves:    0
episode:     43	 return:    2301.32	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   59	 ill moves:    0
episode:     44	 return:    1782.56	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   55	 ill moves:    0
episode:     45	 return:    2401.06	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     46	 return:    1899.92	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     47	 return:    2200.82	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     48	 return:    2401.42	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     49	 return:    2501.34	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     50	 return:    2501.26	 score:   25	 fireworks:   25	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     51	 return:    2501.44	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     52	 return:    2401.34	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     53	 return:    2401.04	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     54	 return:    2500.96	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   48	 ill moves:    0
episode:     55	 return:    2301.18	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     56	 return:    2401.10	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     57	 return:    2000.44	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     58	 return:    2501.06	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   59	 ill moves:    0
episode:     59	 return:    2401.42	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     60	 return:    2401.44	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     61	 return:    2278.04	 score:    0	 fireworks:   23	 lives left:    0	 ep_len:   60	 ill moves:    0
episode:     62	 return:    2301.00	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     63	 return:    2100.64	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     64	 return:    2301.14	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     65	 return:    2501.10	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   55	 ill moves:    0
episode:     66	 return:    2100.54	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     67	 return:    2401.18	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     68	 return:    2301.16	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     69	 return:    2400.96	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   58	 ill moves:    0
episode:     70	 return:    2101.10	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     71	 return:    2501.46	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   58	 ill moves:    0
episode:     72	 return:    2301.00	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     73	 return:    2200.92	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     74	 return:    2401.22	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     75	 return:    2301.46	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     76	 return:    2501.18	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   55	 ill moves:    0
episode:     77	 return:    2200.64	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     78	 return:    2401.54	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     79	 return:    2401.08	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   58	 ill moves:    0
episode:     80	 return:    2401.18	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     81	 return:    1683.26	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   34	 ill moves:    0
episode:     82	 return:    2200.96	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     83	 return:    2200.42	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     84	 return:    2400.62	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     85	 return:    2178.82	 score:    0	 fireworks:   22	 lives left:    0	 ep_len:   59	 ill moves:    0
episode:     86	 return:    2300.92	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     87	 return:    2300.92	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     88	 return:    2401.26	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     89	 return:    2200.48	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     90	 return:    2376.94	 score:    0	 fireworks:   24	 lives left:    0	 ep_len:   61	 ill moves:    0
episode:     91	 return:    1881.56	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   65	 ill moves:    0
episode:     92	 return:    2401.26	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   59	 ill moves:    0
episode:     93	 return:    2401.26	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     94	 return:    2301.00	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     95	 return:    2501.48	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     96	 return:    2301.16	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     97	 return:    2200.46	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   62	 ill moves:    0
