/home/mcs001/s136407/hanab1/han-venv/lib64/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
Working on device: cpu

Loaded policy parameters from: ../policy_params/2021-02-26_shuf/s24/policy_exp_5.pth

Training the algorithm: SPG_cheat.py
Training for:		 150 hours
Start time:		 2021-05-17 09:43:38.927239
End time:		 2021-05-23 15:43:38.927239
Last epoch info:
epoch:    3212948 	 loss:      -0.09 	 return:      18.81 	 fireworks:  18.81 	 score:  18.81 	 lives left:   1.88 	 ep_len:  64.88 	 num_eps:  16.00 	 batch size: 1038.00 	 illegals:   0.00 	 entropy: 0.335
Actions:		 [10, 9, 0, 9, 6, 9, 5, 5, 10, 1, 10, 9, 10, 1, 10, 1, 10, 6, 0, 1, 10, 10, 1, 10, 1, 10, 9, 0, 6, 1, 10, 9, 10, 1, 1, 10, 6, 1, 9, 5, 6, 10, 5, 0, 5, 10, 6, 5, 10, 1, 1, 6, 9, 10, 1, 10, 1, 10, 10, 10, 1, 1, 1, 6, 5, 5, 9, 9, 10, 6, 10, 1, 1, 10, 1, 10, 10, 0, 1, 10, 10, 1, 1, 10, 10, 1, 10, 6, 1, 5, 10, 1, 10, 1, 10, 6, 1, 6, 6, 10, 0, 10, 9, 10, 5, 10, 0, 10, 1, 10, 1, 10, 6, 0, 1, 6, 5, 6, 0, 3, 10, 10, 10, 3, 10, 9, 9, 1, 1, 5, 6, 6, 6, 6, 5, 10, 9, 6, 10, 1, 1, 5, 10, 1, 10, 1, 10, 10, 10, 10, 0, 1, 1, 1, 10, 1, 10, 10, 10, 0, 3, 6, 10, 5, 10, 0, 1, 10, 9, 0, 10, 5, 10, 9, 1, 6, 9, 5, 10, 1, 10, 1, 10, 10, 1, 0, 10, 1, 1, 10, 10, 1, 10, 6, 1, 1, 5, 9, 9, 10, 5, 0, 9, 5, 5, 9, 10, 10, 0, 10, 10, 1, 10, 9, 6, 1, 10, 1, 0, 10, 1, 10, 1, 10, 9, 10, 0, 1, 9, 6, 6, 10, 1, 10, 1, 10, 1, 10, 9, 1, 6, 10, 5, 1, 6, 10, 6, 1, 9, 6, 10, 6, 1, 10, 1, 10, 1, 10, 9, 10, 9, 4, 1, 10, 9, 0, 10, 9, 10, 9, 5, 1, 10, 6, 5, 10, 1, 1, 1, 10, 10, 1, 1, 10, 1, 10, 0, 10, 6, 1, 10, 10, 1, 10, 1, 10, 1, 10, 10, 1, 10, 9, 10, 6, 10, 5, 10, 1, 1, 6, 6, 1, 5, 9, 6, 6, 1, 5, 1, 0, 10, 10, 9, 10, 9, 0, 5, 10, 0, 10, 9, 5, 6, 1, 0, 10, 10, 1, 10, 9, 10, 1, 10, 10, 10, 1, 10, 1, 10, 1, 10, 9, 5, 1, 5, 1, 9, 6, 1, 10, 1, 10, 6, 10, 5, 10, 1, 10, 1, 10, 6, 6, 1, 1, 6, 1, 10, 6, 1, 1, 9, 10, 6, 10, 10, 9, 10, 9, 1, 6, 10, 10, 10, 10, 1, 10, 0, 10, 6, 10, 9, 9, 10, 1, 1, 6, 1, 9, 5, 10, 6, 10, 1, 10, 6, 10, 1, 10, 1, 1, 0, 1, 10, 6, 5, 0, 1, 10, 5, 1, 9, 10, 1, 10, 1, 10, 1, 10, 9, 1, 10, 10, 1, 10, 1, 1, 10, 5, 1, 6, 10, 5, 5, 10, 10, 0, 1, 10, 0, 10, 10, 1, 10, 1, 10, 0, 10, 1, 10, 9, 6, 9, 10, 6, 10, 6, 10, 6, 10, 1, 10, 1, 1, 6, 1, 1, 0, 10, 10, 3, 10, 4, 1, 10, 1, 10, 1, 10, 6, 6, 1, 10, 10, 1, 1, 6, 9, 10, 10, 1, 1, 10, 9, 6, 5, 10, 10, 1, 1, 10, 9, 10, 4, 10, 9, 1, 10, 10, 1, 10, 1, 1, 9, 9, 10, 9, 10, 6, 1, 1, 6, 10, 10, 1, 10, 9, 10, 5, 1, 5, 1, 1, 10, 1, 10, 9, 10, 0, 1, 10, 6, 1, 10, 1, 10, 6, 10, 5, 1, 1, 9, 10, 1, 10, 1, 10, 6, 1, 10, 9, 5, 10, 10, 0, 10, 1, 9, 10, 0, 10, 0, 10, 10, 1, 10, 5, 10, 6, 1, 10, 9, 10, 1, 1, 9, 1, 10, 9, 6, 1, 6, 10, 1, 1, 9, 5, 10, 1, 10, 9, 1, 5, 6, 5, 9, 10, 0, 10, 6, 0, 5, 10, 5, 10, 10, 1, 1, 10, 10, 1, 10, 1, 10, 1, 10, 0, 10, 9, 10, 10, 1, 1, 0, 10, 5, 10, 6, 1, 9, 6, 10, 5, 1, 9, 9, 6, 10, 5, 10, 5, 1, 9, 10, 6, 10, 1, 10, 1, 1, 6, 1, 1, 10, 10, 10, 1, 0, 6, 1, 9, 10, 10, 1, 0, 9, 10, 10, 1, 1, 10, 10, 1, 10, 1, 10, 6, 10, 9, 10, 6, 5, 0, 6, 1, 5, 9, 5, 6, 10, 5, 1, 10, 6, 0, 9, 6, 9, 10, 6, 10, 10, 0, 10, 1, 10, 1, 1, 9, 10, 10, 1, 1, 10, 9, 6, 10, 9, 10, 6, 0, 5, 10, 9, 0, 5, 1, 1, 9, 10, 1, 10, 0, 10, 1, 10, 1, 10, 0, 10, 1, 10, 6, 10, 6, 6, 1, 10, 10, 1, 1, 10, 6, 9, 9, 6, 6, 9, 6, 10, 5, 10, 6, 1, 10, 6, 1, 1, 10, 0, 10, 10, 10, 1, 10, 1, 1, 9, 1, 6, 5, 10, 1, 10, 1, 10, 1, 10, 0, 10, 6, 5, 1, 10, 6, 10, 6, 0, 9, 5, 10, 9, 10, 5, 10, 1, 10, 0, 10, 1, 10, 6, 1, 6, 0, 10, 6, 5, 6, 10, 9, 1, 5, 1, 6, 10, 1, 10, 10, 10, 1, 10, 1, 10, 10, 0, 5, 1, 1, 1, 9, 10, 6, 1, 6, 10, 9, 5, 9, 0, 10, 1, 10, 6, 10, 5, 1, 10, 6, 9, 6, 10, 1, 10, 1, 10, 10, 1, 10, 0, 10, 1, 1, 10, 10, 1, 1, 1, 9, 10, 6, 6, 9, 10, 1, 10, 1, 10, 10, 10, 0, 1, 10, 1, 10, 0, 10, 1, 10, 9, 5, 1, 6, 1, 9, 9, 10, 6, 5, 1, 9, 5, 5, 10, 6, 10, 6, 0, 10, 9, 10, 1, 10, 0, 10, 1, 10, 1, 10, 6, 10, 1, 0, 1, 10, 6, 5, 6, 9, 9, 10, 6, 5, 6, 9, 10, 6, 9, 5, 0, 9, 10, 10, 10, 1, 0, 10, 9, 1, 6, 6, 10, 10, 10, 1, 10, 9, 1, 6, 10, 5, 1, 1, 1, 9, 10, 6, 6, 1, 1, 10, 10, 1, 10, 1, 10, 6, 10, 5, 10, 1, 10, 10, 10, 1, 10, 1, 10, 9, 10, 1, 10, 1, 10, 6, 6, 0, 1, 1]
Finished running at:	 2021-05-23 15:43:40.044254

Saved training data in: ../data/2021-02-26_shuf/s25/results_experiment_5.csv

Saved policy parameters in: ../policy_params/2021-02-26_shuf/s25/policy_exp_5.pth

Testing SPG_cheat.py for 1000 episodes.
episode:      0	 return:      21.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:      1	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:      2	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:      3	 return:      22.00	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:      4	 return:      19.00	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   70	 ill moves:    0
episode:      5	 return:      14.00	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:      6	 return:      19.00	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:      7	 return:      21.00	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:      8	 return:      19.00	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:      9	 return:      18.00	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     10	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     11	 return:      16.00	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     12	 return:      16.00	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     13	 return:      16.00	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:     14	 return:      22.00	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     15	 return:      21.00	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   61	 ill moves:    0
episode:     16	 return:      17.00	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     17	 return:      19.00	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     18	 return:      21.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     19	 return:      19.00	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     20	 return:      16.00	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     21	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     22	 return:      23.00	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     23	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     24	 return:      23.00	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     25	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     26	 return:      19.00	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     27	 return:      18.00	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     28	 return:      16.00	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     29	 return:      16.00	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:     30	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     31	 return:      15.00	 score:   15	 fireworks:   15	 lives left:    3	 ep_len:   68	 ill moves:    0
episode:     32	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     33	 return:      23.00	 score:   23	 fireworks:   23	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     34	 return:      21.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     35	 return:      21.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     36	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     37	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     38	 return:      18.00	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     39	 return:      16.00	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     40	 return:      23.00	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     41	 return:      19.00	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     42	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   67	 ill moves:    0
episode:     43	 return:      23.00	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     44	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     45	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     46	 return:      15.00	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     47	 return:      23.00	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     48	 return:      21.00	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     49	 return:      16.00	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     50	 return:      24.00	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   62	 ill moves:    0
episode:     51	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     52	 return:      21.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     53	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     54	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   68	 ill moves:    0
episode:     55	 return:      24.00	 score:   24	 fireworks:   24	 lives left:    3	 ep_len:   62	 ill moves:    0
episode:     56	 return:      23.00	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     57	 return:      21.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     58	 return:      17.00	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     59	 return:      17.00	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     60	 return:      18.00	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:     61	 return:      22.00	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     62	 return:      19.00	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     63	 return:      20.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     64	 return:      19.00	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     65	 return:      18.00	 score:   18	 fireworks:   18	 lives left:    3	 ep_len:   65	 ill moves:    0
episode:     66	 return:      22.00	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     67	 return:      22.00	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   65	 ill moves:    0
