num_exp,illegal move,out of lives,lost one life,discard,play,hint,discard playable card,discard useless card,discard unique card,layers,activation,batch_sizes,gammas,learning_rates,obs_vec_type,num_actions,entropy_coeff,renormalize_gt,life_tokens,hint_tokens,shuffle_hand,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
0,-0.5,standard,standard,standard,standard,standard,standard,standard,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
1,-0.5,standard,-0.1,standard,standard,standard,standard,standard,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
2,-0.5,standard,-0.1,standard,standard,standard,standard,standard,-0.1,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
3,-0.5,standard,-0.1,standard,standard,standard,standard,0.1,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
4,-0.5,standard,-0.1,standard,standard,standard,standard,0.1,-0.1,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
5,-0.5,standard,-0.1,standard,standard,standard,-0.1,standard,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
6,-0.5,standard,-0.1,standard,standard,standard,-0.1,standard,-0.1,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
7,-0.5,standard,-0.1,standard,standard,standard,-0.1,0.1,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
8,-0.5,standard,-0.1,standard,standard,standard,-0.1,0.1,-0.1,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
9,-0.5,standard,-0.1,standard,standard,-0.02,standard,standard,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
10,-0.5,standard,-0.1,standard,standard,-0.02,standard,standard,-0.1,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
11,-0.5,standard,-0.1,standard,standard,-0.02,standard,0.1,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
12,-0.5,standard,-0.1,standard,standard,-0.02,standard,0.1,-0.1,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
13,-0.5,standard,-0.1,standard,standard,-0.02,-0.1,standard,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
14,-0.5,standard,-0.1,standard,standard,-0.02,-0.1,standard,-0.1,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
15,-0.5,standard,-0.1,standard,standard,-0.02,-0.1,0.1,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
16,-0.5,standard,-0.1,standard,standard,-0.02,-0.1,0.1,-0.1,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
17,-0.5,standard,-0.1,standard,0.02,standard,standard,standard,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
18,-0.5,standard,-0.1,standard,0.02,standard,standard,standard,-0.1,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
19,-0.5,standard,-0.1,standard,0.02,standard,standard,0.1,standard,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
