num_exp,out of lives,illegal move,lost one life,discard,lr_pi,hidden_layers_pi,activation_pi,renormalize_adv,lr_vf,hidden_layers_vf,activation_vf,train_vf_iters,gammas,batch_sizes,obs_vec_type,num_actions,life_tokens,hint_tokens,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
0,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,3,8,0,exponential,100000,0.001
1,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,25,8,0,exponential,100000,0.001
2,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,100,8,0,exponential,100000,0.001
3,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,3,8,0,exponential,100000,0.001
4,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,25,8,0,exponential,100000,0.001
5,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,100,8,0,exponential,100000,0.001
6,standard,-1,standard,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,True,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,3,8,0,exponential,100000,0.001
7,standard,-1,standard,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,True,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,25,8,0,exponential,100000,0.001
8,standard,-1,standard,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,True,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,100,8,0,exponential,100000,0.001
9,standard,-1,standard,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,False,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,3,8,0,exponential,100000,0.001
10,standard,-1,standard,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,False,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,25,8,0,exponential,100000,0.001
11,standard,-1,standard,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,False,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,100,8,0,exponential,100000,0.001
12,standard,-1,-1,standard,0.0003,"[64, 64]",Tanh,True,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,3,8,0,exponential,100000,0.001
13,standard,-1,-1,standard,0.0003,"[64, 64]",Tanh,True,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,25,8,0,exponential,100000,0.001
14,standard,-1,-1,standard,0.0003,"[64, 64]",Tanh,True,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,100,8,0,exponential,100000,0.001
15,standard,-1,-1,standard,0.0003,"[64, 64]",Tanh,False,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,3,8,0,exponential,100000,0.001
16,standard,-1,-1,standard,0.0003,"[64, 64]",Tanh,False,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,25,8,0,exponential,100000,0.001
17,standard,-1,-1,standard,0.0003,"[64, 64]",Tanh,False,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,100,8,0,exponential,100000,0.001
18,standard,-1,-1,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,True,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,3,8,0,exponential,100000,0.001
19,standard,-1,-1,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,True,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,25,8,0,exponential,100000,0.001
20,standard,-1,-1,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,True,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,100,8,0,exponential,100000,0.001
21,standard,-1,-1,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,False,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,3,8,0,exponential,100000,0.001
22,standard,-1,-1,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,False,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,25,8,0,exponential,100000,0.001
23,standard,-1,-1,standard,0.0003,"[64, 32, 16, 32, 64]",Tanh,False,0.001,"[64, 32, 16, 32, 64]",Tanh,80,0.99,1000,62,11,100,8,0,exponential,100000,0.001
24,standard,-1,-10,standard,0.0003,"[64, 64]",Tanh,True,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,3,8,0,exponential,100000,0.001
25,standard,-1,-10,standard,0.0003,"[64, 64]",Tanh,True,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,25,8,0,exponential,100000,0.001
26,standard,-1,-10,standard,0.0003,"[64, 64]",Tanh,True,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,100,8,0,exponential,100000,0.001
27,standard,-1,-10,standard,0.0003,"[64, 64]",Tanh,False,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,3,8,0,exponential,100000,0.001
28,standard,-1,-10,standard,0.0003,"[64, 64]",Tanh,False,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,25,8,0,exponential,100000,0.001
29,standard,-1,-10,standard,0.0003,"[64, 64]",Tanh,False,0.001,"[64, 64]",Tanh,80,0.99,1000,62,11,100,8,0,exponential,100000,0.001
